time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 20:59:34:674,0.048,-0.036,-0.871,3.784,6.348,-5.859,-4.42,22.06,15.5,6.228,437.3,0.822
2026-5-17 20:59:34:694,0.048,-0.031,-0.893,5.615,11.414,-6.653,-4.23,21.62,15.66,7.336,16.9,0.05
2026-5-17 20:59:34:714,0.039,-0.012,-0.815,7.751,16.724,-7.202,-3.97,21.07,15.84,6.156,-92.9,2.458
2026-5-17 20:59:34:734,0.028,-0.037,-0.853,5.859,19.714,-7.507,-3.72,20.45,16.03,6.436,28.4,0.108
2026-5-17 20:59:34:754,0.047,-0.019,-0.952,2.197,22.095,-7.874,-3.56,19.79,16.23,6.376,92.7,0.72
2026-5-17 20:59:34:774,0.046,-0.041,-0.93,4.639,27.893,-8.484,-3.39,19.04,16.43,6.376,6.8,0.04
2026-5-17 20:59:34:794,0.04,-0.032,-0.941,8.301,32.471,-9.216,-3.15,18.2,16.65,6.388,6.4,0.04
2026-5-17 20:59:34:814,0.038,-0.019,-0.996,7.507,33.63,-9.399,-2.89,17.33,16.88,6.388,6.4,0.05
2026-5-17 20:59:34:834,0.047,-0.028,-0.979,4.395,36.926,-9.583,-2.7,16.42,17.09,6.38,12.1,0.086
2026-5-17 20:59:34:854,0.044,-0.038,-1.021,5.737,41.748,-10.376,-2.51,15.42,17.33,6.392,5.0,0.03
2026-5-17 20:59:34:874,0.034,-0.035,-1.031,7.935,43.579,-10.681,-2.28,14.38,17.57,6.384,5.1,0.032
2026-5-17 20:59:34:894,0.041,-0.027,-1.016,9.46,44.312,-10.803,-2.03,13.34,17.8,6.388,5.8,0.036
2026-5-17 20:59:34:914,0.052,-0.02,-1.067,7.69,48.889,-11.292,-1.79,12.24,18.04,6.388,6.4,0.04
2026-5-17 20:59:34:934,0.042,-0.036,-1.067,6.958,52.734,-11.841,-1.59,11.07,18.28,6.384,6.0,0.04
2026-5-17 20:59:34:954,0.037,-0.039,-1.072,9.827,53.223,-11.841,-1.36,9.88,18.52,6.384,6.6,0.04
2026-5-17 20:59:34:974,0.048,-0.024,-1.102,10.254,56.335,-11.963,-1.11,8.67,18.75,6.388,6.3,0.04
2026-5-17 20:59:34:994,0.043,-0.022,-1.099,8.24,60.181,-12.451,-0.89,7.39,18.99,6.384,6.5,0.042
2026-5-17 20:59:35:14,0.038,-0.033,-1.125,7.507,60.547,-12.512,-0.71,6.09,19.22,6.388,6.4,0.042
2026-5-17 20:59:35:34,0.044,-0.036,-1.136,9.705,61.157,-12.024,-0.51,4.81,19.45,6.384,6.5,0.042
2026-5-17 20:59:35:54,0.045,-0.025,-1.136,10.803,64.27,-12.573,-0.29,3.49,19.67,6.388,6.8,0.042
2026-5-17 20:59:35:74,0.037,-0.02,-1.16,7.874,65.063,-12.878,-0.1,2.16,19.89,6.384,6.4,0.04
2026-5-17 20:59:35:94,0.042,-0.034,-1.159,7.751,64.697,-12.207,0.04,0.85,20.1,6.388,6.4,0.042
2026-5-17 20:59:35:114,0.046,-0.035,-1.167,10.315,67.139,-12.268,0.21,-0.48,20.31,6.388,6.3,0.04
2026-5-17 20:59:35:134,0.04,-0.022,-1.174,9.277,68.604,-12.451,0.4,-1.84,20.51,6.28,213.8,7.346
2026-5-17 20:59:35:154,0.034,-0.028,-1.064,6.409,67.383,-12.024,0.52,-3.17,20.71,6.104,898.4,5.252
2026-5-17 20:59:35:174,0.044,-0.064,-1.143,14.038,67.993,-11.536,0.69,-4.49,20.9,6.08,701.5,4.046
2026-5-17 20:59:35:194,0.03,0.015,-1.146,11.78,69.458,-11.719,0.93,-5.81,21.07,6.204,490.4,2.37
2026-5-17 20:59:35:214,0.035,-0.038,-0.967,-0.732,67.749,-11.78,0.98,-7.11,21.25,6.208,476.9,2.654
2026-5-17 20:59:35:234,0.039,-0.043,-1.094,-0.549,66.956,-10.925,0.9,-8.36,21.42,6.384,2.5,0.016
2026-5-17 20:59:35:254,0.02,-0.07,-1.105,10.437,66.345,-10.681,0.99,-9.59,21.58,6.388,2.7,0.03
2026-5-17 20:59:35:274,0.042,-0.029,-1.001,12.085,64.331,-10.864,1.2,-10.78,21.74,6.276,-202.1,0.098
2026-5-17 20:59:35:294,0.037,0.008,-1.084,2.441,63.232,-9.949,1.27,-11.92,21.89,6.152,899.6,3.556
2026-5-17 20:59:35:314,0.022,0.05,-1.253,-2.075,64.026,-9.583,1.23,-13.04,22.03,6.136,215.1,7.806
2026-5-17 20:59:35:334,0.042,0.068,-1.613,3.845,61.829,-9.827,1.19,-14.13,22.16,6.384,127.8,0.058
2026-5-17 20:59:35:354,0.036,-0.042,-1.384,14.404,56.458,-8.667,1.37,-15.12,22.3,6.376,137.9,0.458
2026-5-17 20:59:35:374,0.03,0.022,-0.993,7.812,55.542,-7.751,1.57,-16.04,22.41,6.324,20.7,1.036
2026-5-17 20:59:35:394,0.04,-0.011,-1.153,-2.197,55.847,-8.301,1.55,-16.96,22.52,6.26,72.9,0.63
2026-5-17 20:59:35:414,0.029,-0.062,-1.305,1.282,52.368,-7.568,1.46,-17.84,22.63,6.584,143.1,0.334
2026-5-17 20:59:35:434,0.029,-0.025,-0.881,7.08,49.133,-6.226,1.53,-18.62,22.73,6.372,29.3,1.012
2026-5-17 20:59:35:454,0.039,-0.026,-1.062,4.395,48.401,-6.165,1.59,-19.36,22.81,6.44,20.7,0.966
2026-5-17 20:59:35:474,0.03,-0.024,-1.125,3.601,45.959,-6.104,1.62,-20.06,22.89,6.424,5.1,0.222
2026-5-17 20:59:35:494,0.025,-0.02,-0.922,0.671,41.504,-5.249,1.6,-20.68,22.97,6.352,211.2,0.096
2026-5-17 20:59:35:514,0.033,-0.042,-1.074,1.038,38.391,-4.211,1.57,-21.21,23.03,6.332,118.3,0.646
2026-5-17 20:59:35:534,0.026,-0.032,-0.982,5.859,35.767,-4.089,1.61,-21.69,23.08,6.46,43.6,0.134
2026-5-17 20:59:35:554,0.025,-0.017,-0.938,2.319,32.043,-3.784,1.65,-22.09,23.14,6.384,78.0,0.194
2026-5-17 20:59:35:574,0.031,-0.024,-1.026,-0.854,28.198,-2.502,1.61,-22.41,23.18,6.376,32.9,0.204
2026-5-17 20:59:35:594,0.028,-0.042,-0.933,1.221,25.879,-1.892,1.59,-22.67,23.2,5.604,2114.5,9.856
2026-5-17 20:59:35:614,0.027,-0.027,-0.943,3.174,23.254,-1.892,1.62,-22.88,23.22,6.152,129.1,3.676
2026-5-17 20:59:35:634,0.031,-0.027,-1.23,1.587,18.616,-1.16,1.63,-23.01,23.24,6.272,455.8,0.82
2026-5-17 20:59:35:654,0.036,-0.001,-1.167,-0.732,14.282,0.183,1.63,-23.04,23.24,6.036,872.9,5.076
2026-5-17 20:59:35:674,0.018,-0.047,-0.791,-4.944,10.437,0.549,1.54,-22.99,23.22,6.032,829.7,5.856
2026-5-17 20:59:35:694,0.028,-0.083,-1.033,-5.005,6.531,0.488,1.41,-22.87,23.21,6.14,696.9,3.454
