time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 20:0:15:174,0.042,-0.027,-1.113,-15.442,-51.331,6.531,-2.09,7.64,55.61,5.98,6.9,0.042
2026-5-17 20:0:15:194,0.045,-0.025,-1.102,-13.733,-51.453,5.371,-2.37,8.56,55.48,5.98,6.8,0.042
2026-5-17 20:0:15:214,0.042,-0.016,-1.103,-14.221,-51.331,3.906,-2.63,9.48,55.38,5.984,6.8,0.042
2026-5-17 20:0:15:234,0.041,-0.024,-1.092,-15.869,-52.002,2.136,-2.91,10.39,55.31,5.98,7.1,0.04
2026-5-17 20:0:15:254,0.047,-0.032,-1.085,-13.916,-50.903,0.488,-3.18,11.29,55.26,5.848,1024.9,2.716
2026-5-17 20:0:15:274,0.052,-0.013,-1.051,-12.39,-47.668,-0.549,-3.39,12.13,55.23,5.652,776.5,5.488
2026-5-17 20:0:15:294,0.05,-0.037,-0.979,-14.404,-44.556,-2.319,-3.65,12.89,55.24,5.688,919.0,4.296
2026-5-17 20:0:15:314,0.046,-0.02,-1.065,-8.179,-42.48,-3.906,-3.78,13.6,55.29,5.792,500.1,3.348
2026-5-17 20:0:15:334,0.048,-0.007,-0.903,-11.292,-39.001,-5.249,-3.92,14.24,55.37,5.804,483.4,2.894
2026-5-17 20:0:15:354,0.041,-0.008,-0.963,-19.531,-36.377,-6.409,-4.18,14.81,55.46,5.98,2.6,0.032
2026-5-17 20:0:15:374,0.031,-0.057,-0.962,-12.451,-37.354,-7.812,-4.42,15.37,55.59,5.98,2.4,0.016
2026-5-17 20:0:15:394,0.064,0.019,-0.805,-3.906,-37.781,-9.46,-4.47,15.95,55.74,5.984,358.7,0.052
2026-5-17 20:0:15:414,0.05,-0.009,-0.946,-10.254,-35.4,-10.254,-4.53,16.48,55.93,5.72,969.8,2.218
2026-5-17 20:0:15:434,0.052,-0.018,-0.992,-8.789,-32.41,-11.658,-4.63,16.96,56.13,5.956,431.2,6.468
