time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 21:28:21:624,0.023,0.006,-0.866,-4.517,-5.981,-5.859,3.81,-19.18,4.4,6.38,2.9,0.016
2026-5-17 21:28:21:644,0.04,0.001,-0.833,-3.967,-10.01,-5.92,3.65,-18.81,4.54,6.376,2.7,0.016
2026-5-17 21:28:21:664,0.118,-0.05,-0.89,0.0,-13.855,-5.676,3.52,-18.39,4.7,6.38,2.9,0.02
2026-5-17 21:28:21:684,0.019,0.024,-0.933,-0.61,-15.137,-6.042,3.43,-17.92,4.84,6.38,2.8,0.102
2026-5-17 21:28:21:704,0.033,-0.003,-0.92,-0.549,-16.479,-6.47,3.32,-17.44,5.0,6.128,647.3,4.184
2026-5-17 21:28:21:724,0.026,0.005,-1.0,-4.272,-19.897,-6.531,3.19,-16.91,5.17,5.968,386.2,6.21
2026-5-17 21:28:21:744,-0.047,0.062,-1.158,-5.737,-19.348,-6.409,2.99,-16.37,5.33,6.988,274.3,0.93
2026-5-17 21:28:21:764,-0.019,0.028,-1.449,-1.038,-23.804,-6.714,2.87,-15.78,5.49,6.176,223.1,1.154
2026-5-17 21:28:21:784,0.067,0.046,-0.979,-4.089,-26.306,-6.592,2.73,-15.11,5.67,6.348,156.6,0.256
2026-5-17 21:28:21:804,0.05,-0.001,-0.941,-10.986,-28.748,-6.653,2.46,-14.4,5.83,6.368,33.9,0.23
2026-5-17 21:28:21:824,0.07,-0.027,-1.283,-2.502,-31.372,-6.409,2.25,-13.67,6.0,6.376,81.9,0.22
2026-5-17 21:28:21:844,0.057,0.02,-0.936,1.343,-33.752,-6.47,2.22,-12.88,6.16,6.372,36.8,0.076
2026-5-17 21:28:21:864,0.061,0.024,-0.929,-5.005,-35.889,-6.287,2.1,-12.06,6.32,6.364,37.5,0.25
2026-5-17 21:28:21:884,0.074,0.013,-1.174,-11.353,-36.743,-6.287,1.85,-11.23,6.47,6.372,17.9,0.25
2026-5-17 21:28:21:904,0.057,-0.023,-0.956,-8.179,-38.269,-6.226,1.59,-10.38,6.62,6.368,37.5,0.276
2026-5-17 21:28:21:924,0.062,-0.01,-1.05,-1.465,-40.222,-5.859,1.47,-9.51,6.76,6.352,40.6,0.272
2026-5-17 21:28:21:944,0.065,0.032,-1.123,-3.479,-42.114,-5.31,1.39,-8.6,6.89,6.36,9.4,0.38
2026-5-17 21:28:21:964,0.061,0.013,-0.987,-12.451,-43.396,-5.676,1.16,-7.68,7.02,6.364,38.7,0.128
2026-5-17 21:28:21:984,0.067,-0.025,-1.111,-8.118,-44.495,-5.615,0.91,-6.75,7.15,6.376,56.1,0.24
2026-5-17 21:28:22:4,0.069,0.0,-1.09,-1.892,-46.753,-4.7,0.81,-5.8,7.26,6.352,47.4,0.24
2026-5-17 21:28:22:24,0.065,0.022,-1.047,-7.08,-47.668,-4.395,0.7,-4.82,7.35,6.364,37.8,0.242
2026-5-17 21:28:22:44,0.07,0.001,-1.113,-10.864,-47.668,-4.639,0.48,-3.85,7.45,5.556,1355.0,11.796
2026-5-17 21:28:22:64,0.066,-0.016,-1.083,-7.263,-48.035,-4.272,0.29,-2.88,7.54,6.292,199.5,0.056
2026-5-17 21:28:22:84,0.065,-0.025,-1.196,-3.479,-48.95,-3.296,0.18,-1.92,7.61,6.036,1151.6,3.736
2026-5-17 21:28:22:104,0.13,0.04,-1.393,0.671,-48.767,-2.93,0.19,-0.96,7.67,6.08,190.5,4.326
2026-5-17 21:28:22:124,0.088,0.044,-1.123,-21.423,-49.438,-3.662,-0.05,0.0,7.73,6.12,592.6,2.422
2026-5-17 21:28:22:144,0.138,-0.034,-0.961,-24.719,-49.255,-3.113,-0.59,0.92,7.79,6.256,203.7,1.818
2026-5-17 21:28:22:164,0.05,-0.037,-1.276,-4.333,-50.964,-2.136,-0.85,1.87,7.82,6.316,228.2,2.678
2026-5-17 21:28:22:184,0.064,0.049,-1.035,3.357,-49.805,-1.709,-0.76,2.82,7.84,6.252,146.2,3.15
2026-5-17 21:28:22:204,0.056,0.035,-0.995,-12.39,-49.011,-2.075,-0.87,3.74,7.86,6.372,8.9,0.042
2026-5-17 21:28:22:224,0.035,0.007,-1.12,-17.578,-49.561,-1.77,-1.21,4.64,7.88,6.376,4.4,0.02
2026-5-17 21:28:22:244,0.138,-0.058,-0.956,-2.014,-49.011,-0.793,-1.36,5.53,7.88,6.376,10.5,0.066
2026-5-17 21:28:22:264,0.031,0.018,-0.954,1.343,-46.509,-0.488,-1.31,6.37,7.86,6.372,12.1,0.022
2026-5-17 21:28:22:284,0.063,0.043,-1.059,-3.418,-45.837,-0.122,-1.3,7.17,7.84,6.376,540.9,1.16
2026-5-17 21:28:22:304,0.078,0.015,-1.045,-9.583,-45.105,0.122,-1.44,7.95,7.82,6.588,150.5,0.088
2026-5-17 21:28:22:324,0.073,-0.034,-0.963,-9.033,-42.908,0.305,-1.64,8.69,7.79,6.284,9.6,0.022
2026-5-17 21:28:22:344,0.067,-0.029,-1.017,-0.549,-42.053,0.549,-1.69,9.38,7.76,6.372,6.1,0.032
2026-5-17 21:28:22:364,0.063,0.017,-1.076,-0.549,-41.992,1.404,-1.66,10.06,7.71,6.38,5.4,0.026
2026-5-17 21:28:22:384,0.073,0.016,-1.001,-11.719,-39.124,1.282,-1.8,10.71,7.66,6.38,99.1,0.04
2026-5-17 21:28:22:404,0.066,-0.043,-0.999,-11.536,-35.95,1.343,-2.04,11.28,7.61,6.376,-22.2,0.246
2026-5-17 21:28:22:424,0.069,-0.034,-1.055,0.732,-34.973,2.197,-2.09,11.8,7.55,6.376,4.2,0.046
2026-5-17 21:28:22:444,0.071,0.021,-0.989,-2.075,-33.081,2.625,-2.07,12.3,7.48,6.32,45.0,0.682
2026-5-17 21:28:22:464,0.071,-0.007,-1.012,-10.254,-28.87,2.502,-2.22,12.72,7.41,6.332,6.5,0.036
2026-5-17 21:28:22:484,0.064,-0.031,-1.009,-4.761,-26.794,2.991,-2.35,13.07,7.34,6.38,5.3,0.032
