time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 20:41:23:284,0.034,-0.029,-1.082,-12.817,-66.101,12.695,0.27,-1.3,30.14,6.324,13.6,0.39
2026-5-17 20:41:23:304,0.032,-0.035,-1.243,-11.597,-69.092,13.062,0.03,0.08,29.92,6.392,25.7,0.17
2026-5-17 20:41:23:324,0.034,-0.031,-1.189,-10.132,-72.937,12.756,-0.18,1.51,29.71,6.396,23.8,0.204
2026-5-17 20:41:23:344,0.04,-0.017,-1.167,-12.695,-73.914,11.841,-0.41,2.96,29.51,6.396,65.5,0.112
2026-5-17 20:41:23:364,0.041,-0.032,-1.251,-15.015,-73.853,11.78,-0.7,4.39,29.31,6.388,32.4,0.2
2026-5-17 20:41:23:384,0.042,-0.04,-1.167,-13.367,-73.425,11.475,-0.99,5.82,29.1,6.388,33.5,0.196
2026-5-17 20:41:23:404,0.049,-0.025,-1.192,-11.475,-70.74,10.498,-1.23,7.18,28.91,6.388,32.6,0.206
2026-5-17 20:41:23:424,0.042,-0.021,-1.227,-13.123,-68.176,9.888,-1.48,8.46,28.72,6.396,23.0,0.154
2026-5-17 20:41:23:444,0.038,-0.022,-1.169,-16.052,-67.81,9.827,-1.8,9.71,28.53,6.388,33.7,0.2
2026-5-17 20:41:23:464,0.039,-0.035,-1.188,-14.526,-67.993,8.85,-2.11,10.94,28.34,5.76,1553.0,11.01
2026-5-17 20:41:23:484,0.038,-0.026,-1.189,-11.719,-68.665,8.301,-2.37,12.17,28.16,5.884,1186.0,6.96
2026-5-17 20:41:23:504,0.046,0.007,-1.442,-16.785,-68.787,7.874,-2.65,13.39,27.99,5.968,1451.6,9.358
2026-5-17 20:41:23:524,0.058,-0.025,-1.37,-12.695,-67.81,7.019,-2.99,14.58,27.82,6.064,764.3,6.01
2026-5-17 20:41:23:544,0.052,-0.079,-0.9,-10.437,-65.063,6.287,-3.24,15.72,27.66,6.096,847.2,5.296
2026-5-17 20:41:23:564,0.054,0.017,-1.276,-15.93,-62.378,5.676,-3.55,16.78,27.52,6.176,582.4,4.054
2026-5-17 20:41:23:584,0.042,-0.009,-1.22,-18.005,-59.57,5.493,-3.91,17.78,27.37,6.208,561.1,3.362
2026-5-17 20:41:23:604,0.041,-0.055,-0.92,-14.709,-56.335,4.333,-4.24,18.7,27.24,6.4,2.7,0.016
2026-5-17 20:41:23:624,0.02,-0.091,-0.995,0.854,-55.969,3.845,-4.35,19.58,27.12,6.4,476.2,0.02
2026-5-17 20:41:23:644,0.05,0.077,-1.015,-2.93,-56.274,3.296,-4.32,20.47,27.01,6.976,7.2,1.128
2026-5-17 20:41:23:664,0.053,-0.01,-0.891,-15.808,-52.49,2.747,-4.55,21.29,26.91,7.504,174.1,0.996
2026-5-17 20:41:23:684,0.037,-0.077,-0.938,-13.55,-48.157,1.953,-4.87,22.01,26.83,7.78,27.4,7.038
2026-5-17 20:41:23:704,0.029,-0.05,-0.976,-2.808,-46.326,1.404,-4.98,22.68,26.76,6.632,32.8,2.152
2026-5-17 20:41:23:724,0.048,-0.016,-0.964,-0.671,-42.908,0.977,-4.95,23.29,26.71,6.376,41.7,0.866
2026-5-17 20:41:23:744,0.05,0.009,-0.977,-9.949,-35.095,0.305,-5.04,23.76,26.67,6.304,27.8,0.052
2026-5-17 20:41:23:764,0.04,-0.033,-0.965,-14.282,-30.334,-0.305,-5.26,24.1,26.66,6.36,20.7,1.524
2026-5-17 20:41:23:784,0.033,-0.055,-0.932,-6.287,-29.419,-0.732,-5.41,24.41,26.66,6.4,7.3,0.042
