time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 20:34:0:354,0.031,-0.034,-0.954,7.263,19.958,-22.156,-1.01,13.68,28.99,6.216,513.8,3.522
2026-5-17 20:34:0:374,0.029,-0.027,-0.847,5.615,24.048,-21.79,-0.74,13.05,29.44,6.228,451.1,3.014
2026-5-17 20:34:0:394,0.031,0.029,-0.844,-3.845,27.527,-20.996,-0.6,12.34,29.88,6.4,2.6,0.014
2026-5-17 20:34:0:414,0.026,-0.036,-0.842,-5.981,29.114,-20.386,-0.63,11.6,30.31,6.4,5.3,0.05
2026-5-17 20:34:0:434,0.053,-0.011,-0.787,4.761,31.433,-20.63,-0.54,10.83,30.72,6.3,31.7,0.016
2026-5-17 20:34:0:454,0.029,-0.024,-0.951,8.24,34.363,-20.325,-0.29,10.01,31.14,8.256,309.0,1.334
2026-5-17 20:34:0:474,-0.002,-0.041,-1.023,4.456,35.278,-19.104,-0.07,9.16,31.53,6.216,307.4,0.082
2026-5-17 20:34:0:494,0.059,0.054,-1.415,-7.263,39.246,-18.555,-0.07,8.27,31.89,6.328,67.7,0.544
2026-5-17 20:34:0:514,0.031,-0.062,-1.309,-3.235,42.419,-18.066,-0.11,7.33,32.25,6.132,78.8,1.134
2026-5-17 20:34:0:534,0.013,-0.062,-1.048,5.371,43.091,-17.334,0.01,6.37,32.59,6.396,7.0,0.046
2026-5-17 20:34:0:554,0.018,-0.016,-1.149,5.493,43.152,-16.296,0.2,5.41,32.91,6.624,96.2,0.898
2026-5-17 20:34:0:574,0.028,0.004,-1.091,-2.258,44.678,-15.259,0.25,4.44,33.21,6.396,8.8,0.268
2026-5-17 20:34:0:594,0.023,-0.042,-1.045,-4.211,46.57,-14.282,0.18,3.45,33.48,6.4,47.9,0.184
2026-5-17 20:34:0:614,0.026,-0.056,-1.163,5.127,47.974,-13.428,0.23,2.44,33.73,6.4,15.2,0.098
2026-5-17 20:34:0:634,0.028,-0.002,-1.096,6.47,50.293,-12.268,0.39,1.4,33.97,6.392,80.4,0.026
2026-5-17 20:34:0:654,0.023,0.002,-1.012,-3.601,53.101,-11.169,0.4,0.32,34.17,6.4,13.1,0.072
2026-5-17 20:34:0:674,0.023,-0.044,-1.172,-4.395,54.199,-9.827,0.3,-0.78,34.35,6.4,11.9,0.082
2026-5-17 20:34:0:694,0.024,-0.036,-1.113,5.249,54.077,-8.728,0.33,-1.87,34.51,6.396,12.0,0.078
2026-5-17 20:34:0:714,0.024,-0.007,-1.051,3.418,54.382,-7.751,0.42,-2.96,34.65,6.396,11.4,0.076
2026-5-17 20:34:0:734,0.02,-0.016,-1.163,-2.808,53.894,-6.104,0.4,-4.02,34.76,6.4,9.7,0.062
2026-5-17 20:34:0:754,0.019,-0.034,-1.107,-1.831,53.162,-4.822,0.34,-5.06,34.83,6.396,9.6,0.066
2026-5-17 20:34:0:774,0.023,-0.024,-1.092,1.404,53.467,-3.845,0.34,-6.08,34.89,5.66,2170.5,0.072
2026-5-17 20:34:0:794,0.021,-0.015,-1.147,0.977,54.504,-2.502,0.37,-7.1,34.93,5.592,1596.9,11.914
2026-5-17 20:34:0:814,0.024,-0.01,-1.125,-1.038,55.054,-1.099,0.36,-8.13,34.94,6.384,1472.3,2.874
2026-5-17 20:34:0:834,0.054,0.034,-1.41,-1.831,55.542,0.0,0.32,-9.16,34.92,5.976,1200.6,7.314
2026-5-17 20:34:0:854,0.027,0.0,-0.995,-3.845,54.26,1.77,0.25,-10.16,34.88,6.028,800.1,5.6
2026-5-17 20:34:0:874,0.029,0.011,-1.141,-7.996,53.528,2.563,0.14,-11.12,34.8,6.176,522.8,4.018
2026-5-17 20:34:0:894,0.014,-0.036,-1.317,-1.892,50.415,4.211,0.12,-12.02,34.71,6.168,568.4,3.946
2026-5-17 20:34:0:914,0.025,0.002,-1.095,-1.343,50.232,5.249,0.12,-12.89,34.59,6.4,6.2,0.016
2026-5-17 20:34:0:934,0.025,0.001,-0.892,0.0,49.133,6.409,0.14,-13.74,34.45,6.4,2.6,0.026
2026-5-17 20:34:0:954,0.02,-0.021,-1.005,4.15,48.157,7.568,0.23,-14.55,34.28,6.404,37.8,0.016
2026-5-17 20:34:0:974,0.021,-0.022,-1.002,7.568,48.401,8.606,0.4,-15.35,34.09,6.356,4.1,0.068
2026-5-17 20:34:0:994,0.014,0.009,-0.945,-0.366,47.668,9.766,0.51,-16.14,33.87,7.5,588.2,2.152
2026-5-17 20:34:1:14,0.016,-0.023,-0.963,-3.357,45.105,10.986,0.51,-16.88,33.63,6.404,9.6,0.092
2026-5-17 20:34:1:34,0.02,-0.017,-1.008,1.831,42.236,12.146,0.58,-17.55,33.36,6.352,226.4,0.042
2026-5-17 20:34:1:54,0.014,-0.011,-1.008,3.418,40.039,13.123,0.73,-18.16,33.07,6.4,7.0,0.132
2026-5-17 20:34:1:74,0.011,-0.011,-1.011,0.854,35.95,13.977,0.85,-18.7,32.76,6.4,7.2,0.082
2026-5-17 20:34:1:94,0.016,-0.013,-1.008,-0.183,32.41,15.137,0.94,-19.15,32.43,6.4,7.6,0.092
2026-5-17 20:34:1:114,0.021,-0.019,-0.993,-0.61,31.433,15.869,1.03,-19.56,32.08,6.4,6.2,0.04
2026-5-17 20:34:1:134,0.017,-0.024,-0.99,1.648,29.968,16.663,1.15,-19.95,31.71,6.4,6.0,0.04
2026-5-17 20:34:1:154,0.017,-0.012,-0.999,3.662,27.588,17.639,1.33,-20.29,31.33,6.4,5.9,0.036
2026-5-17 20:34:1:174,0.02,-0.001,-0.966,0.061,25.513,18.494,1.48,-20.57,30.92,6.4,6.2,0.046
2026-5-17 20:34:1:194,0.013,-0.02,-0.974,-1.587,23.56,19.165,1.58,-20.81,30.5,6.4,6.3,0.04
2026-5-17 20:34:1:214,0.01,-0.026,-0.972,2.563,18.616,19.714,1.72,-20.98,30.08,6.4,6.6,0.042
2026-5-17 20:34:1:234,0.01,-0.003,-0.958,3.418,13.916,20.264,1.93,-21.04,29.64,6.404,6.5,0.042
2026-5-17 20:34:1:254,0.015,-0.001,-0.951,-1.343,10.681,20.935,2.08,-21.02,29.19,6.4,6.5,0.04
2026-5-17 20:34:1:274,0.013,-0.022,-0.949,-1.77,7.629,21.118,2.16,-20.94,28.74,6.4,6.2,0.042
2026-5-17 20:34:1:294,0.012,-0.024,-0.945,3.174,3.967,21.484,2.32,-20.79,28.29,6.404,6.0,0.042
2026-5-17 20:34:1:314,0.021,0.001,-0.947,1.404,1.77,21.973,2.5,-20.58,27.83,6.4,6.8,0.046
2026-5-17 20:34:1:334,0.019,-0.01,-0.942,-3.052,0.854,22.095,2.6,-20.36,27.37,6.4,6.9,0.046
2026-5-17 20:34:1:354,0.01,-0.028,-0.95,-0.427,-1.892,22.278,2.68,-20.09,26.91,5.644,2039.8,10.722
2026-5-17 20:34:1:374,0.011,-0.009,-0.95,2.258,-5.981,22.4,2.83,-19.75,26.46,5.536,1416.2,11.08
2026-5-17 20:34:1:394,0.014,0.002,-0.951,-2.625,-9.155,22.4,2.94,-19.35,26.0,6.312,15.4,0.046
2026-5-17 20:34:1:414,0.009,-0.042,-0.852,-0.061,-12.878,22.278,2.99,-18.89,25.56,5.944,1016.8,6.776
2026-5-17 20:34:1:434,0.007,-0.015,-0.961,2.258,-17.273,21.973,3.14,-18.34,25.13,6.172,598.6,3.916
2026-5-17 20:34:1:454,0.02,0.022,-0.933,-2.319,-20.325,22.278,3.24,-17.72,24.7,6.184,420.0,3.884
2026-5-17 20:34:1:474,0.02,-0.003,-0.793,-8.423,-22.095,21.973,3.18,-17.06,24.28,6.4,442.5,0.02
2026-5-17 20:34:1:494,0.02,-0.021,-0.85,-7.812,-23.987,21.606,3.08,-16.39,23.87,6.4,2.8,0.014
2026-5-17 20:34:1:514,-0.003,-0.056,-1.014,-3.296,-26.978,21.423,3.06,-15.67,23.48,6.4,2.8,0.016
2026-5-17 20:34:1:534,0.021,-0.005,-0.921,0.0,-28.931,21.118,3.11,-14.91,23.09,6.316,2.2,0.394
2026-5-17 20:34:1:554,0.036,0.03,-0.881,-5.31,-31.189,20.264,3.1,-14.13,22.71,5.972,719.1,8.372
2026-5-17 20:34:1:574,0.029,0.041,-1.177,-11.658,-33.752,19.897,2.96,-13.3,22.35,6.256,8.0,1.374
2026-5-17 20:34:1:594,0.042,0.038,-1.6,-16.418,-36.255,19.348,2.75,-12.42,22.0,7.04,129.6,1.02
2026-5-17 20:34:1:614,0.016,-0.03,-1.11,-3.662,-41.016,18.799,2.64,-11.48,21.67,6.388,81.5,0.086
2026-5-17 20:34:1:634,0.025,-0.008,-0.91,-4.639,-41.748,17.761,2.57,-10.52,21.36,6.28,236.0,1.75
2026-5-17 20:34:1:654,0.028,0.001,-1.12,-8.85,-42.053,17.517,2.44,-9.56,21.05,6.4,36.4,0.026
2026-5-17 20:34:1:674,0.022,-0.006,-1.214,-12.634,-42.664,16.846,2.23,-8.61,20.75,6.4,13.4,0.086
2026-5-17 20:34:1:694,0.019,-0.025,-0.902,-11.78,-43.945,15.747,1.99,-7.65,20.48,6.408,4.9,0.294
2026-5-17 20:34:1:714,0.017,-0.018,-1.164,-10.925,-46.021,14.954,1.77,-6.67,20.21,6.384,77.7,0.194
2026-5-17 20:34:1:734,0.02,-0.013,-1.106,-10.376,-48.706,14.343,1.57,-5.65,19.96,6.336,11.9,0.058
2026-5-17 20:34:1:754,0.019,-0.006,-1.014,-13.0,-50.659,13.062,1.33,-4.6,19.73,6.396,16.1,0.098
2026-5-17 20:34:1:774,0.023,-0.022,-1.187,-14.954,-52.429,12.024,1.03,-3.53,19.52,6.396,16.5,0.098
2026-5-17 20:34:1:794,0.024,-0.027,-1.062,-12.024,-52.795,11.23,0.76,-2.45,19.32,5.644,873.0,9.896
2026-5-17 20:34:1:814,0.025,-0.013,-1.091,-12.878,-51.941,9.888,0.52,-1.4,19.13,5.84,1445.6,10.264
2026-5-17 20:34:1:834,0.036,0.011,-1.396,-17.761,-51.025,8.606,0.2,-0.38,18.97,5.884,1363.3,7.924
2026-5-17 20:34:1:854,0.025,-0.033,-1.312,-21.423,-50.11,7.874,-0.23,0.6,18.82,6.132,835.1,4.732
2026-5-17 20:34:1:874,-0.016,-0.097,-1.085,-18.311,-51.331,6.714,-0.62,1.58,18.69,6.144,783.5,4.646
2026-5-17 20:34:1:894,0.022,-0.005,-1.312,-12.512,-52.856,4.883,-0.91,2.57,18.58,6.216,550.4,3.89
2026-5-17 20:34:1:914,0.026,0.023,-1.333,-15.442,-54.626,3.845,-1.16,3.59,18.49,6.188,546.5,2.51
2026-5-17 20:34:1:934,0.021,-0.013,-0.979,-20.935,-54.077,2.869,-1.54,4.61,18.42,6.4,19.1,0.02
2026-5-17 20:34:1:954,0.031,-0.027,-0.944,-12.756,-55.115,1.099,-1.86,5.62,18.36,6.36,2.8,0.016
2026-5-17 20:34:1:974,0.019,-0.043,-1.049,-4.883,-55.115,-0.122,-1.98,6.62,18.34,6.312,28.3,0.082
2026-5-17 20:34:1:994,0.03,0.002,-1.009,-12.878,-50.781,-0.916,-2.14,7.57,18.33,6.28,53.6,1.294
2026-5-17 20:34:2:14,0.032,-0.01,-1.005,-16.113,-47.913,-2.319,-2.42,8.42,18.35,6.632,641.3,1.088
2026-5-17 20:34:2:34,0.019,-0.036,-1.004,-12.878,-47.546,-3.662,-2.67,9.24,18.39,6.78,20.1,1.878
2026-5-17 20:34:2:54,0.026,-0.025,-1.042,-10.315,-46.021,-4.822,-2.86,10.04,18.45,6.38,6.6,0.138
2026-5-17 20:34:2:74,0.026,-0.017,-1.083,-10.376,-44.922,-6.104,-3.01,10.79,18.53,6.38,6.7,0.042
2026-5-17 20:34:2:94,0.018,-0.009,-1.065,-13.245,-45.532,-7.324,-3.19,11.54,18.64,6.4,28.8,0.144
2026-5-17 20:34:2:114,0.028,-0.029,-1.021,-14.648,-45.959,-8.362,-3.42,12.3,18.78,6.4,5.9,0.04
2026-5-17 20:34:2:134,0.028,-0.041,-1.063,-9.216,-43.091,-9.644,-3.57,13.02,18.93,6.404,5.8,0.036
2026-5-17 20:34:2:154,0.029,-0.017,-1.043,-6.897,-39.856,-10.986,-3.62,13.66,19.12,6.404,6.0,0.036
2026-5-17 20:34:2:174,0.032,-0.019,-1.019,-11.902,-37.354,-12.085,-3.72,14.24,19.33,6.404,5.8,0.036
