time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 21:3:54:734,0.05,-0.036,-1.186,11.841,70.19,-6.958,0.14,0.12,64.38,6.38,7.6,0.046
2026-5-17 21:3:54:754,0.048,-0.03,-1.192,11.719,74.219,-6.897,0.37,-1.33,64.47,6.384,7.9,0.052
2026-5-17 21:3:54:774,0.036,-0.03,-1.197,11.902,74.951,-7.935,0.59,-2.81,64.56,6.384,7.3,0.05
2026-5-17 21:3:54:794,0.038,-0.026,-1.2,11.719,72.876,-8.118,0.81,-4.25,64.67,6.38,7.9,0.052
2026-5-17 21:3:54:814,0.037,-0.027,-1.196,10.62,72.205,-7.629,1.0,-5.64,64.75,6.38,7.7,0.052
2026-5-17 21:3:54:834,0.034,-0.037,-1.198,11.169,70.19,-8.24,1.19,-6.98,64.85,6.384,7.4,0.05
2026-5-17 21:3:54:854,0.038,-0.028,-1.197,11.169,67.932,-8.85,1.38,-8.26,64.96,6.028,2067.3,0.216
2026-5-17 21:3:54:874,0.045,-0.028,-1.189,9.216,69.153,-8.057,1.54,-9.53,65.05,6.22,11.9,2.008
2026-5-17 21:3:54:894,0.039,-0.031,-1.062,9.583,70.557,-8.484,1.69,-10.82,65.14,6.016,787.8,6.96
2026-5-17 21:3:54:914,0.039,-0.048,-1.138,15.259,69.641,-9.033,1.89,-12.08,65.24,6.112,798.8,5.384
2026-5-17 21:3:54:934,0.039,0.019,-1.14,11.536,70.312,-8.362,2.13,-13.33,65.34,6.236,233.2,3.038
2026-5-17 21:3:54:954,0.032,-0.017,-0.993,2.441,69.336,-8.484,2.18,-14.57,65.42,6.256,415.4,2.68
2026-5-17 21:3:54:974,0.026,-0.047,-1.015,4.639,65.186,-8.85,2.18,-15.73,65.52,6.38,2.9,0.02
2026-5-17 21:3:54:994,0.024,-0.054,-1.021,12.451,60.242,-8.728,2.29,-16.78,65.63,6.28,361.0,0.016
2026-5-17 21:3:55:14,0.021,-0.033,-1.071,10.559,57.495,-8.057,2.47,-17.74,65.73,7.96,160.5,0.498
2026-5-17 21:3:55:34,0.02,-0.025,-1.014,6.531,54.81,-8.179,2.57,-18.64,65.82,5.908,-205.7,3.284
2026-5-17 21:3:55:54,0.027,0.007,-1.238,2.686,52.307,-8.85,2.58,-19.48,65.95,6.156,184.4,0.068
2026-5-17 21:3:55:74,0.054,0.073,-1.549,3.967,52.307,-8.118,2.57,-20.29,66.06,6.344,27.9,0.078
2026-5-17 21:3:55:94,0.019,-0.049,-1.137,10.62,48.584,-7.812,2.65,-21.04,66.16,6.312,-8.1,1.608
2026-5-17 21:3:55:114,0.034,-0.022,-0.982,8.484,46.204,-8.179,2.79,-21.73,66.28,6.384,54.9,0.062
2026-5-17 21:3:55:134,0.037,-0.009,-1.105,3.052,44.861,-7.69,2.81,-22.37,66.38,6.324,59.4,0.088
2026-5-17 21:3:55:154,0.019,-0.037,-1.003,1.16,41.016,-7.324,2.76,-22.97,66.49,6.38,19.5,0.128
2026-5-17 21:3:55:174,0.021,-0.044,-1.006,5.615,34.607,-7.568,2.76,-23.43,66.6,6.372,17.0,0.032
2026-5-17 21:3:55:194,0.029,-0.021,-0.965,5.798,30.518,-7.08,2.8,-23.79,66.73,6.376,45.4,0.03
2026-5-17 21:3:55:214,0.029,-0.021,-0.935,0.61,27.893,-6.348,2.77,-24.08,66.85,6.372,27.3,0.384
2026-5-17 21:3:55:234,0.024,-0.045,-0.969,1.526,23.499,-6.165,2.7,-24.3,66.96,6.376,53.2,0.21
2026-5-17 21:3:55:254,0.028,-0.027,-0.926,4.089,19.348,-6.165,2.7,-24.42,67.08,6.372,29.8,0.19
2026-5-17 21:3:55:274,0.031,-0.021,-0.92,2.319,17.944,-5.676,2.68,-24.5,67.19,6.376,26.1,0.18
2026-5-17 21:3:55:294,0.023,-0.03,-0.917,-0.122,15.564,-5.127,2.61,-24.54,67.3,6.384,12.0,0.082
2026-5-17 21:3:55:314,0.021,-0.037,-0.918,1.709,10.681,-4.883,2.55,-24.51,67.41,6.088,1132.9,3.752
2026-5-17 21:3:55:334,0.024,-0.025,-0.914,1.038,5.859,-4.761,2.51,-24.37,67.52,5.696,1031.8,5.482
2026-5-17 21:3:55:354,0.038,-0.028,-1.238,0.305,2.441,-4.028,2.44,-24.15,67.62,5.916,1270.7,5.66
2026-5-17 21:3:55:374,0.034,-0.057,-1.006,-0.854,-5.249,-3.479,2.37,-23.83,67.71,6.028,951.7,6.73
2026-5-17 21:3:55:394,0.006,0.017,-0.86,-6.958,-10.193,-3.357,2.21,-23.37,67.82,6.144,666.5,3.66
2026-5-17 21:3:55:414,0.04,0.002,-1.108,-7.263,-12.329,-2.991,1.99,-22.85,67.92,6.14,685.8,3.464
2026-5-17 21:3:55:434,0.021,-0.008,-1.054,-1.892,-12.573,-2.075,1.86,-22.34,68.0,6.204,163.7,2.088
2026-5-17 21:3:55:454,0.017,-0.021,-0.762,-0.793,-16.479,-2.075,1.78,-21.77,68.07,6.388,172.3,0.046
2026-5-17 21:3:55:474,0.034,-0.027,-0.821,1.343,-20.508,-1.892,1.74,-21.13,68.15,6.384,3.1,0.016
2026-5-17 21:3:55:494,0.022,-0.058,-0.887,5.249,-22.217,-1.099,1.75,-20.45,68.22,7.732,5.7,1.74
2026-5-17 21:3:55:514,0.014,0.002,-0.848,-1.221,-26.672,-0.671,1.76,-19.71,68.27,6.188,581.4,1.832
2026-5-17 21:3:55:534,0.014,-0.004,-0.888,-8.362,-33.997,-0.793,1.58,-18.85,68.33,6.364,541.1,1.91
2026-5-17 21:3:55:554,0.027,-0.079,-0.917,-2.197,-40.71,-0.305,1.43,-17.85,68.4,6.36,22.7,1.426
2026-5-17 21:3:55:574,0.033,-0.025,-0.98,4.028,-43.396,0.427,1.45,-16.78,68.45,6.384,19.1,0.104
2026-5-17 21:3:55:594,0.025,0.0,-1.009,-2.747,-46.631,0.854,1.43,-15.68,68.49,7.392,5.4,0.96
2026-5-17 21:3:55:614,0.035,-0.026,-1.019,-8.667,-49.316,0.732,1.26,-14.52,68.53,6.32,56.3,0.132
2026-5-17 21:3:55:634,0.044,-0.051,-1.04,-4.822,-48.096,1.404,1.1,-13.38,68.56,6.376,43.4,0.04
2026-5-17 21:3:55:654,0.035,-0.031,-1.062,-0.61,-48.035,2.136,1.05,-12.27,68.57,6.384,7.4,0.078
2026-5-17 21:3:55:674,0.029,-0.017,-1.082,-4.211,-52.49,2.258,0.99,-11.11,68.57,6.432,8.0,0.39
