time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 21:32:45:514,0.048,0.014,-0.972,1.892,14.099,15.93,2.67,-17.44,3.53,6.376,5.6,0.04
2026-5-17 21:32:45:534,0.051,0.006,-0.955,-0.061,11.047,15.991,2.76,-17.45,3.19,6.376,5.8,0.036
2026-5-17 21:32:45:554,0.051,0.0,-0.956,0.427,7.751,15.869,2.83,-17.4,2.85,6.376,6.0,0.04
2026-5-17 21:32:45:574,0.05,0.006,-0.956,1.831,4.883,16.174,2.93,-17.28,2.52,6.376,5.8,0.036
2026-5-17 21:32:45:594,0.048,0.008,-0.954,-0.366,1.404,15.869,3.01,-17.11,2.19,6.372,5.5,0.036
2026-5-17 21:32:45:614,0.05,0.004,-0.956,-1.221,-1.099,15.686,3.05,-16.88,1.87,6.376,5.6,0.036
2026-5-17 21:32:45:634,0.052,0.0,-0.947,-1.038,-3.784,15.442,3.09,-16.59,1.56,5.888,1344.1,10.87
2026-5-17 21:32:45:654,0.052,0.007,-0.956,-1.16,-6.104,15.503,3.12,-16.27,1.25,5.9,1267.1,0.134
2026-5-17 21:32:45:674,0.047,-0.013,-0.854,1.404,-9.277,15.32,3.17,-15.89,0.96,5.912,1061.7,7.586
2026-5-17 21:32:45:694,0.046,0.014,-0.915,-0.793,-11.719,14.832,3.22,-15.46,0.68,6.148,573.5,3.73
2026-5-17 21:32:45:714,0.052,0.027,-0.921,-6.958,-13.489,14.221,3.17,-15.0,0.4,6.152,511.3,3.28
2026-5-17 21:32:45:734,0.034,-0.019,-0.826,-9.216,-16.724,13.794,3.01,-14.5,0.15,6.24,2.9,2.11
2026-5-17 21:32:45:754,0.051,-0.024,-0.87,-4.211,-19.958,13.55,2.91,-13.93,-0.09,6.38,2.8,0.016
2026-5-17 21:32:45:774,0.065,0.024,-0.891,-1.831,-22.949,13.062,2.9,-13.29,-0.33,6.376,2.7,0.016
2026-5-17 21:32:45:794,0.058,0.003,-0.896,-5.859,-24.414,12.512,2.84,-12.64,-0.55,6.268,225.0,1.73
2026-5-17 21:32:45:814,0.065,0.01,-0.922,-6.409,-27.893,11.841,2.72,-11.94,-0.75,6.216,688.6,0.05
2026-5-17 21:32:45:834,0.047,-0.019,-0.991,-6.653,-30.334,11.169,2.61,-11.18,-0.94,6.072,626.4,0.25
2026-5-17 21:32:45:854,0.112,0.074,-1.369,-7.69,-30.823,10.803,2.47,-10.44,-1.12,6.34,14.5,1.838
2026-5-17 21:32:45:874,0.076,0.026,-1.236,-9.399,-33.875,9.949,2.29,-9.65,-1.29,6.248,3.9,0.042
2026-5-17 21:32:45:894,0.056,0.006,-0.926,-12.878,-35.461,9.521,2.04,-8.83,-1.44,6.344,3.5,0.138
2026-5-17 21:32:45:914,0.054,-0.021,-1.031,-11.414,-35.767,9.277,1.77,-8.0,-1.59,6.372,11.8,0.022
