time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 19:43:27:994,0.06,-0.017,-1.001,4.395,-22.278,-24.475,-5.02,20.43,33.93,5.832,460.9,2.768
2026-5-17 19:43:28:14,0.043,0.007,-0.865,1.038,-18.066,-25.33,-4.74,20.58,34.46,6.004,3.0,0.016
2026-5-17 19:43:28:34,0.052,0.007,-0.848,-5.005,-15.381,-26.001,-4.55,20.66,35.0,5.984,373.5,0.046
2026-5-17 19:43:28:54,0.046,-0.046,-0.939,0.061,-13.367,-26.428,-4.37,20.7,35.57,6.004,21.8,0.04
2026-5-17 19:43:28:74,0.058,-0.016,-0.775,13.977,-8.789,-26.978,-3.94,20.67,36.15,6.568,86.9,0.158
2026-5-17 19:43:28:94,0.048,0.029,-0.833,8.85,-2.686,-27.527,-3.46,20.51,36.75,8.072,118.1,6.256
2026-5-17 19:43:28:114,0.042,0.013,-0.902,-7.385,2.014,-27.954,-3.26,20.25,37.35,6.004,32.1,0.036
2026-5-17 19:43:28:134,0.044,-0.055,-0.84,-8.545,4.883,-28.137,-3.21,19.92,37.97,6.004,19.8,0.032
2026-5-17 19:43:28:154,0.048,-0.065,-0.903,5.554,10.01,-28.259,-2.97,19.52,38.59,5.988,38.2,0.114
2026-5-17 19:43:28:174,0.042,-0.01,-0.945,11.169,13.672,-28.564,-2.52,19.02,39.21,6.0,9.4,0.18
2026-5-17 19:43:28:194,0.038,0.013,-0.904,1.526,15.564,-28.748,-2.19,18.48,39.84,6.008,9.5,0.058
2026-5-17 19:43:28:214,0.045,-0.027,-0.923,-5.249,17.7,-28.687,-2.05,17.91,40.45,6.0,34.4,0.062
2026-5-17 19:43:28:234,0.048,-0.055,-0.976,2.991,21.423,-28.503,-1.87,17.28,41.06,6.0,4.5,0.066
2026-5-17 19:43:28:254,0.045,-0.024,-0.941,8.301,24.536,-28.32,-1.53,16.58,41.67,5.972,3.4,0.062
2026-5-17 19:43:28:274,0.045,0.001,-0.968,3.479,27.893,-28.198,-1.23,15.83,42.26,6.0,9.0,0.112
