time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 19:48:31:784,0.062,0.023,-0.912,-1.221,-6.958,-43.091,-4.72,22.35,39.03,5.828,2.0,2.562
2026-5-17 19:48:31:804,0.036,-0.031,-0.759,-0.305,-1.648,-43.945,-4.39,22.19,39.98,5.996,9.6,0.216
2026-5-17 19:48:31:824,0.037,-0.04,-0.82,4.578,-0.549,-44.189,-3.98,21.98,40.94,5.996,8.5,0.016
2026-5-17 19:48:31:844,0.049,-0.031,-0.845,11.902,0.854,-44.8,-3.44,21.74,41.9,5.868,164.0,0.222
2026-5-17 19:48:31:864,0.049,0.011,-0.784,12.695,6.104,-45.166,-2.81,21.43,42.87,5.912,27.5,0.966
2026-5-17 19:48:31:884,0.045,0.029,-0.85,0.0,9.766,-45.41,-2.36,21.02,43.85,5.668,70.2,2.29
2026-5-17 19:48:31:904,0.038,-0.025,-0.872,-5.737,10.681,-45.227,-2.14,20.57,44.82,5.94,199.7,0.668
2026-5-17 19:48:31:924,0.05,-0.061,-0.882,2.136,14.282,-45.41,-1.87,20.08,45.79,5.98,455.0,0.17
2026-5-17 19:48:31:944,0.052,-0.035,-0.939,11.414,21.79,-45.288,-1.4,19.46,46.75,5.996,3.5,0.066
2026-5-17 19:48:31:964,0.044,0.01,-0.979,4.944,26.367,-45.044,-0.94,18.73,47.7,5.996,5.0,0.056
2026-5-17 19:48:31:984,0.044,-0.011,-0.924,-3.967,28.809,-44.617,-0.71,17.93,48.64,5.996,28.2,0.098
2026-5-17 19:48:32:4,0.05,-0.051,-0.978,-0.305,33.142,-44.128,-0.52,17.08,49.55,5.996,5.3,0.646
2026-5-17 19:48:32:24,0.041,-0.031,-1.0,7.141,36.438,-43.457,-0.2,16.14,50.44,5.992,15.6,0.14
2026-5-17 19:48:32:44,0.04,0.001,-0.981,3.662,36.621,-42.297,0.11,15.2,51.31,6.0,7.3,0.062
2026-5-17 19:48:32:64,0.046,-0.011,-1.021,-3.418,38.269,-41.504,0.26,14.25,52.15,5.996,7.5,0.046
2026-5-17 19:48:32:84,0.05,-0.042,-1.027,-1.221,42.969,-40.71,0.36,13.23,52.96,5.996,7.1,0.016
2026-5-17 19:48:32:104,0.04,-0.024,-1.033,3.296,45.044,-39.307,0.54,12.16,53.75,5.996,6.9,0.042
