time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 19:19:10:644,0.084,-0.02,-1.272,-9.521,-37.964,37.842,2.35,-8.56,129.59,6.044,4.5,0.03
2026-5-17 19:19:10:664,0.06,0.009,-1.077,-9.338,-40.527,36.926,2.3,-7.64,128.89,6.04,61.6,0.036
2026-5-17 19:19:10:684,0.051,-0.01,-0.866,-15.137,-44.006,35.217,2.13,-6.66,128.22,6.008,92.9,0.072
2026-5-17 19:19:10:704,0.075,-0.025,-1.231,-16.235,-45.349,33.875,1.88,-5.65,127.58,6.04,10.0,0.056
2026-5-17 19:19:10:724,0.066,-0.022,-1.136,-13.306,-46.875,32.898,1.67,-4.64,126.97,6.028,14.3,0.086
2026-5-17 19:19:10:744,0.061,-0.0,-0.993,-16.235,-50.049,31.25,1.44,-3.58,126.38,6.036,9.6,0.036
2026-5-17 19:19:10:764,0.075,-0.015,-1.14,-18.86,-50.903,29.175,1.12,-2.5,125.83,6.04,8.3,0.05
2026-5-17 19:19:10:784,0.082,-0.021,-1.09,-17.151,-49.622,27.832,0.8,-1.45,125.3,6.04,12.3,0.078
2026-5-17 19:19:10:804,0.067,-0.01,-1.074,-17.578,-49.133,26.123,0.48,-0.44,124.8,6.036,11.4,0.072
2026-5-17 19:19:10:824,0.077,-0.014,-1.147,-19.043,-50.415,23.682,0.13,0.57,124.34,6.04,11.2,0.076
2026-5-17 19:19:10:844,0.072,-0.013,-1.086,-19.531,-49.683,21.729,-0.24,1.56,123.91,5.604,1194.8,6.278
2026-5-17 19:19:10:864,0.068,-0.016,-1.111,-20.813,-49.377,20.142,-0.63,2.52,123.51,5.448,1399.5,7.996
2026-5-17 19:19:10:884,0.07,-0.012,-1.314,-21.973,-52.185,17.7,-1.04,3.51,123.15,5.484,1438.4,8.134
2026-5-17 19:19:10:904,0.085,-0.041,-1.439,-22.583,-53.345,14.832,-1.49,4.52,122.84,5.576,971.6,7.52
2026-5-17 19:19:10:924,0.058,-0.032,-1.027,-23.682,-51.636,12.939,-1.98,5.49,122.56,5.768,772.6,4.988
2026-5-17 19:19:10:944,0.137,0.106,-1.103,-21.545,-51.086,10.803,-2.41,6.45,122.32,5.832,518.7,3.214
2026-5-17 19:19:10:964,0.062,-0.065,-1.356,-19.958,-51.208,8.057,-2.77,7.4,122.11,5.856,510.7,3.008
2026-5-17 19:19:10:984,0.08,-0.016,-0.96,-18.982,-47.119,5.859,-3.14,8.27,121.95,6.04,2.8,0.016
2026-5-17 19:19:11:4,0.066,-0.019,-0.957,-12.146,-47.729,4.761,-3.41,9.11,121.82,6.044,2.5,0.016
2026-5-17 19:19:11:24,0.077,0.013,-1.111,-14.404,-49.133,1.77,-3.64,9.96,121.73,6.04,4.1,0.052
2026-5-17 19:19:11:44,0.069,-0.011,-0.967,-24.048,-47.363,-1.221,-4.02,10.81,121.7,7.724,183.8,1.344
2026-5-17 19:19:11:64,0.066,-0.055,-0.96,-20.752,-46.082,-2.93,-4.46,11.59,121.72,5.864,5.0,1.328
2026-5-17 19:19:11:84,0.083,-0.014,-0.98,-9.46,-47.058,-4.211,-4.67,12.38,121.75,6.672,345.7,0.066
2026-5-17 19:19:11:104,0.072,-0.004,-1.035,-9.46,-44.983,-6.958,-4.77,13.15,121.83,6.284,412.2,1.844
2026-5-17 19:19:11:124,0.076,0.006,-1.026,-18.25,-40.161,-9.949,-4.98,13.83,121.97,6.376,1196.0,0.964
2026-5-17 19:19:11:144,0.069,-0.026,-1.066,-21.973,-38.574,-11.78,-5.32,14.45,122.16,6.036,17.5,0.086
2026-5-17 19:19:11:164,0.073,-0.05,-1.008,-13.855,-37.476,-13.855,-5.56,15.05,122.38,6.028,61.2,0.138
2026-5-17 19:19:11:184,0.074,-0.026,-1.007,-5.676,-33.63,-15.991,-5.6,15.59,122.66,6.028,118.3,0.148
2026-5-17 19:19:11:204,0.068,0.008,-1.04,-10.986,-31.982,-17.761,-5.62,16.07,122.98,6.024,24.1,0.252
2026-5-17 19:19:11:224,0.067,-0.021,-0.992,-17.029,-32.41,-20.02,-5.79,16.55,123.34,6.044,7.5,0.304
2026-5-17 19:19:11:244,0.074,-0.056,-1.0,-10.986,-30.151,-22.278,-5.91,17.0,123.76,6.04,33.2,0.666
2026-5-17 19:19:11:264,0.073,-0.024,-0.988,-1.892,-26.794,-23.743,-5.82,17.39,124.21,6.02,66.6,0.032
2026-5-17 19:19:11:284,0.066,0.008,-0.983,-5.737,-24.719,-25.208,-5.7,17.72,124.69,6.04,8.2,0.062
2026-5-17 19:19:11:304,0.075,-0.019,-0.969,-11.841,-21.545,-27.71,-5.71,18.0,125.23,6.032,22.9,0.292
2026-5-17 19:19:11:324,0.073,-0.054,-0.966,-5.676,-16.663,-29.602,-5.67,18.2,125.83,6.036,19.7,0.144
2026-5-17 19:19:11:344,0.065,-0.026,-0.959,2.441,-13.733,-30.151,-5.45,18.31,126.45,6.036,22.7,0.114
2026-5-17 19:19:11:364,0.069,0.006,-0.954,-1.709,-11.719,-31.738,-5.21,18.39,127.1,6.032,24.8,0.148
2026-5-17 19:19:11:384,0.069,-0.026,-0.949,-6.287,-8.972,-33.936,-5.08,18.41,127.79,6.032,25.5,0.164
2026-5-17 19:19:11:404,0.066,-0.043,-0.948,1.099,-6.47,-34.607,-4.87,18.38,128.51,6.032,28.5,0.164
2026-5-17 19:19:11:424,0.067,-0.012,-0.942,4.456,-4.944,-35.095,-4.55,18.31,129.25,6.028,28.3,0.164
2026-5-17 19:19:11:444,0.072,-0.005,-0.943,-0.549,-2.136,-36.865,-4.27,18.19,130.02,6.032,27.6,0.168
2026-5-17 19:19:11:464,0.074,-0.039,-0.947,0.0,2.075,-38.025,-4.04,18.0,130.81,6.032,25.2,0.148
2026-5-17 19:19:11:484,0.069,-0.033,-0.947,5.859,5.859,-38.147,-3.72,17.73,131.63,6.032,25.9,0.148
2026-5-17 19:19:11:504,0.072,-0.008,-0.95,4.944,9.399,-38.757,-3.36,17.39,132.45,5.696,624.8,8.326
2026-5-17 19:19:11:524,0.072,-0.021,-0.937,1.892,13.489,-40.039,-3.07,16.97,133.29,5.648,861.3,5.45
2026-5-17 19:19:11:544,0.063,-0.025,-0.881,3.906,17.09,-40.283,-2.77,16.48,134.14,5.64,901.8,5.138
2026-5-17 19:19:11:564,0.06,-0.022,-0.931,8.362,18.311,-39.734,-2.42,15.95,134.98,5.812,469.7,3.598
2026-5-17 19:19:11:584,0.063,-0.021,-0.86,5.615,21.301,-40.161,-2.09,15.36,135.82,5.864,404.6,2.752
2026-5-17 19:19:11:604,0.052,-0.028,-0.845,3.113,24.231,-40.771,-1.82,14.72,136.68,6.04,2.7,0.056
2026-5-17 19:19:11:624,0.102,0.042,-0.768,2.747,26.794,-40.588,-1.64,14.04,137.52,6.04,2.4,0.112
2026-5-17 19:19:11:644,0.088,0.018,-1.008,2.625,28.748,-40.222,-1.4,13.33,138.35,6.04,7.2,0.03
2026-5-17 19:19:11:664,0.107,0.029,-0.812,4.883,31.616,-40.222,-1.15,12.57,139.17,5.832,4.7,1.336
2026-5-17 19:19:11:684,0.073,-0.011,-1.029,5.249,36.316,-39.734,-0.94,11.72,139.99,5.896,1236.6,4.398
2026-5-17 19:19:11:704,0.073,0.015,-1.482,4.028,38.513,-38.757,-0.7,10.84,140.78,5.888,-37.0,1.048
2026-5-17 19:19:11:724,0.107,0.034,-1.298,0.488,41.321,-38.513,-0.54,9.91,141.55,6.004,161.2,5.456
2026-5-17 19:19:11:744,0.051,-0.036,-0.903,-4.395,43.518,-38.452,-0.52,8.93,142.33,6.32,7.5,0.468
2026-5-17 19:19:11:764,0.061,-0.056,-1.203,1.16,42.542,-36.682,-0.48,7.95,143.07,6.044,6.7,0.03
2026-5-17 19:19:11:784,0.076,-0.033,-1.189,10.986,42.053,-34.607,-0.28,7.02,143.78,5.892,86.3,0.042
2026-5-17 19:19:11:804,0.067,0.007,-0.895,7.019,44.739,-34.424,-0.05,6.05,144.46,6.036,24.7,0.088
2026-5-17 19:19:11:824,0.076,0.001,-1.17,-1.587,47.363,-33.875,-0.01,5.04,145.13,6.04,5.7,0.036
2026-5-17 19:19:11:844,0.082,-0.024,-1.168,-3.662,49.011,-32.043,-0.08,4.01,145.78,6.04,16.6,0.118
2026-5-17 19:19:11:864,0.073,-0.029,-0.971,0.793,52.734,-30.945,-0.1,2.93,146.39,6.016,35.9,0.04
2026-5-17 19:19:11:884,0.073,-0.024,-1.144,5.798,55.359,-29.297,-0.04,1.8,146.98,6.04,28.6,0.04
2026-5-17 19:19:11:904,0.068,0.013,-1.131,1.465,54.382,-27.466,0.02,0.68,147.53,6.04,7.8,0.056
2026-5-17 19:19:11:924,0.07,-0.012,-1.051,-7.08,54.321,-26.306,-0.1,-0.42,148.05,6.04,7.8,0.042
2026-5-17 19:19:11:944,0.068,-0.039,-1.15,-2.869,54.077,-25.024,-0.25,-1.5,148.56,5.336,297.2,5.912
