time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 20:53:34:244,0.03,-0.037,-1.122,-7.019,-60.73,14.893,1.42,-9.5,25.36,5.744,1756.4,11.432
2026-5-17 20:53:34:264,0.033,-0.017,-1.132,-8.362,-65.186,15.259,1.3,-8.11,25.13,6.072,668.6,11.168
2026-5-17 20:53:34:284,0.032,-0.024,-1.149,-13.306,-69.214,14.893,1.09,-6.66,24.9,6.38,84.8,0.096
2026-5-17 20:53:34:304,0.033,-0.057,-1.037,-11.169,-73.12,14.221,0.85,-5.14,24.68,5.964,1139.3,9.034
2026-5-17 20:53:34:324,0.044,-0.024,-1.205,-7.751,-73.486,14.343,0.7,-3.6,24.46,6.076,741.7,5.404
2026-5-17 20:53:34:344,0.047,-0.02,-1.123,-11.963,-70.496,14.099,0.51,-2.12,24.24,6.24,477.1,2.366
2026-5-17 20:53:34:364,0.04,-0.051,-0.98,-16.113,-69.58,13.184,0.21,-0.7,24.02,6.22,351.6,1.954
2026-5-17 20:53:34:384,0.042,-0.055,-1.083,-12.085,-69.031,12.939,-0.07,0.68,23.81,6.392,2.7,0.016
2026-5-17 20:53:34:404,0.032,0.0,-1.138,-12.939,-69.946,12.939,-0.31,2.05,23.58,6.38,12.6,2.032
2026-5-17 20:53:34:424,0.031,-0.079,-1.151,-15.015,-72.51,11.963,-0.59,3.46,23.37,6.2,670.1,2.976
2026-5-17 20:53:34:444,0.023,-0.013,-1.236,-13.184,-75.562,11.292,-0.86,4.9,23.17,6.172,-304.7,3.022
2026-5-17 20:53:34:464,0.037,0.039,-1.495,-13.977,-76.172,11.414,-1.09,6.36,22.96,6.608,444.3,0.056
2026-5-17 20:53:34:484,0.08,-0.086,-1.487,-21.484,-74.463,10.193,-1.51,7.78,22.76,6.32,291.1,0.186
2026-5-17 20:53:34:504,0.041,-0.086,-1.15,-16.235,-72.144,9.521,-1.92,9.13,22.58,6.596,3.5,0.032
2026-5-17 20:53:34:524,0.051,-0.036,-1.176,-8.972,-69.824,9.521,-2.15,10.43,22.38,6.328,22.3,1.51
2026-5-17 20:53:34:544,0.049,-0.007,-1.305,-8.85,-67.322,8.545,-2.3,11.66,22.19,6.328,95.4,0.852
2026-5-17 20:53:34:564,0.048,0.003,-1.236,-17.639,-65.857,7.385,-2.59,12.83,22.03,6.384,13.9,0.184
2026-5-17 20:53:34:584,0.036,-0.037,-1.121,-20.325,-65.613,7.385,-3.0,13.97,21.86,6.44,11.7,0.15
2026-5-17 20:53:34:604,0.04,-0.054,-1.17,-12.268,-67.139,6.775,-3.32,15.12,21.69,6.392,39.6,0.076
2026-5-17 20:53:34:624,0.044,-0.018,-1.14,-9.644,-67.444,5.493,-3.52,16.27,21.54,6.392,19.5,0.068
2026-5-17 20:53:34:644,0.05,-0.01,-1.11,-15.747,-63.782,5.066,-3.78,17.37,21.4,6.388,13.6,0.096
2026-5-17 20:53:34:664,0.049,-0.037,-1.123,-16.968,-60.425,4.883,-4.12,18.38,21.26,6.384,13.0,0.086
2026-5-17 20:53:34:684,0.049,-0.044,-1.079,-11.536,-56.458,3.723,-4.38,19.3,21.14,6.388,16.2,0.096
2026-5-17 20:53:34:704,0.05,-0.022,-1.073,-8.118,-51.636,2.93,-4.54,20.13,21.04,6.384,15.2,0.096
2026-5-17 20:53:34:724,0.043,-0.006,-1.07,-12.939,-47.791,2.686,-4.73,20.85,20.95,6.384,17.2,0.112
2026-5-17 20:53:34:744,0.042,-0.031,-1.032,-14.771,-46.387,1.892,-5.0,21.53,20.87,5.6,2062.2,11.928
2026-5-17 20:53:34:764,0.041,-0.042,-1.017,-8.789,-45.532,0.916,-5.19,22.18,20.81,6.248,809.0,1.292
2026-5-17 20:53:34:784,0.052,0.002,-1.441,-3.052,-42.725,0.427,-5.25,22.77,20.77,5.844,1231.4,6.77
2026-5-17 20:53:34:804,0.049,0.001,-1.019,-11.902,-39.917,-0.244,-5.34,23.32,20.74,6.044,760.6,4.772
2026-5-17 20:53:34:824,0.021,-0.063,-0.9,-23.865,-36.194,-1.221,-5.7,23.79,20.74,6.052,819.4,4.968
2026-5-17 20:53:34:844,0.047,-0.079,-1.164,-14.954,-33.081,-1.953,-6.02,24.19,20.75,6.188,417.1,2.424
2026-5-17 20:53:34:864,0.046,-0.041,-1.012,0.305,-28.625,-2.258,-6.03,24.51,20.78,6.388,2.4,0.02
2026-5-17 20:53:34:884,0.037,-0.002,-0.777,2.319,-24.353,-3.113,-5.88,24.72,20.83,6.388,2.6,0.02
2026-5-17 20:53:34:904,0.04,-0.043,-0.758,-1.404,-21.362,-4.028,-5.78,24.87,20.91,6.364,122.1,0.058
2026-5-17 20:53:34:924,0.042,-0.009,-0.896,-2.502,-18.005,-4.272,-5.73,24.96,21.0,6.684,79.7,0.242
2026-5-17 20:53:34:944,0.045,-0.034,-0.842,0.916,-13.062,-4.578,-5.64,24.96,21.1,6.092,122.4,4.12
2026-5-17 20:53:34:964,0.036,-0.025,-0.81,3.296,-8.24,-5.432,-5.47,24.86,21.24,9.1,6.7,5.22
2026-5-17 20:53:34:984,0.04,-0.024,-0.814,1.831,-5.188,-6.226,-5.3,24.7,21.39,6.36,9.8,0.17
2026-5-17 20:53:35:4,0.049,-0.013,-0.905,-1.099,-1.343,-6.409,-5.18,24.46,21.56,6.384,26.5,0.25
2026-5-17 20:53:35:24,0.048,-0.036,-0.917,-1.831,4.7,-6.836,-5.1,24.13,21.73,6.392,10.5,0.062
2026-5-17 20:53:35:44,0.041,-0.041,-0.869,3.174,9.766,-7.812,-4.95,23.68,21.93,6.36,12.9,0.17
