time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 21:10:52:334,0.043,-0.034,-0.893,-0.183,-37.72,2.197,-3.66,21.53,10.85,6.228,246.2,1.58
2026-5-17 21:10:52:354,0.05,-0.004,-0.958,-5.188,-34.729,1.892,-3.71,21.98,10.8,8.164,529.4,0.098
2026-5-17 21:10:52:374,0.055,-0.113,-1.02,-6.714,-30.945,1.465,-3.81,22.36,10.76,6.184,1078.6,0.774
2026-5-17 21:10:52:394,0.044,0.061,-1.375,-8.85,-23.254,1.038,-3.93,22.61,10.73,8.52,950.9,6.692
2026-5-17 21:10:52:414,0.033,-0.021,-1.132,-3.723,-20.508,0.793,-3.99,22.77,10.71,6.36,5.4,0.394
2026-5-17 21:10:52:434,0.033,-0.037,-0.935,-2.93,-19.836,0.427,-4.02,22.9,10.71,6.356,68.2,0.606
2026-5-17 21:10:52:454,0.042,-0.013,-0.966,-3.418,-17.639,0.183,-4.04,22.99,10.71,6.364,57.6,0.236
2026-5-17 21:10:52:474,0.042,-0.027,-1.043,-0.671,-15.015,0.0,-4.02,23.04,10.71,6.376,22.2,0.148
2026-5-17 21:10:52:494,0.038,-0.015,-0.84,-4.089,-12.817,-0.488,-4.03,23.04,10.72,6.376,21.0,0.138
2026-5-17 21:10:52:514,0.045,-0.048,-0.922,-2.747,-9.155,-0.671,-4.06,22.98,10.75,6.36,12.1,0.23
2026-5-17 21:10:52:534,0.052,-0.036,-0.979,4.395,-2.93,-0.793,-3.97,22.81,10.78,6.372,10.7,0.17
2026-5-17 21:10:52:554,0.046,-0.008,-0.861,0.61,3.479,-1.343,-3.85,22.51,10.82,6.376,9.7,0.036
2026-5-17 21:10:52:574,0.046,-0.036,-0.956,-2.075,8.545,-1.587,-3.83,22.1,10.88,6.376,24.3,0.17
2026-5-17 21:10:52:594,0.04,-0.039,-0.93,3.235,12.451,-1.709,-3.75,21.62,10.94,6.376,27.4,0.17
2026-5-17 21:10:52:614,0.04,-0.022,-0.896,3.296,15.747,-1.892,-3.61,21.07,11.0,6.372,28.4,0.174
2026-5-17 21:10:52:634,0.035,-0.029,-0.97,3.479,16.907,-2.441,-3.49,20.49,11.07,6.284,21.4,9.34
2026-5-17 21:10:52:654,0.038,-0.021,-0.93,3.662,17.883,-2.563,-3.36,19.9,11.15,6.048,1581.3,1.31
2026-5-17 21:10:52:674,0.056,-0.016,-1.217,1.221,21.362,-2.686,-3.26,19.26,11.23,6.024,487.1,6.194
2026-5-17 21:10:52:694,0.053,-0.001,-1.175,2.197,26.001,-2.991,-3.16,18.55,11.31,5.952,972.0,1.654
2026-5-17 21:10:52:714,0.022,-0.007,-0.955,-1.587,29.236,-3.601,-3.12,17.77,11.4,6.084,208.1,3.264
2026-5-17 21:10:52:734,0.054,0.047,-1.101,0.061,32.654,-3.784,-3.07,16.95,11.5,6.128,887.0,4.876
2026-5-17 21:10:52:754,0.069,0.015,-1.085,7.996,37.476,-3.723,-2.91,16.03,11.6,6.196,255.1,1.766
2026-5-17 21:10:52:774,0.037,-0.036,-0.939,9.949,42.969,-4.15,-2.66,15.02,11.71,6.284,288.2,1.418
2026-5-17 21:10:52:794,0.03,-0.052,-0.956,9.888,45.227,-4.456,-2.41,13.96,11.81,6.376,6.8,0.05
2026-5-17 21:10:52:814,0.039,-0.019,-0.998,8.789,46.936,-4.211,-2.18,12.88,11.91,6.376,2.8,0.21
2026-5-17 21:10:52:834,0.048,-0.012,-0.924,6.409,49.866,-4.822,-2.02,11.76,12.01,6.376,9.8,0.016
2026-5-17 21:10:52:854,0.034,-0.066,-0.98,12.817,51.27,-5.188,-1.77,10.61,12.11,6.288,460.1,0.298
2026-5-17 21:10:52:874,0.044,-0.015,-1.073,16.113,51.819,-5.188,-1.41,9.45,12.22,6.38,-14.8,0.15
2026-5-17 21:10:52:894,0.048,0.016,-1.026,8.545,55.542,-5.066,-1.15,8.27,12.31,6.48,22.7,0.344
2026-5-17 21:10:52:914,0.043,-0.029,-1.051,4.822,59.631,-5.859,-1.02,7.0,12.4,6.384,69.5,0.062
2026-5-17 21:10:52:934,0.044,-0.037,-1.152,9.705,61.157,-6.042,-0.86,5.71,12.5,6.38,6.8,0.05
2026-5-17 21:10:52:954,0.044,-0.022,-1.11,11.78,63.171,-5.737,-0.62,4.4,12.6,6.504,12.8,0.036
2026-5-17 21:10:52:974,0.044,-0.019,-1.114,9.033,66.04,-6.165,-0.41,3.05,12.68,6.38,5.3,0.036
2026-5-17 21:10:52:994,0.037,-0.029,-1.182,7.812,66.345,-6.531,-0.25,1.7,12.78,6.38,5.2,0.036
2026-5-17 21:10:53:14,0.038,-0.027,-1.147,7.568,65.552,-6.287,-0.1,0.37,12.86,6.384,5.7,0.032
2026-5-17 21:10:53:34,0.042,-0.037,-1.166,9.216,66.162,-6.409,0.05,-0.94,12.95,6.38,5.0,0.032
2026-5-17 21:10:53:54,0.04,-0.022,-1.176,10.803,65.979,-6.775,0.25,-2.25,13.03,6.384,4.9,0.032
2026-5-17 21:10:53:74,0.043,-0.016,-1.167,6.348,66.162,-6.592,0.4,-3.53,13.12,6.384,5.1,0.036
2026-5-17 21:10:53:94,0.045,-0.049,-1.178,6.958,67.444,-6.409,0.49,-4.82,13.19,6.384,5.2,0.036
2026-5-17 21:10:53:114,0.039,-0.033,-1.167,12.268,68.176,-6.958,0.68,-6.12,13.27,6.38,5.2,0.032
2026-5-17 21:10:53:134,0.039,-0.007,-1.173,7.141,68.054,-6.714,0.85,-7.4,13.34,6.38,4.4,0.03
2026-5-17 21:10:53:154,0.039,-0.042,-1.167,4.333,67.871,-6.226,0.91,-8.67,13.41,6.384,4.5,0.03
2026-5-17 21:10:53:174,0.032,-0.045,-1.157,10.803,66.589,-6.653,1.04,-9.9,13.47,6.384,5.0,0.036
2026-5-17 21:10:53:194,0.035,-0.007,-1.156,9.399,63.782,-6.409,1.22,-11.07,13.54,6.38,5.3,0.032
2026-5-17 21:10:53:214,0.038,-0.026,-1.142,2.747,62.317,-6.042,1.29,-12.19,13.6,6.38,5.7,0.032
2026-5-17 21:10:53:234,0.037,-0.054,-1.136,6.897,61.096,-5.92,1.34,-13.27,13.66,5.86,480.8,7.222
2026-5-17 21:10:53:254,0.036,-0.021,-1.126,9.705,59.692,-5.92,1.49,-14.3,13.72,6.276,377.0,2.988
2026-5-17 21:10:53:274,0.038,-0.019,-1.09,4.761,58.838,-5.371,1.59,-15.3,13.77,5.896,994.6,4.2
2026-5-17 21:10:53:294,0.032,-0.048,-0.996,5.371,57.922,-5.066,1.65,-16.28,13.8,6.148,855.0,6.468
2026-5-17 21:10:53:314,0.031,-0.019,-1.079,10.01,56.213,-5.371,1.8,-17.22,13.85,6.212,673.6,3.294
2026-5-17 21:10:53:334,0.025,-0.049,-0.966,5.859,53.101,-4.7,1.9,-18.09,13.89,6.212,370.0,1.636
2026-5-17 21:10:53:354,0.022,-0.003,-0.951,-0.244,50.11,-4.395,1.9,-18.89,13.92,6.376,2.8,0.02
2026-5-17 21:10:53:374,0.027,-0.059,-0.959,2.38,46.57,-4.15,1.88,-19.62,13.95,6.38,2.9,0.02
2026-5-17 21:10:53:394,0.021,-0.024,-0.939,7.019,43.152,-3.967,1.95,-20.26,13.99,6.38,9.7,0.016
2026-5-17 21:10:53:414,0.029,-0.004,-1.044,5.249,39.246,-3.54,2.04,-20.82,14.02,6.284,145.3,1.058
2026-5-17 21:10:53:434,0.036,-0.074,-0.853,3.174,36.316,-2.991,2.08,-21.31,14.04,6.32,322.0,0.914
2026-5-17 21:10:53:454,0.028,0.063,-1.074,2.502,34.973,-2.991,2.1,-21.75,14.07,6.08,346.5,4.62
2026-5-17 21:10:53:474,0.053,-0.156,-1.106,0.854,31.067,-2.808,2.08,-22.15,14.1,6.2,590.0,2.352
2026-5-17 21:10:53:494,0.022,-0.065,-1.174,1.587,26.978,-1.953,2.02,-22.45,14.12,6.148,640.1,1.88
2026-5-17 21:10:53:514,0.027,-0.025,-0.98,8.362,22.644,-1.831,2.12,-22.65,14.13,6.368,68.9,0.216
2026-5-17 21:10:53:534,0.027,-0.004,-1.002,4.028,20.752,-1.709,2.21,-22.81,14.16,6.38,19.5,0.05
2026-5-17 21:10:53:554,0.028,-0.031,-1.045,-3.235,17.639,-1.282,2.15,-22.91,14.18,6.38,37.5,0.114
2026-5-17 21:10:53:574,0.021,-0.044,-0.823,0.183,12.756,-1.038,2.1,-22.92,14.19,6.38,5.9,0.43
2026-5-17 21:10:53:594,0.029,-0.03,-0.978,2.502,9.521,-0.977,2.1,-22.85,14.22,6.376,10.0,0.394
2026-5-17 21:10:53:614,0.028,-0.027,-0.937,0.427,6.348,-0.366,2.09,-22.73,14.23,6.36,6.1,0.33
2026-5-17 21:10:53:634,0.02,-0.035,-0.866,0.122,1.892,0.0,2.06,-22.52,14.24,6.364,57.6,0.04
2026-5-17 21:10:53:654,0.025,-0.028,-0.989,-0.854,-2.747,0.244,2.03,-22.22,14.25,6.368,44.5,0.288
2026-5-17 21:10:53:674,0.027,-0.035,-0.881,-1.16,-5.615,0.244,1.97,-21.86,14.27,6.364,44.6,0.282
2026-5-17 21:10:53:694,0.026,-0.031,-0.928,-0.366,-9.216,0.671,1.93,-21.44,14.28,6.364,43.8,0.278
2026-5-17 21:10:53:714,0.026,-0.025,-0.961,-0.671,-13.611,1.221,1.9,-20.94,14.29,5.692,1019.8,10.928
2026-5-17 21:10:53:734,0.03,-0.03,-0.903,-1.16,-17.395,1.404,1.85,-20.36,14.3,5.896,537.3,5.932
2026-5-17 21:10:53:754,0.037,-0.018,-1.142,-4.578,-19.165,1.343,1.76,-19.75,14.3,5.796,1022.0,5.95
2026-5-17 21:10:53:774,0.049,-0.058,-1.252,-4.822,-23.987,2.014,1.61,-19.07,14.31,5.996,1302.0,4.836
2026-5-17 21:10:53:794,0.042,-0.078,-0.758,-1.404,-29.663,2.502,1.55,-18.29,14.3,6.16,800.3,4.984
2026-5-17 21:10:53:814,0.053,0.053,-0.997,-7.507,-31.006,2.197,1.43,-17.45,14.3,6.28,95.6,2.688
2026-5-17 21:10:53:834,0.025,-0.11,-1.129,-7.202,-32.532,2.869,1.27,-16.61,14.29,6.2,739.8,2.408
2026-5-17 21:10:53:854,0.02,-0.037,-0.93,-6.836,-36.194,3.174,1.12,-15.72,14.27,6.164,122.2,1.304
2026-5-17 21:10:53:874,0.021,-0.056,-0.892,-3.906,-40.222,3.418,1.01,-14.74,14.25,6.38,10.1,0.02
2026-5-17 21:10:53:894,0.037,-0.054,-1.055,0.671,-42.664,3.418,0.99,-13.73,14.23,6.38,3.1,0.04
2026-5-17 21:10:53:914,0.027,-0.044,-0.924,-0.305,-46.326,3.845,0.99,-12.67,14.22,6.372,51.3,0.046
