time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 21:16:56:324,0.057,-0.033,-0.964,7.69,13.916,-9.827,-2.98,18.11,12.0,6.376,13.3,0.088
2026-5-17 21:16:56:344,0.068,-0.008,-0.954,5.493,21.057,-10.132,-2.75,17.53,12.23,6.368,33.2,0.144
2026-5-17 21:16:56:364,0.062,-0.034,-0.96,0.427,28.87,-9.888,-2.62,16.78,12.46,6.376,5.3,0.258
2026-5-17 21:16:56:384,0.046,-0.044,-0.979,6.104,31.372,-9.888,-2.46,15.95,12.69,6.376,12.4,0.076
2026-5-17 21:16:56:404,0.052,-0.019,-0.968,7.568,32.349,-9.949,-2.22,15.12,12.91,6.38,1942.2,0.078
2026-5-17 21:16:56:424,0.054,-0.021,-1.001,4.639,36.072,-9.949,-2.04,14.24,13.13,6.316,363.7,2.474
2026-5-17 21:16:56:444,0.062,-0.012,-1.25,0.366,36.987,-10.193,-1.92,13.33,13.34,6.0,691.5,6.148
2026-5-17 21:16:56:464,0.05,-0.083,-1.192,0.0,35.889,-10.193,-1.87,12.43,13.56,6.096,943.5,5.502
2026-5-17 21:16:56:484,0.064,0.031,-1.008,2.014,38.696,-9.888,-1.8,11.53,13.78,6.232,456.3,2.468
2026-5-17 21:16:56:504,0.065,0.021,-1.15,7.812,42.48,-9.521,-1.61,10.57,13.98,6.216,687.1,4.092
2026-5-17 21:16:56:524,0.061,-0.015,-1.152,8.728,46.692,-9.399,-1.37,9.55,14.17,6.264,149.8,2.988
2026-5-17 21:16:56:544,0.058,-0.01,-0.973,6.958,52.917,-9.155,-1.18,8.42,14.36,6.376,2.7,0.222
2026-5-17 21:16:56:564,0.053,-0.046,-1.037,14.648,56.702,-8.789,-0.93,7.2,14.52,6.38,2.8,0.02
2026-5-17 21:16:56:584,0.046,-0.039,-1.029,17.334,57.068,-8.667,-0.55,5.96,14.68,6.38,93.7,0.272
2026-5-17 21:16:56:604,0.044,-0.007,-0.98,2.136,58.35,-8.972,-0.36,4.73,14.84,6.38,277.5,0.76
2026-5-17 21:16:56:624,0.043,-0.075,-1.026,-2.197,59.021,-8.728,-0.42,3.48,14.99,6.296,151.2,0.61
