time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 20:10:7:224,0.078,0.018,-0.803,0.427,-13.184,-15.808,-3.94,18.46,58.66,6.016,711.4,0.258
2026-5-17 20:10:7:244,0.067,0.027,-1.479,-2.441,-6.409,-16.235,-3.81,18.42,59.0,6.308,99.2,1.416
2026-5-17 20:10:7:264,0.055,-0.003,-1.173,-6.775,-2.197,-17.334,-3.75,18.29,59.36,6.308,32.6,0.292
2026-5-17 20:10:7:284,0.037,-0.044,-0.81,-2.625,0.488,-18.25,-3.71,18.08,59.75,6.416,43.3,0.206
2026-5-17 20:10:7:304,0.024,-0.034,-0.98,5.859,-0.671,-18.066,-3.5,17.87,60.14,6.412,12.8,0.174
2026-5-17 20:10:7:324,0.035,0.005,-1.027,4.456,-4.15,-18.372,-3.24,17.73,60.53,6.42,32.6,0.062
2026-5-17 20:10:7:344,0.045,-0.011,-0.929,-2.93,-2.441,-19.348,-3.1,17.6,60.94,6.42,6.1,0.068
2026-5-17 20:10:7:364,0.05,-0.043,-0.99,-1.16,1.953,-19.531,-3.02,17.39,61.35,6.416,58.2,0.176
2026-5-17 20:10:7:384,0.046,-0.026,-0.939,4.7,6.348,-19.409,-2.81,17.1,61.77,6.416,6.0,0.036
2026-5-17 20:10:7:404,0.06,-0.009,-0.94,2.075,13.0,-20.203,-2.6,16.69,62.19,6.416,7.7,0.586
2026-5-17 20:10:7:424,0.056,-0.028,-0.991,1.221,21.851,-20.63,-2.45,16.12,62.63,6.416,19.1,0.118
2026-5-17 20:10:7:444,0.042,-0.025,-0.943,5.188,26.489,-20.203,-2.24,15.43,63.07,6.416,18.4,0.124
2026-5-17 20:10:7:464,0.034,-0.01,-0.974,3.723,26.55,-20.081,-2.03,14.72,63.5,6.416,14.0,0.086
2026-5-17 20:10:7:484,0.039,-0.027,-0.992,2.014,25.94,-20.325,-1.87,14.02,63.92,6.192,846.2,9.002
2026-5-17 20:10:7:504,0.037,-0.03,-0.982,5.554,25.269,-20.508,-1.69,13.35,64.35,5.892,228.6,8.93
2026-5-17 20:10:7:524,0.038,0.004,-1.045,5.188,23.926,-19.531,-1.47,12.7,64.76,5.868,1405.3,8.106
2026-5-17 20:10:7:544,0.068,0.017,-1.39,-9.521,26.306,-20.081,-1.46,12.06,65.17,6.032,1188.0,8.326
2026-5-17 20:10:7:564,0.077,-0.014,-1.059,-5.066,32.898,-20.447,-1.52,11.31,65.59,6.104,852.4,5.394
2026-5-17 20:10:7:584,0.088,0.033,-0.857,9.46,36.743,-19.653,-1.35,10.46,65.99,6.148,779.2,4.312
2026-5-17 20:10:7:604,0.045,-0.024,-1.12,8.606,41.382,-19.165,-1.09,9.55,66.38,6.204,559.9,4.076
2026-5-17 20:10:7:624,0.052,-0.006,-0.997,0.0,48.523,-19.226,-0.98,8.52,66.76,6.42,3.1,0.016
2026-5-17 20:10:7:644,0.036,-0.052,-0.874,5.249,50.171,-18.616,-0.91,7.42,67.14,6.416,15.0,0.032
2026-5-17 20:10:7:664,0.034,-0.022,-0.948,16.724,46.57,-17.517,-0.6,6.36,67.49,6.624,16.3,0.052
2026-5-17 20:10:7:684,0.048,0.03,-0.995,6.897,44.861,-17.639,-0.34,5.38,67.83,6.884,51.3,1.416
2026-5-17 20:10:7:704,0.042,-0.014,-0.984,-3.54,46.814,-17.578,-0.33,4.39,68.16,6.876,1155.2,0.108
2026-5-17 20:10:7:724,0.027,-0.064,-1.016,1.953,46.326,-16.479,-0.33,3.41,68.49,6.38,164.4,1.714
2026-5-17 20:10:7:744,0.049,-0.024,-1.062,7.69,47.18,-15.869,-0.21,2.44,68.79,6.288,9.7,1.104
2026-5-17 20:10:7:764,0.062,-0.008,-1.096,4.761,54.138,-15.747,-0.09,1.38,69.09,6.42,8.2,0.134
2026-5-17 20:10:7:784,0.049,-0.007,-1.09,1.16,59.692,-14.832,-0.04,0.2,69.36,6.412,31.7,0.184
2026-5-17 20:10:7:804,0.039,-0.02,-1.112,-1.648,59.448,-13.611,-0.08,-1.0,69.61,6.38,-2.3,0.164
2026-5-17 20:10:7:824,0.043,-0.039,-1.106,1.831,59.387,-13.428,-0.1,-2.17,69.86,6.42,61.5,0.046
2026-5-17 20:10:7:844,0.032,-0.02,-1.116,7.019,58.228,-12.207,-0.02,-3.33,70.09,6.4,75.0,0.046
2026-5-17 20:10:7:864,0.031,0.011,-1.124,0.366,52.551,-10.803,0.03,-4.38,70.3,6.408,7.1,0.176
2026-5-17 20:10:7:884,0.042,-0.031,-1.114,-5.127,49.744,-10.315,-0.08,-5.33,70.48,6.416,25.5,0.04
2026-5-17 20:10:7:904,0.047,-0.048,-1.113,3.418,51.575,-9.521,-0.11,-6.28,70.66,6.416,8.1,0.052
2026-5-17 20:10:7:924,0.041,0.0,-1.118,4.761,52.734,-7.812,-0.02,-7.25,70.81,6.416,8.4,0.05
2026-5-17 20:10:7:944,0.052,-0.008,-1.109,-4.517,54.81,-7.141,-0.07,-8.24,70.93,6.416,6.0,0.04
2026-5-17 20:10:7:964,0.048,-0.052,-1.097,-1.465,58.533,-6.592,-0.17,-9.28,71.05,6.416,6.0,0.04
