time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 21:24:10:214,0.039,-0.017,-0.99,1.77,29.419,0.549,2.01,-17.43,22.57,6.16,21.3,1.176
2026-5-17 21:24:10:234,0.037,-0.036,-0.971,0.61,26.001,1.16,2.01,-17.76,22.53,6.372,265.1,1.79
2026-5-17 21:24:10:254,0.034,-0.04,-0.865,5.188,23.132,2.625,2.07,-18.02,22.46,6.044,888.8,3.968
2026-5-17 21:24:10:274,0.034,-0.018,-0.968,8.484,19.409,3.174,2.24,-18.2,22.37,6.064,719.3,4.384
2026-5-17 21:24:10:294,0.032,-0.004,-0.89,-3.174,16.357,2.686,2.25,-18.33,22.3,6.236,315.8,2.916
2026-5-17 21:24:10:314,0.04,-0.031,-0.813,-7.507,13.306,3.296,2.13,-18.39,22.23,6.376,2.7,0.046
2026-5-17 21:24:10:334,0.04,-0.046,-0.861,0.732,10.071,4.822,2.08,-18.39,22.13,6.372,6.6,0.016
2026-5-17 21:24:10:354,0.059,0.001,-0.911,6.958,7.385,5.432,2.21,-18.33,22.02,6.308,3.0,0.02
2026-5-17 21:24:10:374,0.037,-0.021,-0.898,1.831,5.005,5.249,2.32,-18.22,21.91,6.38,3.6,0.032
2026-5-17 21:24:10:394,0.036,0.032,-0.899,-7.141,2.502,5.554,2.26,-18.05,21.8,6.024,668.8,2.798
2026-5-17 21:24:10:414,0.058,-0.018,-1.074,-9.46,0.244,6.165,2.08,-17.85,21.68,6.324,779.2,0.79
2026-5-17 21:24:10:434,0.018,-0.04,-1.479,1.648,-4.578,6.958,2.04,-17.57,21.55,6.188,156.5,0.098
2026-5-17 21:24:10:454,0.046,-0.005,-1.012,6.592,-10.376,7.141,2.2,-17.18,21.43,6.34,219.5,0.338
2026-5-17 21:24:10:474,0.053,0.027,-0.944,-2.38,-11.475,7.751,2.27,-16.73,21.29,6.224,67.4,0.74
2026-5-17 21:24:10:494,0.045,-0.01,-1.102,-8.301,-11.963,7.996,2.15,-16.29,21.15,6.376,4.5,0.938
2026-5-17 21:24:10:514,0.038,-0.052,-1.018,-4.822,-15.015,7.812,2.03,-15.8,21.02,6.364,18.0,0.216
2026-5-17 21:24:10:534,0.039,-0.035,-0.889,0.183,-18.372,8.606,2.02,-15.25,20.89,6.372,14.8,0.026
2026-5-17 21:24:10:554,0.042,-0.022,-1.04,-0.732,-20.081,9.399,2.04,-14.68,20.73,6.376,14.0,1.16
2026-5-17 21:24:10:574,0.036,-0.007,-0.958,-6.042,-23.01,8.789,1.99,-14.05,20.58,6.36,6.5,0.118
2026-5-17 21:24:10:594,0.036,-0.037,-0.98,-9.094,-27.954,8.606,1.83,-13.35,20.45,6.368,26.1,0.134
2026-5-17 21:24:10:614,0.042,-0.04,-1.034,-2.747,-30.884,9.827,1.74,-12.58,20.3,6.368,21.9,0.148
2026-5-17 21:24:10:634,0.041,-0.01,-0.963,-3.174,-33.142,10.193,1.72,-11.77,20.14,6.372,28.9,0.168
2026-5-17 21:24:10:654,0.045,-0.018,-1.036,-9.521,-35.217,9.155,1.58,-10.93,20.0,6.364,27.3,0.184
2026-5-17 21:24:10:674,0.047,-0.046,-1.031,-7.812,-36.926,9.888,1.41,-10.06,19.85,6.372,26.6,0.18
2026-5-17 21:24:10:694,0.046,-0.031,-1.024,-2.991,-37.415,10.559,1.34,-9.18,19.69,5.576,2097.2,11.734
2026-5-17 21:24:10:714,0.045,-0.012,-1.054,-6.653,-38.94,9.949,1.26,-8.3,19.53,5.696,1964.9,8.17
2026-5-17 21:24:10:734,0.043,-0.026,-1.052,-11.658,-41.26,9.46,1.07,-7.38,19.39,5.832,1165.1,6.248
2026-5-17 21:24:10:754,0.056,-0.009,-1.477,-13.611,-42.908,10.193,0.83,-6.44,19.23,5.888,1423.1,6.91
2026-5-17 21:24:10:774,0.046,-0.062,-1.206,-12.878,-46.509,9.949,0.58,-5.46,19.07,6.056,177.2,4.338
2026-5-17 21:24:10:794,0.057,-0.029,-0.839,-6.47,-50.354,9.277,0.43,-4.42,18.92,6.16,108.0,4.902
2026-5-17 21:24:10:814,0.055,-0.034,-1.165,-5.554,-50.354,10.071,0.33,-3.35,18.77,6.32,367.8,1.336
2026-5-17 21:24:10:834,0.054,0.018,-1.183,-12.817,-49.011,9.949,0.13,-2.32,18.61,6.176,575.5,1.73
2026-5-17 21:24:10:854,0.044,-0.043,-0.913,-16.296,-50.598,8.789,-0.19,-1.3,18.46,6.368,7.1,0.694
2026-5-17 21:24:10:874,0.047,-0.074,-1.017,-7.324,-51.392,9.094,-0.41,-0.26,18.3,6.372,3.3,0.046
2026-5-17 21:24:10:894,0.055,-0.029,-1.116,2.258,-52.368,9.827,-0.39,0.77,18.14,6.372,351.3,0.14
2026-5-17 21:24:10:914,0.047,0.03,-1.038,-11.536,-52.49,8.911,-0.47,1.82,17.98,6.376,10.5,0.852
2026-5-17 21:24:10:934,0.059,-0.0,-1.026,-26.245,-53.589,7.568,-0.91,2.85,17.85,6.352,11.7,0.904
2026-5-17 21:24:10:954,0.053,-0.096,-1.127,-11.169,-54.382,8.545,-1.27,3.89,17.7,6.56,12.1,1.636
2026-5-17 21:24:10:974,0.044,-0.048,-1.061,5.615,-55.603,8.728,-1.24,4.94,17.54,6.284,208.0,2.294
2026-5-17 21:24:10:994,0.052,0.033,-1.037,-6.714,-54.932,7.08,-1.24,5.99,17.4,6.336,37.0,0.03
2026-5-17 21:24:11:14,0.057,-0.014,-1.117,-23.499,-51.697,6.714,-1.6,6.97,17.28,6.376,4.3,0.062
2026-5-17 21:24:11:34,0.05,-0.088,-1.109,-15.869,-50.415,6.958,-2.02,7.89,17.14,6.376,3.0,0.046
2026-5-17 21:24:11:54,0.051,-0.06,-1.056,-0.916,-50.781,6.287,-2.13,8.81,17.01,6.372,30.9,0.032
2026-5-17 21:24:11:74,0.059,0.006,-1.119,-5.432,-50.11,5.371,-2.15,9.71,16.9,6.344,8.1,0.03
2026-5-17 21:24:11:94,0.052,-0.019,-1.081,-19.165,-48.035,5.493,-2.44,10.56,16.79,6.372,7.9,0.154
2026-5-17 21:24:11:114,0.045,-0.072,-1.069,-14.404,-48.401,4.883,-2.78,11.39,16.68,6.376,25.1,0.05
2026-5-17 21:24:11:134,0.052,-0.051,-1.098,-3.54,-49.072,3.845,-2.89,12.22,16.59,6.376,8.7,0.18
2026-5-17 21:24:11:154,0.058,-0.002,-1.055,-7.141,-46.387,3.845,-2.97,13.02,16.51,6.376,8.5,0.05
2026-5-17 21:24:11:174,0.055,-0.021,-1.049,-15.564,-43.03,3.235,-3.2,13.74,16.42,6.376,10.4,0.066
2026-5-17 21:24:11:194,0.055,-0.066,-1.06,-12.329,-41.504,2.075,-3.47,14.4,16.36,6.376,9.2,0.062
2026-5-17 21:24:11:214,0.055,-0.05,-1.035,-2.258,-38.757,1.77,-3.54,15.02,16.31,6.376,9.4,0.066
2026-5-17 21:24:11:234,0.052,-0.008,-1.027,-5.188,-35.706,1.648,-3.57,15.57,16.27,6.372,10.1,0.062
2026-5-17 21:24:11:254,0.049,-0.024,-1.014,-13.916,-33.997,0.488,-3.75,16.07,16.24,6.372,10.5,0.066
2026-5-17 21:24:11:274,0.051,-0.067,-1.015,-9.521,-33.02,-0.427,-3.96,16.54,16.24,6.376,9.6,0.058
2026-5-17 21:24:11:294,0.052,-0.049,-1.006,-0.427,-31.128,-0.244,-3.97,16.97,16.24,6.376,10.3,0.068
2026-5-17 21:24:11:314,0.053,-0.003,-0.983,-3.601,-28.87,-0.854,-3.94,17.36,16.24,6.376,9.3,0.062
2026-5-17 21:24:11:334,0.05,-0.029,-0.982,-11.047,-26.184,-2.319,-4.06,17.69,16.28,5.78,2023.3,10.706
2026-5-17 21:24:11:354,0.057,-0.06,-0.986,-6.348,-22.766,-2.686,-4.19,17.96,16.33,6.208,276.0,0.34
