time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 20:27:25:24,0.048,-0.039,-0.956,-5.493,-19.104,-17.517,-5.04,20.08,34.63,6.404,7.7,0.056
2026-5-17 20:27:25:44,0.042,-0.03,-0.947,-1.099,-15.381,-18.555,-4.92,20.19,35.02,6.108,837.3,11.406
2026-5-17 20:27:25:64,0.042,-0.013,-0.944,-1.953,-13.611,-19.165,-4.76,20.25,35.42,5.988,1073.4,8.428
2026-5-17 20:27:25:84,0.047,-0.014,-0.918,-4.272,-9.888,-20.203,-4.64,20.26,35.84,5.984,1268.9,7.668
2026-5-17 20:27:25:104,0.043,-0.062,-0.877,-6.653,-5.005,-21.423,-4.58,20.17,36.29,5.968,1116.5,6.43
2026-5-17 20:27:25:124,0.047,-0.031,-0.924,10.193,-1.892,-21.79,-4.28,20.01,36.77,6.204,645.0,3.576
2026-5-17 20:27:25:144,0.037,-0.011,-0.843,8.179,1.77,-22.522,-3.88,19.78,37.25,6.4,2.9,0.02
2026-5-17 20:27:25:164,0.042,0.019,-0.782,-4.211,6.287,-23.438,-3.67,19.47,37.76,6.404,2.7,0.016
2026-5-17 20:27:25:184,0.042,-0.009,-0.859,-13.55,10.132,-24.353,-3.67,19.08,38.29,6.4,2.5,0.02
2026-5-17 20:27:25:204,0.044,-0.05,-0.897,-6.531,11.719,-24.475,-3.66,18.65,38.81,6.404,2.9,0.016
2026-5-17 20:27:25:224,0.043,-0.066,-0.792,13.306,13.0,-24.597,-3.36,18.19,39.35,6.056,1414.1,4.516
2026-5-17 20:27:25:244,0.069,0.037,-0.779,17.639,16.968,-25.391,-2.83,17.67,39.89,6.336,350.4,7.808
2026-5-17 20:27:25:264,0.069,0.079,-1.436,-2.747,22.4,-26.001,-2.55,17.06,40.45,6.472,19.9,0.066
2026-5-17 20:27:25:284,0.055,-0.021,-1.205,-7.568,25.513,-25.94,-2.55,16.38,41.0,7.044,101.1,0.088
2026-5-17 20:27:25:304,0.042,-0.066,-0.832,4.883,28.625,-26.367,-2.4,15.64,41.56,6.332,17.5,0.118
2026-5-17 20:27:25:324,0.036,-0.037,-1.049,16.296,29.785,-26.245,-1.98,14.88,42.12,6.312,214.8,0.58
2026-5-17 20:27:25:344,0.049,0.033,-1.11,10.803,30.701,-26.001,-1.55,14.1,42.67,6.448,34.2,0.374
2026-5-17 20:27:25:364,0.049,0.002,-0.957,-4.944,34.119,-26.001,-1.42,13.28,43.2,6.404,17.4,0.056
2026-5-17 20:27:25:384,0.048,-0.065,-1.033,-2.625,37.476,-26.306,-1.42,12.39,43.74,6.4,10.2,0.056
2026-5-17 20:27:25:404,0.044,-0.05,-1.045,12.756,39.673,-25.757,-1.16,11.46,44.27,6.4,9.0,0.092
2026-5-17 20:27:25:424,0.051,0.021,-1.013,9.277,43.64,-25.085,-0.82,10.49,44.78,6.404,33.1,0.04
2026-5-17 20:27:25:444,0.047,-0.004,-1.078,-2.502,48.828,-25.024,-0.73,9.42,45.28,6.404,16.3,0.092
2026-5-17 20:27:25:464,0.039,-0.052,-1.051,1.648,50.232,-24.841,-0.69,8.31,45.77,6.4,15.9,0.104
2026-5-17 20:27:25:484,0.039,-0.027,-1.062,9.583,50.293,-23.804,-0.49,7.2,46.25,6.404,16.4,0.102
2026-5-17 20:27:25:504,0.044,0.001,-1.096,4.761,52.063,-23.01,-0.31,6.08,46.7,6.396,16.6,0.112
2026-5-17 20:27:25:524,0.041,-0.02,-1.093,-1.465,52.551,-22.766,-0.27,4.95,47.14,6.4,16.7,0.108
2026-5-17 20:27:25:544,0.041,-0.033,-1.1,2.197,52.429,-21.606,-0.25,3.85,47.56,5.608,1946.8,8.684
2026-5-17 20:27:25:564,0.049,-0.019,-1.109,4.456,54.321,-20.508,-0.16,2.72,47.96,5.756,1737.7,14.1
2026-5-17 20:27:25:584,0.051,-0.012,-1.164,2.075,58.167,-19.897,-0.1,1.56,48.33,5.9,1551.2,2.822
2026-5-17 20:27:25:604,0.051,-0.019,-1.521,3.418,59.998,-19.043,-0.05,0.35,48.7,5.936,1058.8,8.87
2026-5-17 20:27:25:624,0.061,0.026,-1.16,-6.897,60.852,-17.944,-0.13,-0.86,49.04,6.048,767.3,5.904
2026-5-17 20:27:25:644,0.033,-0.067,-1.038,-5.615,60.303,-16.907,-0.32,-2.07,49.36,6.172,677.1,3.444
