time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 19:30:28:394,0.061,-0.037,-0.942,2.258,-12.085,-44.128,-4.05,18.94,100.78,6.02,6.2,0.036
2026-5-17 19:30:28:414,0.064,-0.004,-0.948,2.747,-9.338,-45.044,-3.69,18.96,101.72,6.024,6.5,0.04
2026-5-17 19:30:28:434,0.067,-0.009,-0.951,-1.953,-5.554,-45.898,-3.39,18.91,102.68,6.02,6.6,0.036
2026-5-17 19:30:28:454,0.067,-0.035,-0.935,0.061,-1.221,-46.509,-3.13,18.77,103.66,6.02,7.2,0.04
2026-5-17 19:30:28:474,0.066,-0.027,-0.954,4.883,2.136,-46.509,-2.76,18.55,104.64,6.02,7.1,0.042
2026-5-17 19:30:28:494,0.065,-0.007,-0.938,3.967,5.615,-46.57,-2.38,18.26,105.62,6.02,7.2,0.04
2026-5-17 19:30:28:514,0.067,-0.021,-0.949,0.671,9.094,-46.997,-2.08,17.9,106.61,6.02,7.5,0.042
2026-5-17 19:30:28:534,0.063,-0.03,-0.949,2.808,11.78,-46.997,-1.77,17.47,107.59,6.02,7.1,0.042
2026-5-17 19:30:28:554,0.063,-0.027,-0.955,5.615,13.794,-46.326,-1.43,17.01,108.57,6.02,7.1,0.04
2026-5-17 19:30:28:574,0.067,-0.009,-0.963,3.906,16.357,-46.082,-1.09,16.5,109.53,6.024,7.3,0.042
2026-5-17 19:30:28:594,0.064,-0.018,-0.958,1.465,20.02,-45.776,-0.83,15.92,110.48,6.02,6.8,0.042
2026-5-17 19:30:28:614,0.064,-0.031,-0.973,2.563,22.766,-45.227,-0.59,15.29,111.41,5.332,1667.3,10.418
2026-5-17 19:30:28:634,0.068,-0.021,-0.978,5.31,26.001,-43.945,-0.31,14.6,112.32,5.828,1014.0,0.082
2026-5-17 19:30:28:654,0.068,-0.016,-0.922,4.822,30.029,-43.213,-0.04,13.84,113.2,5.588,1087.0,6.58
2026-5-17 19:30:28:674,0.063,-0.02,-0.923,3.662,33.142,-42.297,0.18,13.01,114.06,5.784,569.7,4.128
2026-5-17 19:30:28:694,0.067,0.0,-0.951,-1.709,35.4,-41.443,0.32,12.15,114.9,5.824,633.0,3.1
2026-5-17 19:30:28:714,0.055,-0.057,-0.909,-3.113,37.354,-40.161,0.36,11.24,115.7,6.016,6.6,1.504
2026-5-17 19:30:28:734,0.052,-0.05,-0.904,4.089,39.612,-38.33,0.47,10.31,116.48,6.016,8.5,1.5
2026-5-17 19:30:28:754,0.063,0.016,-0.94,4.639,40.588,-36.743,0.66,9.37,117.21,6.02,2.5,0.068
2026-5-17 19:30:28:774,0.096,0.089,-0.849,-8.057,42.297,-36.011,0.65,8.4,117.92,6.092,432.2,0.026
2026-5-17 19:30:28:794,0.084,-0.025,-0.833,-11.475,44.434,-34.363,0.45,7.4,118.6,6.296,543.5,0.312
2026-5-17 19:30:28:814,0.097,0.024,-1.159,-1.099,47.302,-32.043,0.37,6.37,119.23,5.96,143.9,9.34
2026-5-17 19:30:28:834,0.132,0.077,-1.356,3.052,48.889,-29.846,0.45,5.33,119.83,6.02,14.8,0.05
2026-5-17 19:30:28:854,0.082,0.004,-1.179,-3.662,50.232,-28.015,0.43,4.26,120.38,6.016,14.8,0.088
2026-5-17 19:30:28:874,0.059,-0.026,-1.085,-11.169,52.063,-26.489,0.24,3.18,120.89,6.0,63.4,0.302
2026-5-17 19:30:28:894,0.058,-0.069,-1.138,-4.822,51.086,-24.17,0.07,2.1,121.38,5.9,374.7,2.162
2026-5-17 19:30:28:914,0.075,-0.02,-1.251,2.014,50.842,-21.423,0.05,1.05,121.82,6.024,5.2,0.078
2026-5-17 19:30:28:934,0.068,0.035,-1.037,-6.653,52.429,-19.836,-0.02,0.01,122.21,6.012,140.0,0.072
