time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 20:48:38:754,0.03,-0.043,-0.963,2.93,33.02,-7.751,-4.18,20.13,18.91,6.392,7.2,0.046
2026-5-17 20:48:38:774,0.039,-0.047,-0.967,10.498,33.875,-8.24,-3.91,19.23,19.13,6.392,6.9,0.046
2026-5-17 20:48:38:794,0.044,-0.017,-0.989,12.024,39.307,-8.301,-3.55,18.27,19.35,6.392,7.5,0.046
2026-5-17 20:48:38:814,0.038,-0.014,-1.003,6.592,43.335,-8.911,-3.28,17.22,19.57,6.392,6.9,0.042
2026-5-17 20:48:38:834,0.041,-0.04,-1.016,6.836,45.227,-9.888,-3.07,16.13,19.8,6.392,6.9,0.042
2026-5-17 20:48:38:854,0.05,-0.039,-1.043,12.024,50.049,-9.705,-2.77,14.99,20.04,6.392,7.0,0.046
2026-5-17 20:48:38:874,0.042,-0.021,-1.056,13.245,55.847,-10.071,-2.43,13.74,20.27,6.392,7.7,0.052
2026-5-17 20:48:38:894,0.037,-0.019,-1.076,9.705,57.678,-11.169,-2.13,12.44,20.51,5.808,1706.2,10.346
2026-5-17 20:48:38:914,0.045,-0.037,-1.089,8.911,59.509,-11.169,-1.89,11.12,20.75,5.9,965.5,5.928
2026-5-17 20:48:38:934,0.04,-0.061,-1.02,12.573,62.927,-11.23,-1.63,9.76,20.98,5.92,1312.3,6.802
2026-5-17 20:48:38:954,0.035,-0.009,-1.088,18.86,62.988,-11.78,-1.21,8.38,21.21,6.1,716.1,3.742
2026-5-17 20:48:38:974,0.043,0.011,-1.072,11.536,63.66,-12.146,-0.87,7.02,21.45,6.14,645.4,4.42
2026-5-17 20:48:38:994,0.043,-0.029,-0.973,2.625,67.993,-11.719,-0.75,5.61,21.67,6.388,3.0,0.04
2026-5-17 20:48:39:14,0.023,-0.079,-1.096,9.338,70.19,-12.085,-0.63,4.16,21.89,6.396,2.6,0.016
2026-5-17 20:48:39:34,0.043,-0.03,-1.096,19.897,70.19,-12.878,-0.25,2.71,22.12,6.396,2.5,0.016
2026-5-17 20:48:39:54,0.04,0.033,-1.14,10.742,73.486,-12.39,0.03,1.24,22.33,7.644,23.3,1.976
2026-5-17 20:48:39:74,0.051,-0.069,-1.042,4.272,76.05,-12.39,0.13,-0.28,22.53,6.292,336.9,4.07
2026-5-17 20:48:39:94,0.038,0.005,-1.51,4.578,74.89,-13.184,0.19,-1.79,22.75,6.268,385.1,1.626
2026-5-17 20:48:39:114,0.066,-0.123,-1.419,17.822,71.777,-12.451,0.42,-3.22,22.96,6.352,145.3,0.174
2026-5-17 20:48:39:134,0.047,0.016,-1.206,17.944,72.205,-12.573,0.75,-4.63,23.15,6.36,427.0,0.484
2026-5-17 20:48:39:154,0.037,-0.029,-1.192,11.169,71.411,-13.062,0.98,-6.0,23.35,6.388,6.1,0.14
2026-5-17 20:48:39:174,0.051,-0.031,-1.396,5.371,72.266,-12.817,1.07,-7.36,23.55,6.388,24.0,0.108
2026-5-17 20:48:39:194,0.038,-0.044,-1.178,9.644,74.158,-12.39,1.17,-8.75,23.74,6.348,-24.1,0.042
2026-5-17 20:48:39:214,0.036,-0.028,-1.125,10.62,73.73,-12.695,1.33,-10.12,23.92,6.388,6.7,0.262
2026-5-17 20:48:39:234,0.04,-0.026,-1.281,10.193,73.181,-12.573,1.48,-11.46,24.11,6.384,28.3,0.286
2026-5-17 20:48:39:254,0.033,-0.023,-1.139,7.874,72.693,-11.78,1.6,-12.79,24.28,6.396,26.8,0.662
2026-5-17 20:48:39:274,0.03,-0.027,-1.184,7.446,69.519,-11.841,1.69,-14.06,24.44,6.388,31.7,0.076
2026-5-17 20:48:39:294,0.034,-0.028,-1.195,7.996,65.796,-11.902,1.77,-15.24,24.63,6.38,35.9,0.222
2026-5-17 20:48:39:314,0.034,-0.025,-1.096,7.385,64.514,-10.803,1.85,-16.35,24.79,6.384,36.2,0.24
2026-5-17 20:48:39:334,0.036,-0.03,-1.169,6.836,62.5,-10.559,1.92,-17.42,24.94,6.38,41.1,0.272
2026-5-17 20:48:39:354,0.035,-0.026,-1.116,6.226,60.669,-10.62,1.97,-18.44,25.1,5.788,1136.1,5.22
2026-5-17 20:48:39:374,0.037,-0.031,-1.088,5.798,60.425,-9.766,2.01,-19.43,25.25,6.332,12.9,1.682
