time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 19:53:47:944,0.056,-0.019,-0.968,-4.7,47.791,-47.241,1.61,17.95,128.98,5.628,18.7,1.9
2026-5-17 19:53:47:964,0.058,-0.027,-1.023,-5.005,56.03,-46.143,1.72,16.62,129.89,5.86,51.5,0.046
2026-5-17 19:53:47:984,0.036,-0.035,-1.072,-2.869,59.204,-44.067,1.82,15.21,130.74,5.992,5.3,0.036
2026-5-17 19:53:48:4,0.046,-0.01,-1.034,-4.761,58.472,-41.504,1.9,13.82,131.54,5.992,4.1,0.022
2026-5-17 19:53:48:24,0.056,-0.016,-1.105,-8.789,64.087,-40.161,1.87,12.38,132.29,5.992,4.5,0.026
2026-5-17 19:53:48:44,0.042,-0.033,-1.13,-8.972,67.139,-37.781,1.77,10.85,133.01,5.992,5.1,0.03
2026-5-17 19:53:48:64,0.039,-0.016,-1.12,-8.057,65.186,-34.668,1.68,9.37,133.65,5.996,4.5,0.03
2026-5-17 19:53:48:84,0.058,-0.018,-1.17,-11.292,68.726,-32.898,1.52,7.9,134.26,5.992,5.0,0.03
2026-5-17 19:53:48:104,0.046,-0.026,-1.166,-13.123,73.669,-30.396,1.29,6.34,134.82,5.992,5.6,0.026
2026-5-17 19:53:48:124,0.042,-0.023,-1.193,-12.329,72.876,-26.794,1.05,4.78,135.33,5.992,5.5,0.03
2026-5-17 19:53:48:144,0.058,-0.021,-1.213,-14.282,75.073,-24.414,0.77,3.24,135.77,5.992,5.5,0.032
2026-5-17 19:53:48:164,0.049,-0.023,-1.209,-15.137,79.956,-21.667,0.47,1.63,136.18,5.992,5.4,0.032
2026-5-17 19:53:48:184,0.035,-0.022,-1.238,-16.113,78.369,-17.822,0.14,0.02,136.53,5.988,5.3,0.03
2026-5-17 19:53:48:204,0.051,-0.025,-1.237,-17.334,77.454,-14.893,-0.22,-1.52,136.82,5.988,4.1,0.026
2026-5-17 19:53:48:224,0.048,-0.022,-1.242,-16.602,80.383,-12.329,-0.58,-3.08,137.07,5.988,5.2,0.026
2026-5-17 19:53:48:244,0.038,-0.021,-1.254,-17.761,78.674,-8.362,-0.94,-4.63,137.25,5.988,4.7,0.03
2026-5-17 19:53:48:264,0.052,-0.024,-1.25,-19.165,77.209,-5.066,-1.32,-6.1,137.38,5.992,4.8,0.026
2026-5-17 19:53:48:284,0.053,-0.028,-1.251,-17.517,80.933,-2.502,-1.69,-7.6,137.46,5.992,5.0,0.03
2026-5-17 19:53:48:304,0.038,-0.022,-1.241,-17.517,79.956,1.404,-2.02,-9.11,137.48,5.992,1394.0,0.022
2026-5-17 19:53:48:324,0.047,-0.021,-1.24,-18.921,77.942,4.944,-2.35,-10.56,137.42,5.148,1747.8,11.56
2026-5-17 19:53:48:344,0.046,-0.032,-1.233,-17.212,79.59,7.263,-2.66,-12.0,137.32,5.976,7.7,4.25
2026-5-17 19:53:48:364,0.03,-0.031,-1.123,-16.968,77.515,11.169,-2.93,-13.41,137.16,5.572,1061.8,5.194
2026-5-17 19:53:48:384,0.037,-0.02,-1.151,-15.259,73.486,14.709,-3.14,-14.74,136.93,5.784,565.6,3.228
2026-5-17 19:53:48:404,0.04,-0.01,-1.167,-19.653,73.975,16.846,-3.37,-16.03,136.64,5.78,522.6,3.322
2026-5-17 19:53:48:424,0.024,-0.046,-1.063,-19.043,72.327,20.325,-3.61,-17.3,136.29,5.832,419.8,2.252
2026-5-17 19:53:48:444,0.024,-0.06,-1.034,-12.329,68.176,23.926,-3.72,-18.5,135.86,5.992,104.7,0.016
2026-5-17 19:53:48:464,0.032,-0.057,-1.079,-11.108,67.627,25.818,-3.72,-19.63,135.37,5.992,2.8,0.016
2026-5-17 19:53:48:484,0.009,-0.056,-1.112,-12.451,66.772,28.137,-3.69,-20.75,134.83,7.384,378.4,0.02
2026-5-17 19:53:48:504,0.017,-0.048,-1.16,-16.968,62.683,31.189,-3.72,-21.79,134.22,6.204,601.4,3.906
2026-5-17 19:53:48:524,0.004,-0.124,-1.154,-10.437,58.35,33.63,-3.65,-22.73,133.54,7.564,202.5,11.56
2026-5-17 19:53:48:544,0.0,-0.107,-1.399,-6.104,55.42,35.4,-3.44,-23.61,132.81,5.88,63.8,1.576
2026-5-17 19:53:48:564,0.049,0.027,-1.23,-5.798,48.95,38.452,-3.18,-24.38,132.01,5.952,83.2,0.99
2026-5-17 19:53:48:584,0.031,-0.036,-1.083,-8.301,44.678,40.71,-2.89,-25.01,131.13,5.944,148.9,0.114
2026-5-17 19:53:48:604,0.043,-0.034,-1.155,-6.226,45.776,41.504,-2.58,-25.63,130.22,5.976,6.3,0.622
2026-5-17 19:53:48:624,0.025,-0.027,-0.994,-3.357,43.884,43.701,-2.19,-26.22,129.27,5.96,112.1,0.466
2026-5-17 19:53:48:644,0.025,-0.019,-0.885,-4.333,39.062,45.837,-1.75,-26.73,128.24,6.072,6.8,0.75
2026-5-17 19:53:48:664,0.034,-0.032,-1.031,-4.333,36.743,46.692,-1.29,-27.15,127.18,5.984,24.2,0.04
2026-5-17 19:53:48:684,0.021,-0.026,-0.896,-1.77,33.142,47.485,-0.79,-27.5,126.1,5.984,33.8,0.058
2026-5-17 19:53:48:704,0.016,-0.023,-0.926,-1.709,25.391,49.255,-0.26,-27.72,124.97,5.98,13.4,0.204
2026-5-17 19:53:48:724,0.027,-0.025,-0.927,-2.625,17.883,50.598,0.28,-27.77,123.82,6.048,72.4,0.918
2026-5-17 19:53:48:744,0.029,-0.024,-0.886,-0.916,14.771,50.537,0.82,-27.71,122.65,5.944,50.7,0.35
2026-5-17 19:53:48:764,0.025,-0.022,-0.899,-1.16,11.169,51.208,1.38,-27.58,121.48,6.052,21.0,0.196
2026-5-17 19:53:48:784,0.022,-0.022,-0.898,-1.709,5.615,52.307,1.93,-27.34,120.29,5.984,15.7,0.062
2026-5-17 19:53:48:804,0.033,-0.032,-0.883,-0.977,3.357,52.49,2.46,-27.02,119.11,5.44,323.4,8.356
2026-5-17 19:53:48:824,0.033,-0.018,-0.882,-0.366,2.747,52.002,3.0,-26.68,117.94,5.636,1111.9,6.81
2026-5-17 19:53:48:844,0.03,0.001,-1.155,-3.479,-1.892,52.246,3.48,-26.28,116.79,5.5,1284.4,6.282
2026-5-17 19:53:48:864,0.032,-0.011,-1.061,-3.906,-11.414,52.979,3.89,-25.71,115.64,5.732,672.7,5.22
2026-5-17 19:53:48:884,0.022,-0.034,-0.921,-6.409,-14.832,51.819,4.26,-25.03,114.54,5.756,636.0,4.002
2026-5-17 19:53:48:904,0.059,0.06,-1.023,-7.812,-18.433,51.27,4.6,-24.26,113.46,5.796,530.6,2.768
2026-5-17 19:53:48:924,0.02,-0.04,-1.025,-8.911,-25.085,51.575,4.84,-23.41,112.41,5.82,510.9,3.04
2026-5-17 19:53:48:944,0.03,-0.029,-0.847,-10.071,-28.198,51.025,5.0,-22.48,111.39,5.992,4.9,0.086
2026-5-17 19:53:48:964,0.027,-0.046,-0.806,-3.235,-29.724,49.561,5.23,-21.52,110.41,5.992,8.1,0.052
2026-5-17 19:53:48:984,0.024,-0.03,-0.896,-2.014,-32.654,49.133,5.51,-20.53,109.46,5.984,6.2,0.072
2026-5-17 19:53:49:4,0.018,-0.001,-0.906,-11.414,-37.109,48.401,5.65,-19.46,108.55,5.82,7.1,0.796
2026-5-17 19:53:49:24,0.028,-0.018,-0.907,-19.531,-41.321,46.875,5.55,-18.33,107.68,5.98,653.5,0.032
2026-5-17 19:53:49:44,0.036,-0.041,-0.953,-14.221,-44.983,45.227,5.43,-17.13,106.85,7.672,-137.4,9.112
2026-5-17 19:53:49:64,0.028,-0.026,-0.988,-7.812,-50.415,44.678,5.44,-15.86,106.07,5.972,29.3,0.114
2026-5-17 19:53:49:84,0.031,0.008,-1.005,-15.076,-55.664,43.274,5.38,-14.5,105.32,6.348,12.8,1.682
2026-5-17 19:53:49:104,0.036,-0.008,-1.056,-24.414,-57.19,40.588,5.08,-13.11,104.63,5.992,5.5,0.032
2026-5-17 19:53:49:124,0.039,-0.043,-1.068,-23.682,-58.044,38.757,4.69,-11.72,103.97,5.912,773.7,0.04
2026-5-17 19:53:49:144,0.037,-0.03,-1.118,-18.25,-59.57,37.476,4.38,-10.33,103.34,5.992,7.6,0.068
2026-5-17 19:53:49:164,0.042,-0.004,-1.112,-21.301,-60.12,34.912,4.06,-8.95,102.76,5.976,4.1,0.036
2026-5-17 19:53:49:184,0.037,-0.008,-1.148,-29.053,-61.279,31.799,3.59,-7.58,102.22,5.992,4.2,0.026
2026-5-17 19:53:49:204,0.033,-0.039,-1.164,-29.48,-64.819,30.212,3.03,-6.18,101.72,5.992,4.2,0.026
2026-5-17 19:53:49:224,0.039,-0.032,-1.177,-26.184,-68.115,27.832,2.51,-4.73,101.25,5.992,4.2,0.03
2026-5-17 19:53:49:244,0.04,-0.004,-1.21,-27.954,-70.435,24.475,1.99,-3.25,100.83,5.992,3.9,0.026
2026-5-17 19:53:49:264,0.043,-0.016,-1.201,-33.264,-72.815,21.912,1.37,-1.76,100.46,5.992,4.9,0.022
2026-5-17 19:53:49:284,0.049,-0.03,-1.215,-33.447,-72.998,19.47,0.7,-0.27,100.12,5.988,4.8,0.026
2026-5-17 19:53:49:304,0.053,-0.023,-1.237,-30.64,-71.533,15.869,0.07,1.18,99.83,5.992,4.1,0.026
2026-5-17 19:53:49:324,0.046,-0.013,-1.227,-33.081,-70.435,13.184,-0.57,2.57,99.59,5.992,4.3,0.022
2026-5-17 19:53:49:344,0.048,-0.019,-1.241,-36.011,-70.312,10.498,-1.26,3.94,99.38,5.992,4.7,0.03
2026-5-17 19:53:49:364,0.045,-0.032,-1.241,-33.691,-70.679,6.958,-1.97,5.3,99.22,5.992,4.4,0.026
2026-5-17 19:53:49:384,0.041,-0.021,-1.242,-32.654,-72.144,3.906,-2.6,6.65,99.1,5.992,4.4,0.026
2026-5-17 19:53:49:404,0.046,-0.014,-1.24,-34.607,-74.158,1.343,-3.25,8.04,99.03,5.992,4.4,0.03
2026-5-17 19:53:49:424,0.05,-0.028,-1.231,-34.851,-74.219,-2.075,-3.92,9.42,99.0,5.544,544.3,7.864
2026-5-17 19:53:49:444,0.05,-0.027,-1.234,-32.837,-72.693,-5.249,-4.54,10.77,99.03,5.576,763.5,3.844
2026-5-17 19:53:49:464,0.052,-0.013,-1.164,-32.41,-71.045,-7.935,-5.12,12.08,99.1,5.624,988.3,5.154
2026-5-17 19:53:49:484,0.054,-0.063,-1.15,-28.931,-67.627,-10.986,-5.68,13.32,99.22,5.68,793.4,4.558
2026-5-17 19:53:49:504,0.046,-0.007,-1.185,-25.024,-65.063,-14.099,-6.06,14.48,99.4,5.804,523.6,3.634
2026-5-17 19:53:49:524,0.048,0.011,-1.026,-32.288,-63.782,-16.724,-6.53,15.61,99.64,5.876,7.1,1.884
2026-5-17 19:53:49:544,0.064,0.018,-0.987,-36.621,-62.5,-19.287,-7.1,16.7,99.92,5.988,372.8,0.016
2026-5-17 19:53:49:564,0.045,-0.076,-1.156,-29.846,-61.523,-22.339,-7.6,17.77,100.25,5.992,2.7,0.016
2026-5-17 19:53:49:584,0.031,-0.064,-0.996,-15.564,-63.049,-23.987,-7.79,18.85,100.62,5.992,12.6,0.016
2026-5-17 19:53:49:604,0.06,0.034,-0.987,-23.01,-60.303,-26.184,-7.96,19.89,101.05,5.848,797.0,3.018
2026-5-17 19:53:49:624,0.048,-0.039,-1.196,-28.015,-55.786,-29.053,-8.28,20.86,101.53,6.644,90.8,2.772
2026-5-17 19:53:49:644,0.013,-0.143,-1.321,-20.142,-52.368,-31.189,-8.48,21.74,102.07,6.532,12.3,1.518
2026-5-17 19:53:49:664,0.067,-0.03,-1.342,-12.756,-46.265,-33.447,-8.5,22.51,102.68,5.972,11.4,0.036
2026-5-17 19:53:49:684,0.04,-0.022,-1.011,-15.198,-41.626,-35.645,-8.45,23.18,103.35,5.96,18.9,1.546
2026-5-17 19:53:49:704,0.034,-0.03,-1.083,-17.517,-40.649,-38.025,-8.44,23.79,104.08,5.952,44.5,0.02
2026-5-17 19:53:49:724,0.046,-0.033,-1.089,-14.404,-41.443,-39.001,-8.39,24.42,104.85,5.976,45.3,0.104
2026-5-17 19:53:49:744,0.044,-0.032,-0.97,-8.728,-38.94,-40.405,-8.2,25.02,105.66,5.992,31.1,0.164
2026-5-17 19:53:49:764,0.042,-0.007,-0.949,-8.423,-36.011,-42.175,-7.94,25.55,106.51,5.992,4.8,0.066
2026-5-17 19:53:49:784,0.048,-0.022,-0.943,-10.01,-33.447,-43.457,-7.69,26.02,107.4,5.992,18.1,0.04
2026-5-17 19:53:49:804,0.057,-0.037,-0.917,-6.104,-27.466,-44.189,-7.39,26.4,108.34,5.992,8.5,0.026
2026-5-17 19:53:49:824,0.055,-0.024,-0.943,-2.136,-19.104,-45.41,-6.98,26.61,109.31,5.992,8.6,0.052
2026-5-17 19:53:49:844,0.042,-0.011,-0.896,-3.418,-13.245,-46.509,-6.53,26.67,110.34,5.988,16.3,0.102
2026-5-17 19:53:49:864,0.043,-0.025,-0.892,-3.906,-10.132,-46.936,-6.11,26.66,111.38,5.984,16.9,0.098
2026-5-17 19:53:49:884,0.046,-0.033,-0.904,0.0,-6.348,-47.302,-5.65,26.57,112.44,5.36,1437.7,10.312
2026-5-17 19:53:49:904,0.041,-0.019,-0.886,2.808,-3.113,-47.974,-5.1,26.39,113.52,5.452,614.0,9.738
2026-5-17 19:53:49:924,0.044,0.008,-1.038,-1.282,-1.892,-48.462,-4.59,26.18,114.6,5.784,999.2,1.046
2026-5-17 19:53:49:944,0.084,0.035,-1.21,-7.568,0.793,-48.584,-4.24,25.93,115.69,5.7,866.2,5.004
2026-5-17 19:53:49:964,0.027,-0.076,-0.928,-3.906,6.592,-48.584,-3.88,25.58,116.77,5.744,772.1,4.224
2026-5-17 19:53:49:984,0.09,0.046,-0.733,5.981,10.742,-49.072,-3.36,25.12,117.87,5.788,561.7,2.858
2026-5-17 19:53:50:4,0.06,0.022,-1.142,6.348,14.954,-48.462,-2.78,24.59,118.95,5.796,584.3,3.296
2026-5-17 19:53:50:24,0.05,-0.021,-0.917,1.831,23.743,-48.035,-2.29,23.91,120.01,5.988,3.6,0.022
2026-5-17 19:53:50:44,0.047,-0.029,-0.779,3.662,30.518,-47.852,-1.85,23.07,121.06,5.992,3.0,0.022
2026-5-17 19:53:50:64,0.021,-0.042,-0.851,9.277,31.555,-47.363,-1.31,22.16,122.1,5.984,2.8,0.016
2026-5-17 19:53:50:84,0.049,-0.009,-0.895,9.888,33.081,-46.997,-0.77,21.25,123.1,7.476,370.2,1.518
2026-5-17 19:53:50:104,0.054,-0.003,-0.909,6.042,39.429,-46.082,-0.31,20.24,124.07,7.764,268.2,0.098
2026-5-17 19:53:50:124,0.035,-0.023,-0.899,2.869,42.664,-45.471,0.04,19.14,125.01,5.86,20.3,0.04
2026-5-17 19:53:50:144,0.039,-0.029,-0.941,1.099,42.236,-44.373,0.33,18.03,125.93,5.984,43.7,0.052
2026-5-17 19:53:50:164,0.064,-0.016,-1.014,0.61,46.875,-43.396,0.57,16.91,126.8,5.984,27.3,0.02
2026-5-17 19:53:50:184,0.056,-0.023,-1.038,0.0,55.542,-42.053,0.77,15.63,127.64,5.992,4.4,0.026
2026-5-17 19:53:50:204,0.04,-0.021,-1.017,-0.549,58.289,-40.527,0.92,14.26,128.44,5.992,4.7,0.022
2026-5-17 19:53:50:224,0.051,-0.018,-1.083,-3.296,59.753,-39.246,1.02,12.89,129.2,5.992,4.7,0.032
2026-5-17 19:53:50:244,0.055,-0.027,-1.114,-5.31,66.406,-37.537,1.03,11.43,129.93,5.992,5.1,0.032
2026-5-17 19:53:50:264,0.035,-0.031,-1.11,-3.296,68.054,-35.828,1.03,9.9,130.61,5.992,5.0,0.032
2026-5-17 19:53:50:284,0.039,-0.014,-1.143,-4.395,64.636,-33.691,1.03,8.45,131.25,5.992,5.2,0.03
2026-5-17 19:53:50:304,0.056,-0.018,-1.151,-8.484,67.383,-31.738,0.92,7.01,131.85,5.992,4.2,0.022
2026-5-17 19:53:50:324,0.044,-0.031,-1.173,-8.118,70.801,-29.358,0.77,5.52,132.41,5.992,4.7,0.03
2026-5-17 19:53:50:344,0.044,-0.022,-1.195,-7.263,69.763,-26.855,0.64,4.04,132.92,5.992,4.9,0.026
2026-5-17 19:53:50:364,0.064,-0.013,-1.19,-9.705,73.608,-25.024,0.47,2.55,133.39,5.988,5.0,0.03
2026-5-17 19:53:50:384,0.051,-0.022,-1.209,-11.719,79.59,-22.705,0.23,0.97,133.82,5.992,4.8,0.03
2026-5-17 19:53:50:404,0.036,-0.027,-1.226,-10.498,78.491,-19.592,-0.01,-0.63,134.2,5.992,5.0,0.03
2026-5-17 19:53:50:424,0.048,-0.021,-1.227,-10.986,77.637,-17.517,-0.24,-2.17,134.53,5.992,5.1,0.03
2026-5-17 19:53:50:444,0.045,-0.02,-1.226,-13.123,79.712,-14.648,-0.52,-3.72,134.83,5.992,5.2,0.032
2026-5-17 19:53:50:464,0.032,-0.025,-1.236,-12.939,76.111,-11.292,-0.81,-5.22,135.07,5.992,5.3,0.03
