time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 20:16:32:724,0.025,-0.048,-1.118,2.625,-8.545,7.996,1.51,-14.99,162.19,6.408,6.3,0.04
2026-5-17 20:16:32:744,0.033,-0.014,-0.84,3.113,-9.705,7.751,1.6,-14.61,162.04,6.388,18.7,0.72
2026-5-17 20:16:32:764,0.044,-0.0,-1.043,-1.16,-8.972,7.996,1.63,-14.24,161.89,6.828,39.2,1.364
2026-5-17 20:16:32:784,0.036,-0.02,-1.081,-4.211,-9.46,8.789,1.58,-13.88,161.73,6.408,13.5,0.078
2026-5-17 20:16:32:804,0.029,-0.034,-0.92,-2.258,-13.367,8.728,1.53,-13.47,161.56,6.408,24.7,0.322
2026-5-17 20:16:32:824,0.032,-0.022,-0.997,0.366,-16.724,8.545,1.55,-12.99,161.41,6.388,4.9,0.108
2026-5-17 20:16:32:844,0.028,-0.006,-1.006,-2.625,-20.569,9.216,1.54,-12.45,161.25,6.404,26.1,0.358
2026-5-17 20:16:32:864,0.025,-0.02,-0.959,-4.761,-25.452,9.583,1.47,-11.82,161.08,6.396,4.3,0.612
2026-5-17 20:16:32:884,0.035,-0.029,-1.038,-3.845,-29.358,9.216,1.4,-11.11,160.92,6.404,19.9,0.128
2026-5-17 20:16:32:904,0.043,-0.018,-0.983,-1.831,-30.273,9.277,1.37,-10.37,160.77,6.4,20.6,0.132
2026-5-17 20:16:32:924,0.04,-0.011,-1.003,-4.028,-29.602,9.888,1.32,-9.64,160.6,6.404,19.9,0.122
2026-5-17 20:16:32:944,0.04,-0.02,-1.044,-5.859,-30.029,9.583,1.23,-8.92,160.44,6.4,21.6,0.124
2026-5-17 20:16:32:964,0.042,-0.028,-1.012,-4.761,-30.334,9.155,1.13,-8.21,160.28,5.6,2064.7,11.302
2026-5-17 20:16:32:984,0.036,-0.017,-1.036,-4.089,-31.006,9.399,1.06,-7.49,160.13,6.276,728.4,0.53
2026-5-17 20:16:33:4,0.036,-0.021,-1.277,-4.822,-34.546,9.583,0.98,-6.75,159.96,5.996,1384.2,8.31
2026-5-17 20:16:33:24,0.05,0.025,-1.294,-11.169,-40.039,8.667,0.82,-5.9,159.81,6.064,784.6,4.984
2026-5-17 20:16:33:44,0.016,-0.051,-0.932,-14.832,-42.603,8.85,0.52,-4.99,159.66,6.104,799.1,5.488
2026-5-17 20:16:33:64,0.043,-0.049,-1.11,-7.202,-44.25,9.155,0.29,-4.06,159.51,6.172,514.7,4.146
2026-5-17 20:16:33:84,0.049,-0.012,-1.245,-3.235,-44.128,8.728,0.21,-3.14,159.36,6.168,511.2,3.686
2026-5-17 20:16:33:104,0.035,-0.013,-0.965,-6.653,-42.664,7.935,0.11,-2.24,159.22,6.416,13.3,2.668
2026-5-17 20:16:33:124,0.033,-0.046,-1.013,-4.517,-41.321,8.057,-0.02,-1.38,159.08,6.408,2.8,0.078
2026-5-17 20:16:33:144,0.053,0.013,-1.018,2.258,-42.358,8.057,0.02,-0.53,158.94,6.396,8.4,1.682
2026-5-17 20:16:33:164,0.04,0.038,-1.012,-9.949,-44.067,7.141,-0.06,0.35,158.81,6.316,556.6,0.918
