time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 19:37:57:424,0.067,-0.033,-0.915,4.578,10.559,-37.476,-3.34,20.82,63.83,6.008,6.2,0.036
2026-5-17 19:37:57:444,0.066,-0.021,-0.939,6.714,14.587,-38.086,-2.93,20.34,64.65,6.008,5.8,0.036
2026-5-17 19:37:57:464,0.068,-0.007,-0.933,3.418,19.653,-38.269,-2.56,19.77,65.48,6.008,6.1,0.036
2026-5-17 19:37:57:484,0.067,-0.029,-0.951,1.709,24.658,-38.635,-2.27,19.09,66.31,6.012,5.9,0.04
2026-5-17 19:37:57:504,0.061,-0.04,-0.958,6.47,27.649,-38.696,-1.93,18.35,67.13,6.012,5.5,0.032
2026-5-17 19:37:57:524,0.066,-0.014,-0.961,8.667,29.785,-38.33,-1.54,17.56,67.95,6.012,5.4,0.03
2026-5-17 19:37:57:544,0.07,-0.007,-0.983,2.502,32.593,-38.513,-1.22,16.73,68.76,6.008,5.4,0.032
2026-5-17 19:37:57:564,0.063,-0.037,-0.986,1.953,35.034,-38.269,-1.01,15.85,69.55,6.012,5.6,0.032
2026-5-17 19:37:57:584,0.065,-0.036,-1.007,8.24,36.682,-37.781,-0.71,14.94,70.34,6.012,5.5,0.032
2026-5-17 19:37:57:604,0.072,0.0,-1.013,6.531,40.466,-37.231,-0.4,13.98,71.1,6.004,5.9,0.032
2026-5-17 19:37:57:624,0.073,-0.013,-1.03,-0.244,45.227,-36.804,-0.23,12.94,71.85,6.012,5.9,0.036
2026-5-17 19:37:57:644,0.066,-0.047,-1.05,2.563,48.34,-36.011,-0.09,11.83,72.58,6.008,5.6,0.036
2026-5-17 19:37:57:664,0.069,-0.021,-1.053,7.507,51.147,-34.912,0.13,10.68,73.28,5.972,157.8,2.212
2026-5-17 19:37:57:684,0.067,-0.008,-1.062,1.892,54.26,-34.302,0.3,9.48,73.96,6.0,4.1,6.216
2026-5-17 19:37:57:704,0.062,-0.013,-0.941,1.526,55.725,-33.264,0.38,8.25,74.61,5.752,639.1,3.91
2026-5-17 19:37:57:724,0.062,-0.029,-1.109,0.549,55.847,-31.982,0.44,7.03,75.25,5.772,594.6,4.236
2026-5-17 19:37:57:744,0.061,-0.027,-1.012,-0.183,57.068,-30.762,0.47,5.81,75.84,5.872,379.4,2.488
2026-5-17 19:37:57:764,0.081,0.011,-0.911,-0.244,58.96,-29.358,0.48,4.56,76.42,5.944,8.2,2.144
2026-5-17 19:37:57:784,0.079,-0.004,-1.191,1.282,60.974,-27.649,0.52,3.31,76.96,6.008,3.0,0.016
2026-5-17 19:37:57:804,0.095,0.07,-1.081,-5.981,62.744,-26.978,0.48,2.03,77.47,5.968,-225.6,0.412
2026-5-17 19:37:57:824,0.088,-0.006,-1.199,-17.456,65.979,-26.001,0.19,0.72,77.97,7.06,155.5,1.638
2026-5-17 19:37:57:844,0.049,-0.087,-1.201,-3.418,65.308,-22.949,-0.01,-0.6,78.44,5.728,895.9,4.3
2026-5-17 19:37:57:864,0.104,0.008,-1.329,7.874,64.392,-20.935,0.06,-1.88,78.85,6.704,6.1,2.09
2026-5-17 19:37:57:884,0.077,0.034,-1.511,-6.348,65.002,-19.836,0.05,-3.15,79.24,7.632,3.7,0.036
2026-5-17 19:37:57:904,0.04,-0.067,-1.194,-12.207,63.049,-18.066,-0.21,-4.38,79.6,5.864,25.1,2.53
2026-5-17 19:37:57:924,0.063,-0.067,-1.159,-4.639,61.707,-16.235,-0.43,-5.56,79.94,5.992,42.5,0.15
2026-5-17 19:37:57:944,0.083,-0.014,-1.343,3.235,62.439,-13.916,-0.46,-6.73,80.23,5.984,21.2,0.426
2026-5-17 19:37:57:964,0.068,0.025,-1.083,-4.822,63.416,-12.329,-0.51,-7.9,80.49,6.004,28.5,0.17
2026-5-17 19:37:57:984,0.065,-0.022,-1.116,-15.747,64.209,-11.353,-0.8,-9.07,80.72,6.008,6.8,0.144
2026-5-17 19:37:58:4,0.07,-0.072,-1.217,-5.005,63.843,-8.911,-1.05,-10.23,80.93,5.988,6.0,0.102
2026-5-17 19:37:58:24,0.059,-0.008,-1.067,3.662,62.5,-6.287,-1.03,-11.36,81.08,5.944,173.1,0.036
2026-5-17 19:37:58:44,0.063,0.024,-1.172,-8.606,60.303,-5.066,-1.11,-12.44,81.19,6.012,5.8,0.112
2026-5-17 19:37:58:64,0.06,-0.043,-1.119,-13.306,57.373,-3.54,-1.39,-13.45,81.29,5.972,23.1,0.102
2026-5-17 19:37:58:84,0.056,-0.05,-1.072,-3.357,55.481,-1.038,-1.53,-14.39,81.34,6.008,487.3,0.046
2026-5-17 19:37:58:104,0.065,-0.004,-1.138,-0.916,53.101,1.282,-1.52,-15.29,81.34,5.96,261.5,2.458
2026-5-17 19:37:58:124,0.073,0.012,-1.217,-8.484,52.246,2.869,-1.59,-16.14,81.3,5.936,185.6,1.544
2026-5-17 19:37:58:144,0.111,0.054,-1.408,-16.724,51.758,3.967,-1.83,-16.98,81.24,5.632,850.9,4.814
2026-5-17 19:37:58:164,0.072,-0.011,-1.019,-14.16,49.194,6.531,-2.07,-17.76,81.13,5.7,872.4,5.05
2026-5-17 19:37:58:184,0.087,-0.003,-0.898,-1.831,45.715,9.033,-2.14,-18.48,80.97,5.756,632.3,4.418
2026-5-17 19:37:58:204,0.067,-0.031,-1.124,5.188,44.006,11.536,-1.99,-19.16,80.76,5.812,553.1,2.798
2026-5-17 19:37:58:224,0.055,0.014,-0.931,-1.953,42.175,13.184,-1.84,-19.79,80.5,5.816,444.4,3.238
2026-5-17 19:37:58:244,0.049,-0.029,-0.861,-7.324,39.246,14.526,-1.83,-20.36,80.2,6.012,2.9,0.014
2026-5-17 19:37:58:264,0.063,-0.054,-0.94,-0.305,36.133,16.479,-1.75,-20.85,79.86,6.012,2.8,0.036
2026-5-17 19:37:58:284,0.04,-0.06,-0.917,7.202,33.691,18.616,-1.46,-21.29,79.47,6.012,6.0,0.02
2026-5-17 19:37:58:304,0.047,0.016,-0.856,1.038,29.724,20.142,-1.16,-21.65,79.04,5.852,-104.4,3.54
2026-5-17 19:37:58:324,0.048,-0.004,-0.921,-8.85,25.696,21.057,-1.06,-21.93,78.57,6.468,459.6,0.718
2026-5-17 19:37:58:344,0.035,-0.073,-0.877,-5.554,22.522,22.644,-1.0,-22.14,78.09,6.012,42.7,0.056
2026-5-17 19:37:58:364,0.045,-0.044,-0.884,2.014,20.325,24.658,-0.76,-22.29,77.56,7.176,5.9,0.04
2026-5-17 19:37:58:384,0.048,-0.011,-0.968,3.052,16.113,26.428,-0.44,-22.37,76.98,5.996,48.0,0.258
2026-5-17 19:37:58:404,0.05,-0.003,-0.916,-2.686,12.024,27.405,-0.17,-22.36,76.38,6.008,14.9,0.416
2026-5-17 19:37:58:424,0.05,-0.026,-0.888,-5.92,9.521,27.832,0.0,-22.28,75.77,6.016,5.7,0.04
2026-5-17 19:37:58:444,0.047,-0.043,-0.966,-1.526,5.981,29.785,0.21,-22.15,75.12,6.012,5.1,0.304
2026-5-17 19:37:58:464,0.044,-0.025,-0.905,3.418,1.648,31.372,0.55,-21.93,74.44,6.012,5.6,0.052
2026-5-17 19:37:58:484,0.051,-0.001,-0.925,-1.099,-2.075,31.372,0.87,-21.63,73.76,6.012,5.7,0.032
2026-5-17 19:37:58:504,0.049,-0.022,-0.939,-6.348,-4.944,31.921,1.05,-21.27,73.07,6.012,5.0,0.032
2026-5-17 19:37:58:524,0.043,-0.047,-0.919,-1.648,-9.46,33.508,1.26,-20.83,72.36,6.012,5.0,0.03
