time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 23:11:19:494,0.016,-0.022,-1.043,14.587,-77.759,-0.366,0.1,16.28,2.41,9.452,-3.100,0.030
2026-5-17 23:11:19:514,0.084,0.074,-1.05,-22.583,-64.087,-2.197,-0.02,17.46,2.47,9.224,-3.600,0.032
2026-5-17 23:11:19:534,0.044,-0.15,-1.288,-37.537,-46.814,-2.441,-0.68,18.28,2.54,5.820,2595.000,16.054
2026-5-17 23:11:19:554,0.146,-0.12,-1.054,-4.944,-29.968,-1.282,-1.06,18.75,2.58,6.404,1465.700,11.066
2026-5-17 23:11:19:574,0.134,-0.073,-2.053,14.099,-23.804,-0.549,-0.86,19.01,2.6,6.544,980.700,8.260
2026-5-17 23:11:19:594,0.092,0.031,-2.042,10.986,-35.522,1.282,-0.58,19.37,2.59,7.020,49.400,0.544
2026-5-17 23:11:19:614,0.047,0.019,-0.949,-8.85,-45.898,0.0,-0.62,19.98,2.6,7.012,34.800,0.322
2026-5-17 23:11:19:634,0.03,-0.024,-0.631,-17.273,-52.795,-0.488,-0.92,20.74,2.61,7.012,36.600,0.252
2026-5-17 23:11:19:654,0.044,-0.093,-0.804,-11.353,-57.007,0.732,-1.22,21.6,2.61,6.992,87.100,0.586
2026-5-17 23:11:19:674,0.108,-0.072,-1.115,6.409,-50.842,2.625,-1.21,22.42,2.58,6.992,85.300,0.626
2026-5-17 23:11:19:694,0.117,-0.006,-1.042,9.338,-32.227,2.502,-1.01,22.94,2.53,6.992,83.700,0.558
2026-5-17 23:11:19:714,0.078,0.0,-0.799,-3.906,-18.738,2.319,-0.98,23.12,2.49,6.988,84.900,0.590
2026-5-17 23:11:19:734,0.076,-0.038,-0.923,-8.606,-12.512,3.235,-1.14,23.13,2.43,6.992,78.000,0.566
2026-5-17 23:11:19:754,0.085,-0.061,-1.051,1.282,-6.836,4.395,-1.2,23.02,2.35,6.988,81.900,0.530
2026-5-17 23:11:19:774,0.058,-0.001,-0.863,2.258,-3.357,4.028,-1.14,22.82,2.27,6.144,1618.400,11.368
2026-5-17 23:11:19:794,0.04,-0.033,-0.945,-3.784,-9.949,4.395,-1.2,22.68,2.19,6.452,1131.900,8.234
2026-5-17 23:11:19:814,0.077,-0.03,-1.337,-3.601,-20.935,5.92,-1.29,22.75,2.08,6.520,1115.800,7.674
2026-5-17 23:11:19:834,0.106,-0.099,-1.454,1.16,-21.973,6.287,-1.35,22.92,1.95,6.620,917.400,5.306
2026-5-17 23:11:19:854,0.064,-0.1,-1.019,9.399,-13.916,6.653,-1.24,22.96,1.82,6.692,824.000,5.416
2026-5-17 23:11:19:874,0.047,-0.027,-0.777,9.216,-9.338,8.057,-1.06,22.9,1.66,6.764,660.000,4.706
2026-5-17 23:11:19:894,0.078,0.021,-0.93,-0.244,3.662,7.996,-1.01,22.66,1.49,6.768,571.800,3.890
2026-5-17 23:11:19:914,0.119,-0.063,-1.131,-14.526,21.973,6.409,-1.25,22.1,1.35,6.800,500.600,3.476
2026-5-17 23:11:19:934,0.071,-0.054,-0.942,-5.676,32.043,6.897,-1.47,21.24,1.21,6.820,396.900,3.476
2026-5-17 23:11:19:954,0.106,-0.033,-0.755,-8.667,28.259,7.629,-1.64,20.37,1.07,6.840,363.400,2.742
2026-5-17 23:11:19:974,0.048,-0.039,-0.887,-17.456,25.513,7.202,-1.96,19.59,0.92,6.860,397.000,3.166
2026-5-17 23:11:19:994,0.009,-0.112,-1.028,1.648,21.606,8.118,-2.08,18.93,0.77,6.860,404.900,2.572
2026-5-17 23:11:20:14,0.028,-0.037,-0.847,18.86,13.428,9.216,-1.77,18.37,0.6,6.864,376.700,2.772
2026-5-17 23:11:20:34,0.03,0.004,-0.805,13.245,11.536,9.033,-1.44,17.91,0.41,7.016,29.600,0.764
2026-5-17 23:11:20:54,0.107,-0.034,-0.954,-1.343,19.165,8.057,-1.37,17.37,0.24,7.480,-53.700,0.058
2026-5-17 23:11:20:74,0.065,-0.055,-1.019,-8.362,37.537,6.897,-1.52,16.54,0.09,9.556,-3.300,0.030
2026-5-17 23:11:20:94,0.033,-0.063,-0.801,3.723,48.889,7.019,-1.52,15.42,-0.03,8.812,-3.800,0.032
2026-5-17 23:11:20:114,0.072,-0.032,-0.919,13.306,55.664,7.141,-1.29,14.17,-0.18,5.788,2637.800,13.376
2026-5-17 23:11:20:134,0.091,0.021,-1.164,9.888,60.913,6.348,-1.04,12.83,-0.31,6.824,423.600,4.682
2026-5-17 23:11:20:154,0.062,0.009,-0.88,-0.122,61.89,5.188,-0.98,11.43,-0.43,6.856,395.400,2.684
2026-5-17 23:11:20:174,0.037,-0.043,-0.875,-1.099,53.406,5.005,-1.02,10.16,-0.54,7.024,-0.700,0.368
2026-5-17 23:11:20:194,0.071,-0.076,-1.253,4.089,41.931,5.127,-0.97,9.11,-0.65,7.028,3.300,0.014
2026-5-17 23:11:20:214,0.082,-0.027,-1.067,14.771,43.64,5.066,-0.73,8.17,-0.77,7.028,40.800,0.026
2026-5-17 23:11:20:234,0.084,0.005,-1.045,8.728,46.936,4.333,-0.48,7.16,-0.87,7.032,1.200,0.010
2026-5-17 23:11:20:254,0.094,-0.023,-1.207,-1.404,53.894,3.723,-0.45,6.06,-0.97,7.028,1.300,0.010
2026-5-17 23:11:20:274,0.123,-0.06,-1.163,5.127,68.542,3.174,-0.41,4.76,-1.06,6.228,1722.000,11.886
2026-5-17 23:11:20:294,0.079,-0.036,-1.063,13.062,78.674,2.563,-0.19,3.19,-1.15,6.640,863.200,6.076
2026-5-17 23:11:20:314,0.058,-0.002,-1.109,9.277,76.233,2.441,0.05,1.6,-1.24,6.644,851.000,5.302
2026-5-17 23:11:20:334,0.075,-0.026,-1.031,3.967,69.519,1.709,0.16,0.16,-1.32,6.776,525.100,3.938
2026-5-17 23:11:20:354,0.052,-0.044,-1.11,4.883,65.552,0.916,0.24,-1.19,-1.38,6.800,497.100,3.516
2026-5-17 23:11:20:374,0.004,-0.065,-1.132,7.568,54.688,0.977,0.37,-2.35,-1.44,6.864,367.100,2.536
2026-5-17 23:11:20:394,0.034,-0.0,-0.947,10.62,50.659,1.221,0.59,-3.34,-1.5,6.880,305.700,2.062
2026-5-17 23:11:20:414,0.158,-0.032,-1.032,10.315,58.167,0.549,0.81,-4.38,-1.56,6.932,262.100,1.828
2026-5-17 23:11:20:434,0.1,0.03,-1.02,4.578,68.176,-0.305,0.91,-5.61,-1.61,6.940,213.200,1.508
2026-5-17 23:11:20:454,0.005,-0.067,-0.989,0.061,71.533,-0.549,0.94,-6.95,-1.66,6.944,167.500,1.210
2026-5-17 23:11:20:474,0.105,-0.059,-0.844,11.841,77.148,0.488,1.08,-8.35,-1.72,6.956,166.300,1.154
2026-5-17 23:11:20:494,0.148,-0.116,-1.116,34.668,76.416,1.16,1.55,-9.78,-1.81,6.960,164.500,1.186
2026-5-17 23:11:20:514,-0.036,0.021,-1.146,28.564,64.453,0.916,2.25,-11.05,-1.92,9.752,-2.900,0.020
2026-5-17 23:11:20:534,0.042,0.124,-0.748,-2.808,55.969,-0.916,2.43,-12.06,-1.99,9.500,-3.200,0.030
2026-5-17 23:11:20:554,0.135,-0.104,-1.158,-18.005,50.11,-2.258,2.09,-12.94,-2.02,5.768,2695.800,15.892
