time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-18 0:17:56:194,0.059,-0.007,-0.928,2.136,-17.273,-13.733,-1.29,24.15,12.8,7.004,1.200,0.010
2026-5-18 0:17:56:214,0.066,-0.007,-0.915,-1.282,-19.043,-13.794,-1.19,24.22,13.1,7.008,1.200,0.010
2026-5-18 0:17:56:234,0.072,-0.02,-0.912,0.305,-16.663,-13.672,-1.09,24.29,13.4,7.008,1.100,0.010
2026-5-18 0:17:56:254,0.085,-0.014,-0.914,1.404,-11.23,-13.733,-0.96,24.26,13.71,7.008,1.000,0.010
2026-5-18 0:17:56:274,0.086,-0.009,-0.912,0.977,-2.441,-13.489,-0.83,24.08,14.0,7.012,0.800,0.006
2026-5-18 0:17:56:294,0.089,-0.016,-0.909,0.854,7.263,-13.0,-0.73,23.71,14.28,7.008,0.900,0.010
2026-5-18 0:17:56:314,0.08,-0.015,-0.91,1.465,15.381,-12.695,-0.61,23.17,14.55,7.008,1.200,0.006
2026-5-18 0:17:56:334,0.071,-0.016,-0.922,0.916,20.752,-12.512,-0.51,22.5,14.81,7.004,1.000,0.010
2026-5-18 0:17:56:354,0.065,-0.02,-0.924,1.77,21.606,-12.268,-0.41,21.79,15.06,7.008,1.200,0.006
2026-5-18 0:17:56:374,0.059,-0.009,-0.925,2.075,20.569,-11.719,-0.3,21.1,15.3,7.008,1.200,0.010
2026-5-18 0:17:56:394,0.066,-0.008,-0.938,0.244,19.104,-11.841,-0.21,20.46,15.54,7.004,0.700,0.010
2026-5-18 0:17:56:414,0.072,-0.022,-0.954,0.122,19.897,-11.475,-0.16,19.82,15.77,7.008,1.300,0.010
2026-5-18 0:17:56:434,0.083,-0.019,-0.962,2.136,23.743,-10.681,-0.08,19.14,15.99,7.004,0.900,0.010
2026-5-18 0:17:56:454,0.088,-0.006,-0.972,0.793,31.311,-10.437,-0.01,18.34,16.19,7.008,1.400,0.006
2026-5-18 0:17:56:474,0.089,-0.013,-0.99,-1.587,40.588,-9.949,0.01,17.37,16.38,7.008,1.400,0.010
2026-5-18 0:17:56:494,0.084,-0.024,-1.002,1.282,48.34,-9.216,0.03,16.25,16.55,7.008,1.400,0.010
2026-5-18 0:17:56:514,0.074,-0.009,-1.021,2.38,52.856,-8.545,0.1,15.02,16.7,7.008,1.300,0.006
2026-5-18 0:17:56:534,0.069,-0.009,-1.034,-1.16,53.589,-8.423,0.12,13.77,16.84,7.000,0.800,0.010
2026-5-18 0:17:56:554,0.066,-0.028,-1.048,-1.831,51.27,-8.118,0.08,12.56,16.97,6.152,1644.700,11.272
2026-5-18 0:17:56:574,0.066,-0.019,-1.065,1.648,48.462,-7.141,0.1,11.43,17.09,6.180,1486.200,9.902
2026-5-18 0:17:56:594,0.069,0.004,-1.043,-1.038,47.729,-6.775,0.12,10.34,17.2,6.444,879.600,5.734
2026-5-18 0:17:56:614,0.072,-0.005,-0.95,-4.639,51.453,-6.47,0.04,9.22,17.31,6.672,565.800,3.628
2026-5-18 0:17:56:634,0.07,-0.056,-1.067,1.404,57.556,-5.432,0.01,8.02,17.4,6.692,551.000,3.474
2026-5-18 0:17:56:654,0.137,0.018,-0.979,9.033,66.406,-4.15,0.14,6.68,17.45,6.744,357.500,2.588
2026-5-18 0:17:56:674,0.058,-0.026,-0.971,5.249,71.472,-4.089,0.27,5.22,17.5,6.764,334.900,2.388
2026-5-18 0:17:56:694,0.101,0.014,-0.972,8.545,73.792,-3.418,0.4,3.71,17.52,6.828,250.800,1.756
2026-5-18 0:17:56:714,0.077,-0.059,-1.088,6.836,71.35,-2.38,0.53,2.22,17.52,6.832,253.100,1.580
2026-5-18 0:17:56:734,0.015,0.023,-1.014,4.761,67.505,-1.343,0.68,0.84,17.51,6.880,208.700,1.488
2026-5-18 0:17:56:754,0.057,-0.031,-0.978,-0.854,62.927,-1.099,0.7,-0.44,17.48,6.904,162.000,1.064
2026-5-18 0:17:56:774,-0.016,0.029,-1.096,1.831,61.157,0.549,0.68,-1.64,17.45,6.896,162.000,0.954
2026-5-18 0:17:56:794,0.097,-0.017,-1.033,-2.014,61.218,0.916,0.7,-2.82,17.38,10.060,-1.900,0.016
2026-5-18 0:17:56:814,0.095,0.007,-0.952,-15.015,64.453,1.038,0.52,-4.02,17.31,9.808,-3.300,0.026
2026-5-18 0:17:56:834,0.107,-0.038,-1.276,-43.579,69.824,-0.366,-0.16,-5.32,17.27,6.424,940.600,7.822
2026-5-18 0:17:56:854,0.103,-0.101,-1.613,-32.166,75.012,1.648,-0.98,-6.73,17.23,6.896,240.100,2.510
2026-5-18 0:17:56:874,0.132,-0.108,-2.085,4.15,71.716,4.517,-1.17,-8.11,17.16,6.996,20.800,0.128
2026-5-18 0:17:56:894,0.071,0.0,-1.341,21.851,64.087,6.775,-0.73,-9.33,17.02,6.996,30.300,0.176
2026-5-18 0:17:56:914,0.044,0.032,-0.727,8.484,61.646,6.531,-0.39,-10.45,16.85,7.008,1.200,0.010
2026-5-18 0:17:56:934,0.074,0.029,-1.13,-12.695,59.937,5.371,-0.45,-11.52,16.71,6.992,33.000,0.196
2026-5-18 0:17:56:954,0.094,-0.057,-1.494,-21.973,58.35,5.554,-0.84,-12.55,16.58,6.992,26.400,0.190
2026-5-18 0:17:56:974,0.07,-0.121,-1.064,5.432,57.068,8.179,-0.92,-13.54,16.42,6.992,26.100,0.180
