time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-18 0:10:53:434,0.02,-0.025,-1.099,-2.258,-65.796,-21.118,0.45,-3.2,2.3,6.852,345.900,2.576
2026-5-18 0:10:53:454,0.024,-0.01,-0.923,-4.028,-70.923,-21.118,0.35,-1.79,2.75,6.872,332.900,2.254
2026-5-18 0:10:53:474,0.048,-0.009,-1.056,-2.319,-72.144,-20.264,0.25,-0.35,3.2,6.904,240.000,1.714
2026-5-18 0:10:53:494,0.06,-0.012,-1.062,1.282,-71.899,-19.653,0.23,1.09,3.64,6.908,249.200,1.762
2026-5-18 0:10:53:514,0.156,-0.054,-0.94,6.592,-68.542,-19.47,0.32,2.45,4.05,6.932,189.100,1.412
2026-5-18 0:10:53:534,0.064,-0.008,-0.942,8.301,-64.453,-18.555,0.44,3.71,4.47,6.944,162.000,1.022
2026-5-18 0:10:53:554,0.161,-0.027,-1.053,3.784,-62.439,-17.944,0.54,4.89,4.86,6.940,157.100,1.128
2026-5-18 0:10:53:574,0.066,-0.063,-1.111,-0.488,-62.744,-17.456,0.54,6.06,5.25,9.884,-2.500,0.022
2026-5-18 0:10:53:594,0.078,-0.007,-0.873,-1.77,-63.171,-16.785,0.56,7.23,5.63,9.760,-3.000,0.022
2026-5-18 0:10:53:614,0.012,0.129,-1.2,-32.898,-65.247,-17.883,0.21,8.43,6.02,6.660,824.800,6.784
2026-5-18 0:10:53:634,0.121,-0.07,-1.679,-53.101,-66.833,-17.761,-0.75,9.65,6.39,6.804,594.600,4.092
2026-5-18 0:10:53:654,0.172,-0.174,-2.076,-19.653,-65.674,-14.954,-1.44,10.85,6.72,7.008,7.400,0.046
2026-5-18 0:10:53:674,0.11,-0.086,-1.316,28.32,-63.66,-10.437,-1.1,12.0,6.95,7.012,1.000,0.010
2026-5-18 0:10:53:694,0.056,0.02,-0.702,28.015,-59.937,-9.949,-0.43,13.07,7.16,7.012,1.600,0.010
2026-5-18 0:10:53:714,0.09,0.094,-1.092,-3.845,-56.641,-11.353,-0.18,14.06,7.4,7.008,1.300,0.010
2026-5-18 0:10:53:734,0.108,-0.019,-1.438,-36.621,-52.246,-12.085,-0.68,14.95,7.66,7.008,0.800,0.006
2026-5-18 0:10:53:754,0.071,-0.173,-1.023,-9.033,-51.697,-9.216,-1.1,15.8,7.88,6.996,27.500,0.190
2026-5-18 0:10:53:774,0.063,-0.05,-0.977,22.217,-53.04,-6.714,-0.77,16.64,8.04,7.000,27.600,0.194
2026-5-18 0:10:53:794,0.083,0.053,-1.179,8.118,-54.932,-6.836,-0.4,17.52,8.19,6.996,28.600,0.194
2026-5-18 0:10:53:814,0.081,-0.006,-1.001,-17.578,-52.002,-6.897,-0.54,18.36,8.34,6.996,26.200,0.176
2026-5-18 0:10:53:834,0.079,-0.116,-1.057,-6.592,-48.401,-5.432,-0.77,19.12,8.48,7.000,27.500,0.200
2026-5-18 0:10:53:854,0.082,-0.055,-1.067,10.193,-46.204,-3.906,-0.62,19.82,8.57,6.996,27.700,0.194
2026-5-18 0:10:53:874,0.085,0.001,-0.95,4.578,-40.955,-3.235,-0.42,20.44,8.66,6.996,27.600,0.194
2026-5-18 0:10:53:894,0.086,-0.011,-1.026,-8.972,-33.813,-2.808,-0.47,20.91,8.73,7.000,28.400,0.194
2026-5-18 0:10:53:914,0.076,-0.069,-1.021,-6.531,-30.212,-1.648,-0.62,21.28,8.79,6.996,28.000,0.194
2026-5-18 0:10:53:934,0.067,-0.068,-0.939,5.493,-30.151,-0.549,-0.57,21.62,8.82,7.000,25.300,0.194
2026-5-18 0:10:53:954,0.076,-0.006,-0.985,5.676,-28.748,0.549,-0.41,21.94,8.82,6.996,27.700,0.194
2026-5-18 0:10:53:974,0.071,-0.008,-0.956,-6.104,-26.062,1.282,-0.43,22.21,8.81,6.996,27.700,0.176
2026-5-18 0:10:53:994,0.066,-0.061,-0.945,-7.385,-24.658,2.136,-0.6,22.44,8.78,6.992,26.500,0.194
2026-5-18 0:10:54:14,0.076,-0.072,-0.945,4.395,-22.766,3.235,-0.6,22.64,8.73,6.996,28.500,0.196
2026-5-18 0:10:54:34,0.081,-0.014,-0.922,6.226,-17.029,4.333,-0.47,22.75,8.65,7.000,27.500,0.194
2026-5-18 0:10:54:54,0.08,-0.007,-0.944,-4.883,-9.766,4.7,-0.49,22.73,8.56,6.996,27.800,0.196
2026-5-18 0:10:54:74,0.073,-0.063,-0.931,-8.179,-4.822,5.127,-0.68,22.58,8.45,7.000,27.800,0.200
2026-5-18 0:10:54:94,0.073,-0.076,-0.912,4.272,-1.404,6.531,-0.71,22.36,8.33,6.996,27.600,0.194
2026-5-18 0:10:54:114,0.072,-0.017,-0.928,6.592,2.319,7.507,-0.6,22.07,8.18,6.996,28.200,0.176
2026-5-18 0:10:54:134,0.066,-0.007,-0.924,-4.761,4.883,8.057,-0.63,21.72,8.01,7.000,27.400,0.196
2026-5-18 0:10:54:154,0.063,-0.062,-0.923,-7.385,5.31,8.667,-0.82,21.35,7.84,7.000,27.700,0.194
2026-5-18 0:10:54:174,0.074,-0.072,-0.926,4.333,6.958,9.827,-0.86,20.97,7.65,7.000,28.500,0.196
2026-5-18 0:10:54:194,0.077,-0.017,-0.928,6.104,10.986,10.498,-0.76,20.53,7.43,6.996,27.500,0.194
2026-5-18 0:10:54:214,0.078,-0.01,-0.943,-4.395,16.113,10.986,-0.81,20.01,7.2,6.996,27.500,0.176
2026-5-18 0:10:54:234,0.079,-0.062,-0.947,-5.676,20.691,11.475,-0.99,19.39,6.97,6.996,27.800,0.200
2026-5-18 0:10:54:254,0.081,-0.067,-0.95,5.066,26.123,12.39,-1.01,18.67,6.71,6.996,27.900,0.200
2026-5-18 0:10:54:274,0.075,-0.017,-0.969,6.104,31.128,12.939,-0.91,17.86,6.45,6.996,27.700,0.194
2026-5-18 0:10:54:294,0.069,-0.012,-0.973,-2.625,33.936,13.55,-0.93,16.98,6.17,7.000,25.200,0.180
2026-5-18 0:10:54:314,0.073,-0.06,-0.986,-3.235,34.851,13.855,-1.06,16.09,5.89,6.996,28.200,0.196
2026-5-18 0:10:54:334,0.07,-0.06,-1.002,5.127,36.194,14.648,-1.05,15.19,5.59,6.996,27.600,0.194
2026-5-18 0:10:54:354,0.074,-0.021,-1.01,6.531,37.415,15.503,-0.95,14.27,5.28,6.996,27.200,0.180
2026-5-18 0:10:54:374,0.078,-0.016,-1.024,-0.671,39.368,15.686,-0.94,13.33,4.95,6.996,27.400,0.194
2026-5-18 0:10:54:394,0.084,-0.048,-1.037,-0.916,43.152,15.808,-1.01,12.35,4.63,6.120,2223.500,13.308
2026-5-18 0:10:54:414,0.082,-0.06,-1.063,6.042,47.974,16.296,-0.97,11.28,4.3,6.464,1237.900,8.940
2026-5-18 0:10:54:434,0.11,-0.039,-1.508,12.878,52.734,17.456,-0.78,10.13,3.95,6.652,881.900,6.226
2026-5-18 0:10:54:454,0.062,0.093,-1.601,2.38,57.251,17.273,-0.63,8.92,3.58,6.644,897.000,5.542
2026-5-18 0:10:54:474,0.107,-0.081,-1.084,1.709,55.969,17.7,-0.65,7.71,3.21,6.756,689.300,4.758
2026-5-18 0:10:54:494,0.119,-0.093,-0.869,20.02,55.664,19.653,-0.41,6.5,2.82,6.748,590.000,4.122
2026-5-18 0:10:54:514,0.08,-0.053,-1.205,35.034,54.626,21.362,0.18,5.34,2.38,6.768,580.400,3.982
2026-5-18 0:10:54:534,0.086,0.07,-1.326,19.226,56.03,20.081,0.77,4.21,1.92,6.804,535.400,3.676
2026-5-18 0:10:54:554,0.052,0.008,-0.958,-19.165,61.218,18.127,0.63,2.99,1.49,6.808,431.100,3.074
2026-5-18 0:10:54:574,0.133,-0.094,-0.812,-16.235,63.782,18.005,0.24,1.71,1.09,6.836,403.500,2.752
2026-5-18 0:10:54:594,0.048,-0.085,-1.271,4.944,67.566,18.982,0.19,0.38,0.67,6.848,428.800,3.140
2026-5-18 0:10:54:614,0.159,-0.047,-1.158,23.926,69.763,19.714,0.6,-0.98,0.24,6.856,369.500,2.614
2026-5-18 0:10:54:634,0.067,0.004,-0.877,8.85,70.496,18.433,0.93,-2.35,-0.2,6.852,362.900,2.520
2026-5-18 0:10:54:654,0.005,-0.022,-1.07,-5.493,68.237,17.151,0.97,-3.69,-0.62,6.872,325.400,2.314
2026-5-18 0:10:54:674,0.022,-0.084,-1.337,0.732,64.941,16.296,0.97,-4.94,-1.01,9.696,-3.300,0.030
2026-5-18 0:10:54:694,0.017,0.004,-1.046,17.395,64.27,17.273,1.3,-6.14,-1.41,9.600,-3.400,0.036
2026-5-18 0:10:54:714,0.108,-0.036,-0.856,29.175,60.913,17.456,1.9,-7.27,-1.83,7.068,-3.500,0.050
2026-5-18 0:10:54:734,0.07,0.042,-1.121,13.123,62.134,15.625,2.34,-8.39,-2.25,7.000,40.500,0.204
2026-5-18 0:10:54:754,0.077,-0.016,-1.201,-1.343,67.566,14.099,2.44,-9.57,-2.63,6.992,40.700,0.020
2026-5-18 0:10:54:774,0.076,-0.091,-1.088,11.353,68.604,14.099,2.6,-10.79,-3.02,7.000,20.400,0.158
2026-5-18 0:10:54:794,0.073,-0.021,-1.151,23.804,65.735,14.038,3.09,-11.98,-3.41,7.000,19.200,0.150
2026-5-18 0:10:54:814,0.079,0.025,-1.161,14.709,64.148,12.512,3.53,-13.08,-3.79,7.008,1.000,0.010
2026-5-18 0:10:54:834,0.062,-0.015,-1.07,4.333,60.486,11.047,3.73,-14.14,-4.14,7.008,0.800,0.006
2026-5-18 0:10:54:854,0.063,-0.055,-1.128,10.01,54.077,10.681,3.92,-15.07,-4.47,7.012,1.300,0.006
2026-5-18 0:10:54:874,0.074,-0.032,-1.122,17.578,50.354,10.193,4.28,-15.88,-4.77,7.008,1.400,0.010
2026-5-18 0:10:54:894,0.07,0.0,-1.042,14.893,50.72,9.216,4.66,-16.67,-5.08,7.012,1.300,0.010
2026-5-18 0:10:54:914,0.072,-0.003,-1.093,7.446,49.988,7.629,4.9,-17.45,-5.35,7.012,1.200,0.006
2026-5-18 0:10:54:934,0.074,-0.036,-1.062,7.751,49.316,6.653,5.06,-18.2,-5.6,7.012,1.200,0.010
2026-5-18 0:10:54:954,0.069,-0.029,-1.025,15.015,50.171,6.287,5.34,-18.96,-5.84,7.012,1.400,0.010
2026-5-18 0:10:54:974,0.062,0.007,-1.025,13.306,47.18,4.944,5.66,-19.67,-6.06,7.008,1.300,0.010
2026-5-18 0:10:54:994,0.055,0.0,-1.009,5.92,41.077,3.296,5.83,-20.28,-6.25,7.008,1.300,0.006
2026-5-18 0:10:55:14,0.06,-0.033,-1.001,5.92,36.438,2.563,5.91,-20.78,-6.38,7.008,1.300,0.010
2026-5-18 0:10:55:34,0.057,-0.023,-0.979,12.39,31.128,1.892,6.09,-21.18,-6.5,7.004,1.000,0.010
2026-5-18 0:10:55:54,0.058,0.002,-0.963,9.949,26.428,0.549,6.28,-21.48,-6.58,7.008,1.400,0.010
2026-5-18 0:10:55:74,0.067,-0.001,-0.96,2.869,23.071,-0.732,6.32,-21.69,-6.61,7.008,1.300,0.006
2026-5-18 0:10:55:94,0.066,-0.033,-0.95,4.333,23.499,-1.648,6.31,-21.9,-6.61,7.008,1.000,0.006
2026-5-18 0:10:55:114,0.061,-0.014,-0.934,7.996,22.278,-2.563,6.37,-22.09,-6.61,7.012,1.200,0.006
2026-5-18 0:10:55:134,0.058,0.002,-0.93,5.371,19.043,-3.54,6.42,-22.24,-6.57,7.008,1.300,0.010
2026-5-18 0:10:55:154,0.061,-0.012,-0.929,0.549,16.479,-4.578,6.34,-22.32,-6.49,7.008,1.300,0.010
2026-5-18 0:10:55:174,0.05,-0.023,-0.917,3.235,12.146,-5.737,6.26,-22.34,-6.38,7.008,1.000,0.010
2026-5-18 0:10:55:194,0.047,-0.011,-0.915,3.662,5.249,-6.714,6.19,-22.25,-6.24,7.008,1.100,0.010
2026-5-18 0:10:55:214,0.053,-0.003,-0.914,0.244,-1.038,-7.751,6.06,-22.02,-6.05,7.008,1.300,0.010
2026-5-18 0:10:55:234,0.057,-0.018,-0.916,-0.916,-5.188,-8.423,5.87,-21.7,-5.82,7.008,1.100,0.010
2026-5-18 0:10:55:254,0.057,-0.01,-0.918,0.305,-8.24,-9.705,5.7,-21.32,-5.58,7.008,0.800,0.010
2026-5-18 0:10:55:274,0.06,-0.009,-0.915,-1.892,-11.108,-10.62,5.49,-20.89,-5.3,7.008,1.200,0.010
2026-5-18 0:10:55:294,0.065,-0.015,-0.925,-3.235,-12.39,-11.108,5.25,-20.43,-5.0,7.008,0.900,0.010
2026-5-18 0:10:55:314,0.064,-0.018,-0.933,-1.221,-13.733,-11.963,5.02,-19.95,-4.69,7.012,1.500,0.010
2026-5-18 0:10:55:334,0.055,-0.003,-0.941,-3.357,-16.968,-13.062,4.77,-19.43,-4.36,7.008,1.200,0.010
2026-5-18 0:10:55:354,0.057,-0.011,-0.947,-6.104,-22.217,-13.733,4.47,-18.83,-4.0,7.008,1.000,0.010
