time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-18 0:15:22:114,0.069,-0.027,-0.892,-7.385,-39.246,-27.344,-0.62,22.46,4.21,6.796,446.200,3.228
2026-5-18 0:15:22:134,0.068,-0.063,-0.901,-3.54,-32.288,-25.635,-0.53,22.88,4.79,6.824,418.200,3.050
2026-5-18 0:15:22:154,0.024,-0.043,-0.727,6.714,-27.954,-23.743,-0.27,23.19,5.33,6.876,308.400,2.110
2026-5-18 0:15:22:174,0.116,-0.025,-0.723,8.545,-24.719,-22.888,0.09,23.42,5.84,6.880,310.900,1.996
2026-5-18 0:15:22:194,0.063,0.033,-0.835,-0.488,-18.372,-22.217,0.31,23.54,6.34,6.900,182.700,1.698
2026-5-18 0:15:22:214,0.032,-0.07,-0.804,-4.761,-15.93,-20.813,0.38,23.58,6.82,6.924,195.700,1.400
2026-5-18 0:15:22:234,0.063,-0.04,-0.68,1.526,-12.512,-19.104,0.55,23.53,7.25,6.924,193.000,1.274
2026-5-18 0:15:22:254,0.103,-0.078,-0.837,-2.869,-11.475,-18.433,0.66,23.48,7.66,6.936,166.200,1.160
2026-5-18 0:15:22:274,0.045,-0.091,-0.925,14.16,-8.85,-16.174,0.91,23.37,8.05,6.952,165.200,1.160
2026-5-18 0:15:22:294,0.109,-0.096,-0.761,36.987,-5.371,-13.489,1.61,23.2,8.37,9.004,78.200,0.030
2026-5-18 0:15:22:314,0.067,0.043,-0.893,30.029,-1.221,-12.573,2.41,22.96,8.65,6.784,316.400,3.912
2026-5-18 0:15:22:334,0.12,0.105,-1.414,-29.785,6.653,-15.259,2.33,22.6,8.94,6.916,127.400,1.318
2026-5-18 0:15:22:354,0.096,-0.164,-1.918,-50.537,16.357,-14.404,1.41,22.04,9.24,7.004,33.100,0.046
2026-5-18 0:15:22:374,0.078,-0.186,-1.092,1.587,18.372,-9.521,1.1,21.4,9.46,7.004,1.000,0.062
2026-5-18 0:15:22:394,0.04,-0.064,-0.606,33.936,15.747,-6.958,1.66,20.8,9.61,7.008,1.500,0.010
2026-5-18 0:15:22:414,0.06,0.039,-0.888,26.245,15.015,-6.348,2.32,20.25,9.73,7.008,1.000,0.006
2026-5-18 0:15:22:434,0.103,0.081,-1.252,-16.174,18.555,-6.653,2.35,19.67,9.84,7.008,1.300,0.010
2026-5-18 0:15:22:454,0.072,-0.092,-0.919,-26.062,24.17,-5.981,1.8,18.98,9.94,7.008,1.200,0.010
2026-5-18 0:15:22:474,0.063,-0.146,-0.856,2.991,26.001,-3.723,1.62,18.24,10.01,7.008,1.400,0.010
2026-5-18 0:15:22:494,0.09,-0.018,-1.066,20.508,30.151,-1.587,1.97,17.46,10.02,7.008,1.000,0.010
2026-5-18 0:15:22:514,0.094,0.053,-0.983,-1.77,41.138,-1.16,2.11,16.52,10.0,7.008,0.900,0.010
