time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 23:14:15:264,0.072,-0.052,-0.721,5.615,11.475,6.287,4.7,20.09,15.36,6.936,185.800,1.304
2026-5-17 23:14:15:284,0.148,-0.034,-0.848,-12.878,15.869,6.958,4.48,19.57,15.17,7.468,-80.100,0.176
2026-5-17 23:14:15:304,0.009,-0.026,-0.916,-33.752,23.926,7.629,3.81,18.92,14.96,9.852,6.200,0.478
2026-5-17 23:14:15:324,0.119,-0.071,-0.75,-26.245,32.715,10.193,3.13,18.13,14.7,9.212,-3.600,0.032
2026-5-17 23:14:15:344,-0.027,0.004,-1.115,-28.381,37.903,11.536,2.49,17.2,14.41,5.796,2875.000,15.906
2026-5-17 23:14:15:364,0.129,-0.105,-0.958,-14.099,41.077,14.465,1.95,16.22,14.08,5.920,2336.400,14.916
2026-5-17 23:14:15:384,0.098,-0.107,-1.706,17.395,39.368,18.555,1.98,15.24,13.68,6.896,243.500,2.284
2026-5-17 23:14:15:404,0.146,0.047,-2.121,20.508,36.56,21.362,2.34,14.33,13.21,6.968,67.500,1.554
2026-5-17 23:14:15:424,0.088,0.024,-0.998,-16.479,35.278,21.301,2.17,13.49,12.72,7.000,41.900,0.318
2026-5-17 23:14:15:444,0.058,-0.013,-0.699,-33.447,38.33,21.973,1.49,12.61,12.23,7.004,38.100,0.272
2026-5-17 23:14:15:464,0.075,-0.082,-0.878,-24.719,40.588,23.926,0.81,11.69,11.72,6.980,96.900,0.692
2026-5-17 23:14:15:484,0.11,-0.092,-1.203,5.432,46.509,26.855,0.62,10.7,11.16,6.980,92.300,0.678
2026-5-17 23:14:15:504,0.103,0.036,-1.109,10.864,58.105,28.992,0.8,9.51,10.55,6.992,64.600,0.458
2026-5-17 23:14:15:524,0.071,0.05,-0.958,-12.695,65.796,29.236,0.66,8.16,9.91,6.992,64.400,0.466
2026-5-17 23:14:15:544,0.069,-0.038,-1.104,-22.339,64.27,30.273,0.19,6.78,9.27,6.992,64.600,0.456
2026-5-17 23:14:15:564,0.076,-0.084,-1.183,-2.686,61.279,32.715,-0.07,5.48,8.59,6.992,65.400,0.448
2026-5-17 23:14:15:584,0.068,0.0,-1.087,4.944,58.96,34.485,0.01,4.24,7.88,6.992,59.600,0.420
2026-5-17 23:14:15:604,0.065,0.024,-1.146,-7.019,54.382,34.851,-0.02,3.1,7.15,6.184,1857.100,11.866
2026-5-17 23:14:15:624,0.084,-0.025,-1.137,-14.465,53.345,35.583,-0.26,2.03,6.42,6.336,1590.300,10.640
2026-5-17 23:14:15:644,0.125,-0.042,-1.374,-6.287,60.974,36.865,-0.43,0.87,5.67,6.524,1088.500,8.408
2026-5-17 23:14:15:664,0.156,-0.05,-1.647,4.089,68.115,38.452,-0.37,-0.44,4.88,6.516,1009.100,6.950
2026-5-17 23:14:15:684,-0.033,-0.081,-1.655,4.883,70.435,40.283,-0.2,-1.79,4.06,6.636,836.200,5.030
2026-5-17 23:14:15:704,0.036,0.037,-0.988,-0.549,73.914,40.527,-0.01,-3.19,3.2,6.724,632.600,4.128
2026-5-17 23:14:15:724,0.033,-0.069,-1.221,-7.751,72.876,40.1,-0.02,-4.6,2.35,6.744,651.400,4.400
2026-5-17 23:14:15:744,0.083,-0.048,-1.422,10.986,63.477,43.03,0.19,-5.84,1.47,6.788,627.500,4.218
2026-5-17 23:14:15:764,0.121,-0.005,-1.154,13.245,59.814,44.128,0.63,-6.92,0.53,6.796,571.700,3.844
2026-5-17 23:14:15:784,0.092,0.037,-0.912,-0.183,63.477,43.457,0.9,-8.03,-0.41,6.828,461.700,2.910
2026-5-17 23:14:15:804,0.058,0.004,-1.079,-7.263,64.148,43.335,0.97,-9.15,-1.34,6.844,494.600,3.202
2026-5-17 23:14:15:824,0.106,-0.017,-1.192,9.094,67.139,44.861,1.25,-10.28,-2.31,6.844,453.700,2.788
2026-5-17 23:14:15:844,0.081,-0.002,-1.09,11.23,75.623,44.861,1.72,-11.54,-3.31,6.848,378.300,2.772
2026-5-17 23:14:15:864,0.046,-0.005,-0.905,11.78,74.158,44.434,2.21,-12.84,-4.33,6.876,361.500,2.098
2026-5-17 23:14:15:884,0.075,0.064,-0.989,4.028,67.322,43.64,2.65,-13.99,-5.34,8.904,-48.200,0.384
2026-5-17 23:14:15:904,0.137,-0.013,-1.062,-8.789,63.782,42.236,2.8,-15.05,-6.33,10.180,-1.600,0.026
2026-5-17 23:14:15:924,0.058,-0.101,-0.937,2.38,58.35,41.748,3.0,-16.01,-7.3,9.320,-3.500,0.032
2026-5-17 23:14:15:944,0.031,-0.046,-0.913,14.709,49.316,41.931,3.53,-16.79,-8.27,5.960,2051.400,14.090
2026-5-17 23:14:15:964,0.089,-0.01,-1.189,12.573,46.631,41.016,4.12,-17.43,-9.23,6.420,732.800,10.588
2026-5-17 23:14:15:984,0.106,-0.062,-0.987,2.075,51.392,38.94,4.53,-18.13,-10.17,6.944,173.000,1.364
2026-5-17 23:14:16:4,0.054,-0.058,-0.843,2.563,52.185,37.354,4.84,-18.88,-11.09,6.956,139.400,1.222
2026-5-17 23:14:16:24,0.082,-0.02,-1.148,14.16,48.889,37.048,5.37,-19.55,-12.0,7.000,42.500,0.394
2026-5-17 23:14:16:44,0.083,-0.004,-1.014,12.085,51.453,35.583,5.94,-20.21,-12.89,7.020,1.500,0.014
2026-5-17 23:14:16:64,0.047,-0.012,-0.935,6.409,49.683,33.264,6.39,-20.89,-13.75,7.020,1.100,0.006
2026-5-17 23:14:16:84,0.044,-0.057,-1.092,7.874,37.781,31.982,6.78,-21.39,-14.56,6.240,1644.800,10.634
2026-5-17 23:14:16:104,0.06,-0.019,-0.986,13.367,28.992,31.25,7.28,-21.66,-15.31,6.416,1440.400,8.986
2026-5-17 23:14:16:124,0.056,-0.003,-0.851,7.568,27.1,28.87,7.71,-21.85,-16.03,6.660,817.700,5.980
2026-5-17 23:14:16:144,0.045,-0.039,-0.875,5.981,22.644,26.611,8.01,-21.98,-16.67,6.688,685.800,5.706
2026-5-17 23:14:16:164,0.062,-0.024,-0.891,9.705,17.395,25.574,8.37,-21.99,-17.27,6.800,536.300,3.788
2026-5-17 23:14:16:184,0.05,0.022,-0.835,6.958,19.897,23.743,8.69,-22.01,-17.84,6.848,374.400,2.586
