time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-18 0:8:37:544,0.09,-0.043,-1.127,14.16,61.157,-0.122,3.46,-13.58,-10.43,7.008,1.200,0.006
2026-5-18 0:8:37:564,0.073,-0.02,-1.114,15.442,62.744,-1.16,3.75,-14.66,-10.52,6.368,1535.900,9.720
2026-5-18 0:8:37:584,0.057,-0.025,-1.086,12.573,57.312,-2.136,3.99,-15.66,-10.6,6.684,742.100,5.524
2026-5-18 0:8:37:604,0.081,-0.042,-0.907,14.465,53.955,-3.113,4.23,-16.56,-10.65,6.680,712.600,4.820
2026-5-18 0:8:37:624,0.042,-0.004,-1.067,14.709,54.138,-4.089,4.48,-17.44,-10.68,6.788,501.100,3.454
2026-5-18 0:8:37:644,0.159,-0.062,-0.867,15.442,48.706,-4.883,4.72,-18.24,-10.69,6.856,345.500,2.274
2026-5-18 0:8:37:664,0.05,-0.05,-0.846,15.137,41.992,-5.371,4.95,-18.89,-10.67,6.856,319.400,2.416
2026-5-18 0:8:37:684,0.117,-0.046,-0.87,15.625,41.687,-6.47,5.17,-19.5,-10.62,6.900,237.400,1.744
2026-5-18 0:8:37:704,0.079,-0.015,-0.96,14.465,43.396,-7.08,5.41,-20.13,-10.57,6.916,251.700,1.608
2026-5-18 0:8:37:724,0.03,-0.043,-0.785,10.437,37.903,-7.446,5.55,-20.71,-10.5,6.924,192.800,1.334
2026-5-18 0:8:37:744,-0.002,0.028,-0.813,0.671,34.18,-8.545,5.53,-21.17,-10.4,6.928,165.300,1.248
2026-5-18 0:8:37:764,0.054,-0.096,-0.957,-0.549,33.02,-9.094,5.41,-21.6,-10.27,6.980,55.100,1.048
2026-5-18 0:8:37:784,0.026,-0.012,-0.896,1.77,30.701,-9.094,5.29,-22.01,-10.13,7.324,-31.400,0.082
2026-5-18 0:8:37:804,-0.051,0.057,-0.806,-5.615,22.522,-9.766,5.14,-22.26,-9.97,6.564,986.900,7.628
2026-5-18 0:8:37:824,0.083,-0.008,-0.981,-16.052,17.334,-11.23,4.77,-22.39,-9.76,6.592,1218.700,6.482
2026-5-18 0:8:37:844,0.089,-0.062,-1.495,-10.498,17.212,-11.353,4.3,-22.48,-9.53,7.004,4.400,0.144
2026-5-18 0:8:37:864,0.125,-0.133,-2.002,20.569,5.188,-9.338,4.32,-22.43,-9.3,6.992,7.300,0.190
2026-5-18 0:8:37:884,0.083,0.014,-0.98,21.301,2.136,-10.01,4.66,-22.23,-9.07,7.008,1.300,0.010
2026-5-18 0:8:37:904,0.051,0.009,-0.494,6.714,7.202,-11.169,4.74,-22.09,-8.82,7.008,1.300,0.006
2026-5-18 0:8:37:924,0.067,0.001,-0.882,-5.371,10.193,-12.329,4.54,-22.03,-8.56,7.008,1.400,0.010
2026-5-18 0:8:37:944,0.066,-0.03,-1.268,-13.489,6.042,-12.817,4.13,-21.97,-8.28,7.008,1.300,0.006
2026-5-18 0:8:37:964,0.05,-0.07,-0.869,-2.38,-3.113,-12.207,3.79,-21.73,-7.98,7.012,1.200,0.010
2026-5-18 0:8:37:984,0.053,-0.041,-0.778,9.155,-5.371,-11.292,3.74,-21.4,-7.7,7.008,1.000,0.006
2026-5-18 0:8:38:4,0.056,0.011,-1.063,3.113,-10.01,-11.963,3.7,-21.01,-7.4,7.008,1.200,0.010
2026-5-18 0:8:38:24,0.042,-0.003,-0.901,-9.155,-21.362,-12.756,3.43,-20.43,-7.09,7.012,0.800,0.010
2026-5-18 0:8:38:44,0.06,-0.054,-0.901,-7.751,-28.259,-12.695,3.05,-19.68,-6.74,7.012,1.000,0.006
2026-5-18 0:8:38:64,0.081,-0.046,-1.03,3.296,-26.184,-11.719,2.88,-18.92,-6.42,7.008,1.300,0.010
2026-5-18 0:8:38:84,0.059,0.0,-0.877,0.0,-25.085,-12.024,2.78,-18.22,-6.11,7.004,1.200,0.006
2026-5-18 0:8:38:104,0.064,-0.016,-0.984,-9.705,-28.137,-12.573,2.49,-17.48,-5.79,7.012,1.300,0.010
2026-5-18 0:8:38:124,0.083,-0.05,-1.035,-6.592,-28.32,-12.207,2.17,-16.72,-5.47,7.008,1.300,0.006
2026-5-18 0:8:38:144,0.064,-0.033,-0.931,0.0,-27.161,-11.597,2.0,-16.0,-5.17,7.008,1.300,0.010
2026-5-18 0:8:38:164,0.048,-0.011,-1.022,-2.808,-34.18,-11.597,1.86,-15.21,-4.88,7.008,1.000,0.010
2026-5-18 0:8:38:184,0.055,-0.021,-1.033,-7.385,-45.227,-11.536,1.61,-14.22,-4.58,7.008,1.500,0.010
2026-5-18 0:8:38:204,0.07,-0.04,-1.017,-6.897,-48.523,-11.23,1.35,-13.11,-4.28,7.008,1.100,0.006
2026-5-18 0:8:38:224,0.066,-0.034,-1.052,-3.479,-50.354,-10.864,1.16,-11.98,-4.0,7.008,1.300,0.010
2026-5-18 0:8:38:244,0.068,-0.02,-1.054,-4.333,-55.542,-10.62,1.0,-10.77,-3.72,7.008,1.200,0.006
2026-5-18 0:8:38:264,0.093,-0.021,-1.078,-7.019,-54.932,-10.193,0.8,-9.54,-3.45,7.008,1.100,0.010
2026-5-18 0:8:38:284,0.09,-0.034,-1.09,-7.202,-48.889,-9.888,0.58,-8.42,-3.2,7.008,1.000,0.010
2026-5-18 0:8:38:304,0.07,-0.034,-1.089,-4.7,-49.316,-9.46,0.41,-7.37,-2.97,7.008,1.400,0.010
2026-5-18 0:8:38:324,0.071,-0.026,-1.104,-3.845,-54.932,-9.094,0.28,-6.23,-2.74,7.000,1.300,0.010
2026-5-18 0:8:38:344,0.076,-0.02,-1.134,-6.226,-56.641,-8.362,0.13,-5.04,-2.53,7.008,1.400,0.006
2026-5-18 0:8:38:364,0.063,-0.031,-1.131,-7.446,-60.12,-8.179,-0.05,-3.83,-2.32,7.008,0.900,0.010
2026-5-18 0:8:38:384,0.065,-0.038,-1.129,-5.249,-68.604,-7.629,-0.2,-2.48,-2.13,6.996,22.300,0.158
2026-5-18 0:8:38:404,0.095,-0.021,-1.155,-4.395,-70.557,-6.714,-0.31,-1.05,-1.96,6.996,22.200,0.158
2026-5-18 0:8:38:424,0.095,-0.024,-1.162,-6.897,-65.43,-6.47,-0.43,0.3,-1.8,6.996,24.300,0.170
2026-5-18 0:8:38:444,0.081,-0.034,-1.159,-6.653,-63.904,-6.042,-0.58,1.56,-1.65,6.996,22.200,0.174
2026-5-18 0:8:38:464,0.089,-0.032,-1.155,-3.967,-63.477,-5.188,-0.68,2.81,-1.51,6.996,22.300,0.154
2026-5-18 0:8:38:484,0.094,-0.022,-1.168,-4.944,-58.655,-4.578,-0.77,3.97,-1.4,6.996,25.900,0.168
2026-5-18 0:8:38:504,0.07,-0.028,-1.167,-6.226,-59.937,-4.333,-0.88,5.08,-1.29,6.996,25.100,0.184
2026-5-18 0:8:38:524,0.071,-0.033,-1.157,-5.127,-67.017,-3.54,-0.98,6.3,-1.2,6.996,22.300,0.174
2026-5-18 0:8:38:544,0.087,-0.025,-1.161,-4.639,-68.665,-2.319,-1.07,7.59,-1.13,6.996,22.100,0.158
2026-5-18 0:8:38:564,0.083,-0.026,-1.163,-5.676,-67.871,-2.075,-1.16,8.85,-1.07,6.328,1621.300,10.634
2026-5-18 0:8:38:584,0.089,-0.038,-1.191,-5.005,-69.092,-1.526,-1.25,10.11,-1.02,6.540,1019.100,7.242
2026-5-18 0:8:38:604,0.117,-0.015,-1.647,-6.47,-64.331,-0.854,-1.36,11.32,-0.99,6.540,934.000,7.130
2026-5-18 0:8:38:624,0.233,0.039,-1.556,-6.287,-53.589,-0.122,-1.5,12.33,-0.97,6.708,658.700,5.162
2026-5-18 0:8:38:644,0.126,-0.13,-1.049,7.385,-55.725,1.404,-1.51,13.27,-0.98,6.696,681.200,4.938
2026-5-18 0:8:38:664,0.079,0.006,-0.842,13.062,-56.763,2.563,-1.24,14.24,-1.02,6.732,603.300,4.050
2026-5-18 0:8:38:684,0.101,-0.063,-1.292,3.723,-58.411,2.502,-1.08,15.21,-1.06,6.780,590.900,4.028
2026-5-18 0:8:38:704,0.055,-0.019,-1.375,-14.893,-60.669,2.197,-1.2,16.19,-1.09,6.796,485.000,2.854
2026-5-18 0:8:38:724,0.06,-0.053,-0.85,-17.212,-61.584,2.808,-1.57,17.22,-1.13,6.824,395.200,2.874
2026-5-18 0:8:38:744,0.053,-0.044,-0.879,0.0,-57.007,4.211,-1.72,18.2,-1.2,6.828,462.400,3.086
2026-5-18 0:8:38:764,0.12,-0.023,-1.067,17.029,-52.49,5.005,-1.48,19.08,-1.29,6.844,356.700,2.516
2026-5-18 0:8:38:784,0.09,0.039,-1.032,4.089,-45.898,4.395,-1.27,19.82,-1.38,6.840,406.100,2.494
2026-5-18 0:8:38:804,0.045,-0.014,-0.813,-10.559,-39.978,2.991,-1.4,20.43,-1.44,6.868,329.600,2.188
2026-5-18 0:8:38:824,0.064,0.01,-0.876,-20.447,-34.973,2.625,-1.74,20.92,-1.49,6.864,318.400,2.252
2026-5-18 0:8:38:844,0.075,-0.045,-1.0,-13.977,-35.767,2.441,-2.08,21.38,-1.53,9.836,-3.200,0.030
2026-5-18 0:8:38:864,0.092,-0.056,-0.756,2.136,-37.598,3.54,-2.13,21.86,-1.6,6.904,246.000,2.724
2026-5-18 0:8:38:884,0.062,-0.031,-0.785,2.38,-36.621,2.991,-2.05,22.33,-1.66,7.004,30.200,0.220
2026-5-18 0:8:38:904,0.073,0.009,-0.901,-5.676,-34.79,2.747,-2.1,22.76,-1.71,6.996,35.800,0.230
2026-5-18 0:8:38:924,0.076,-0.042,-0.989,-8.484,-32.288,2.319,-2.25,23.15,-1.76,7.008,9.600,0.072
2026-5-18 0:8:38:944,0.089,-0.057,-0.892,-4.822,-24.658,2.197,-2.36,23.42,-1.8,7.004,20.000,0.134
2026-5-18 0:8:38:964,0.084,-0.047,-0.955,0.244,-15.991,2.136,-2.37,23.52,-1.84,7.000,16.300,0.118
2026-5-18 0:8:38:984,0.08,-0.022,-0.929,2.075,-11.047,1.892,-2.31,23.48,-1.87,7.012,1.200,0.010
2026-5-18 0:8:39:4,0.075,-0.017,-0.873,-2.502,-6.47,1.526,-2.31,23.36,-1.9,7.008,1.300,0.006
2026-5-18 0:8:39:24,0.075,-0.033,-0.949,-4.333,-2.93,1.099,-2.37,23.15,-1.92,7.012,1.200,0.006
2026-5-18 0:8:39:44,0.063,-0.053,-0.925,1.099,-2.441,1.404,-2.37,22.92,-1.93,7.012,1.300,0.010
2026-5-18 0:8:39:64,0.062,-0.024,-0.876,4.211,-3.662,1.343,-2.26,22.71,-1.96,7.012,1.300,0.006
2026-5-18 0:8:39:84,0.076,-0.011,-0.943,-1.587,-1.038,0.854,-2.22,22.48,-1.97,7.008,1.000,0.010
2026-5-18 0:8:39:104,0.082,-0.045,-0.922,-2.38,3.845,0.549,-2.26,22.17,-1.97,7.008,1.100,0.010
2026-5-18 0:8:39:124,0.076,-0.043,-0.907,4.028,8.911,0.793,-2.2,21.76,-1.97,7.008,1.400,0.006
2026-5-18 0:8:39:144,0.086,-0.018,-0.935,4.089,15.808,0.366,-2.07,21.23,-1.97,7.008,0.900,0.010
2026-5-18 0:8:39:164,0.084,-0.022,-0.926,0.244,23.804,-0.061,-2.02,20.56,-1.97,7.008,1.300,0.010
2026-5-18 0:8:39:184,0.077,-0.043,-0.953,1.831,29.602,0.0,-1.97,19.75,-1.96,7.008,1.300,0.010
2026-5-18 0:8:39:204,0.069,-0.031,-0.947,5.127,30.518,-0.183,-1.86,18.91,-1.94,7.008,1.300,0.010
2026-5-18 0:8:39:224,0.069,-0.024,-0.957,4.333,31.372,-0.427,-1.74,18.06,-1.93,7.008,1.200,0.010
2026-5-18 0:8:39:244,0.071,-0.026,-0.988,2.38,32.288,-0.671,-1.65,17.21,-1.91,7.008,1.400,0.010
2026-5-18 0:8:39:264,0.07,-0.036,-0.986,3.479,32.593,-0.732,-1.57,16.35,-1.9,7.012,1.300,0.010
2026-5-18 0:8:39:284,0.084,-0.033,-1.003,4.7,34.546,-1.038,-1.46,15.49,-1.88,7.004,1.300,0.006
2026-5-18 0:8:39:304,0.088,-0.027,-1.018,5.371,40.649,-1.16,-1.33,14.54,-1.86,7.004,1.200,0.010
2026-5-18 0:8:39:324,0.088,-0.027,-1.035,4.639,47.546,-1.282,-1.21,13.46,-1.83,7.008,1.300,0.010
2026-5-18 0:8:39:344,0.085,-0.03,-1.052,4.15,52.49,-1.587,-1.11,12.29,-1.82,7.008,0.900,0.010
2026-5-18 0:8:39:364,0.082,-0.037,-1.06,6.042,57.068,-1.77,-0.99,11.04,-1.8,7.012,1.300,0.010
2026-5-18 0:8:39:384,0.074,-0.031,-1.077,7.202,58.96,-1.77,-0.84,9.74,-1.77,7.008,1.500,0.006
2026-5-18 0:8:39:404,0.066,-0.018,-1.095,5.493,57.434,-2.075,-0.71,8.46,-1.76,7.008,1.200,0.010
2026-5-18 0:8:39:424,0.075,-0.036,-1.106,4.211,55.969,-2.197,-0.61,7.24,-1.74,7.008,1.300,0.010
2026-5-18 0:8:39:444,0.083,-0.036,-1.116,7.202,56.213,-2.075,-0.48,6.05,-1.72,7.008,1.300,0.006
2026-5-18 0:8:39:464,0.083,-0.022,-1.126,7.385,58.105,-2.197,-0.32,4.83,-1.71,7.008,1.400,0.010
2026-5-18 0:8:39:484,0.092,-0.028,-1.141,4.639,61.401,-2.441,-0.21,3.59,-1.69,7.004,1.300,0.006
2026-5-18 0:8:39:504,0.093,-0.037,-1.151,6.409,67.2,-2.625,-0.11,2.26,-1.68,7.004,1.000,0.006
2026-5-18 0:8:39:524,0.083,-0.03,-1.156,8.423,71.289,-2.441,0.04,0.83,-1.68,7.008,1.200,0.006
2026-5-18 0:8:39:544,0.079,-0.021,-1.167,5.859,71.35,-2.625,0.18,-0.59,-1.67,7.008,1.000,0.006
2026-5-18 0:8:39:564,0.076,-0.033,-1.169,5.554,70.312,-2.747,0.28,-1.99,-1.66,7.008,1.200,0.010
2026-5-18 0:8:39:584,0.073,-0.033,-1.173,7.263,67.81,-2.563,0.41,-3.34,-1.66,6.144,1743.300,12.082
2026-5-18 0:8:39:604,0.073,-0.023,-1.169,6.47,64.026,-2.502,0.54,-4.6,-1.66,6.600,1009.200,6.114
2026-5-18 0:8:39:624,0.087,-0.031,-1.038,5.554,63.416,-2.625,0.64,-5.8,-1.66,6.612,866.200,5.760
2026-5-18 0:8:39:644,0.076,-0.064,-1.135,7.629,65.247,-2.502,0.76,-7.0,-1.66,6.756,568.200,4.010
2026-5-18 0:8:39:664,0.118,-0.009,-1.126,12.756,68.237,-2.075,0.98,-8.26,-1.69,6.796,508.500,3.566
2026-5-18 0:8:39:684,-0.029,0.104,-0.981,6.47,71.899,-2.014,1.15,-9.53,-1.71,6.860,355.600,2.442
2026-5-18 0:8:39:704,0.072,-0.04,-0.945,6.042,70.801,-2.258,1.24,-10.81,-1.73,6.892,204.700,1.808
2026-5-18 0:8:39:724,0.092,-0.1,-1.081,13.306,68.054,-1.221,1.42,-12.06,-1.77,6.900,228.500,1.684
2026-5-18 0:8:39:744,0.082,0.041,-0.879,16.968,63.843,-0.61,1.72,-13.19,-1.83,6.920,197.100,1.422
2026-5-18 0:8:39:764,-0.083,0.008,-1.029,6.592,58.472,-0.793,2.0,-14.23,-1.9,6.928,189.200,1.390
2026-5-18 0:8:39:784,0.068,0.039,-1.02,-5.859,57.617,-1.038,1.99,-15.19,-1.94,6.952,128.900,1.138
2026-5-18 0:8:39:804,0.005,-0.1,-1.083,-11.902,52.368,-0.854,1.8,-16.07,-1.99,6.952,139.200,1.110
2026-5-18 0:8:39:824,0.057,-0.084,-0.917,-1.587,48.645,0.0,1.7,-16.88,-2.04,9.664,-3.200,0.036
2026-5-18 0:8:39:844,0.144,-0.026,-0.932,-6.348,51.147,-0.122,1.61,-17.69,-2.1,6.480,1424.100,4.712
2026-5-18 0:8:39:864,0.047,0.007,-1.251,-18.311,52.612,-0.183,1.32,-18.51,-2.15,6.656,880.300,5.236
2026-5-18 0:8:39:884,0.106,-0.134,-1.917,-2.808,47.729,0.916,1.12,-19.29,-2.21,7.008,14.700,0.004
2026-5-18 0:8:39:904,0.108,-0.042,-1.811,23.56,40.588,3.296,1.43,-19.9,-2.31,7.008,0.700,0.102
2026-5-18 0:8:39:924,0.053,0.008,-0.727,17.639,38.94,3.357,1.88,-20.43,-2.42,7.012,1.200,0.010
