time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 23:5:32:464,-0.045,-0.096,-0.888,18.127,32.288,21.729,0.46,-25.02,8.45,9.532,-3.300,0.030
2026-5-17 23:5:32:484,0.025,0.03,-0.75,10.315,21.301,21.973,1.02,-25.22,7.93,9.320,-3.700,0.032
2026-5-17 23:5:32:504,0.026,-0.008,-1.043,-14.038,4.272,21.667,1.14,-25.12,7.43,6.024,2647.400,16.332
2026-5-17 23:5:32:524,0.016,-0.079,-1.059,-17.517,-8.301,22.339,0.99,-24.73,6.94,6.008,2515.400,15.680
2026-5-17 23:5:32:544,0.085,-0.061,-1.853,-1.892,-12.573,23.682,1.07,-24.18,6.43,6.736,709.900,5.368
2026-5-17 23:5:32:564,0.138,-0.019,-2.044,13.672,-11.658,26.733,1.52,-23.6,5.88,7.028,22.400,0.230
2026-5-17 23:5:32:584,0.085,0.044,-0.888,3.54,-1.648,26.306,1.96,-23.19,5.3,7.032,13.600,0.140
2026-5-17 23:5:32:604,0.049,-0.005,-0.502,-6.104,5.676,26.245,2.12,-22.95,4.72,7.000,93.500,0.774
2026-5-17 23:5:32:624,0.042,-0.043,-0.623,-9.277,6.836,26.672,2.17,-22.79,4.14,7.000,94.000,0.666
2026-5-17 23:5:32:644,0.046,-0.043,-1.035,-3.845,1.221,28.198,2.31,-22.56,3.53,7.012,69.300,0.514
2026-5-17 23:5:32:664,0.038,-0.017,-1.068,1.648,-12.146,28.992,2.57,-22.12,2.91,7.016,68.000,0.462
2026-5-17 23:5:32:684,0.028,-0.001,-0.764,-1.77,-23.621,28.809,2.81,-21.42,2.31,7.012,68.500,0.492
2026-5-17 23:5:32:704,0.034,-0.013,-0.843,-6.47,-34.119,29.297,2.92,-20.52,1.74,7.008,64.300,0.492
2026-5-17 23:5:32:724,0.059,-0.029,-1.111,-5.127,-42.847,30.334,3.0,-19.43,1.16,7.008,68.700,0.448
2026-5-17 23:5:32:744,0.071,-0.01,-0.936,-4.211,-44.128,29.968,3.12,-18.26,0.59,7.008,68.700,0.446
2026-5-17 23:5:32:764,0.073,-0.016,-0.898,-6.226,-39.856,29.724,3.18,-17.17,0.03,7.012,65.800,0.478
2026-5-17 23:5:32:784,0.081,-0.02,-1.063,-5.31,-35.339,30.334,3.22,-16.18,-0.53,6.372,1811.900,12.194
