time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 22:50:56:224,0.053,-0.009,-0.924,-6.104,22.888,14.282,6.18,-23.99,3.88,6.612,909.400,7.684
2026-5-17 22:50:56:244,0.048,-0.022,-0.884,5.066,19.226,15.32,6.28,-24.08,3.53,6.652,913.200,5.840
2026-5-17 22:50:56:264,0.034,-0.006,-0.808,8.24,14.221,15.869,6.53,-24.07,3.18,6.768,606.300,4.290
2026-5-17 22:50:56:284,0.036,0.027,-0.83,3.357,8.606,16.235,6.75,-23.95,2.83,6.824,533.000,3.972
2026-5-17 22:50:56:304,0.072,0.022,-0.848,-4.517,2.991,15.808,6.77,-23.73,2.5,6.860,434.900,2.848
2026-5-17 22:50:56:324,0.047,0.013,-0.758,-11.047,-1.404,15.686,6.65,-23.41,2.2,6.848,409.700,2.720
2026-5-17 22:50:56:344,0.041,-0.03,-0.776,-7.446,-6.042,15.869,6.51,-23.01,1.91,6.892,339.500,2.366
2026-5-17 22:50:56:364,0.034,-0.015,-0.846,-1.77,-10.681,16.479,6.5,-22.52,1.6,6.896,338.900,2.264
2026-5-17 22:50:56:384,-0.006,-0.012,-0.843,-5.31,-13.489,16.357,6.48,-21.97,1.31,6.908,311.700,2.182
2026-5-17 22:50:56:404,0.013,0.017,-0.744,-10.498,-15.747,15.808,6.36,-21.37,1.03,6.924,223.900,1.986
2026-5-17 22:50:56:424,0.028,-0.011,-0.853,-8.911,-17.578,15.442,6.2,-20.74,0.77,6.924,278.500,1.868
2026-5-17 22:50:56:444,0.035,-0.001,-0.835,4.028,-21.606,16.418,6.23,-20.04,0.51,6.948,129.700,1.760
2026-5-17 22:50:56:464,0.021,-0.014,-0.763,14.038,-26.489,16.663,6.49,-19.27,0.24,7.156,-22.900,0.118
2026-5-17 22:50:56:484,-0.018,-0.007,-0.852,8.301,-30.212,15.808,6.76,-18.43,0.0,6.616,559.400,7.626
2026-5-17 22:50:56:504,-0.021,-0.007,-1.157,-7.874,-32.715,14.709,6.73,-17.55,-0.21,7.056,30.200,0.016
2026-5-17 22:50:56:524,0.07,0.025,-1.575,-16.663,-38.33,14.221,6.45,-16.59,-0.4,7.052,2.400,0.032
2026-5-17 22:50:56:544,0.104,-0.019,-1.784,-19.592,-44.678,13.55,6.04,-15.52,-0.56,7.048,2.800,0.268
2026-5-17 22:50:56:564,0.061,-0.014,-0.989,-15.747,-44.189,13.55,5.67,-14.43,-0.73,7.068,2.500,0.010
2026-5-17 22:50:56:584,0.051,-0.014,-0.688,-15.686,-43.091,13.733,5.34,-13.36,-0.9,7.064,1.400,0.010
2026-5-17 22:50:56:604,0.073,-0.017,-1.065,-12.451,-42.725,13.855,5.05,-12.32,-1.09,7.064,0.900,0.010
2026-5-17 22:50:56:624,0.081,0.001,-1.385,-10.437,-44.25,13.306,4.83,-11.28,-1.27,7.068,1.000,0.006
2026-5-17 22:50:56:644,0.058,0.037,-1.011,-19.958,-47.913,12.573,4.52,-10.21,-1.44,7.064,1.300,0.010
2026-5-17 22:50:56:664,0.048,-0.028,-0.958,-27.893,-52.246,11.963,3.97,-9.06,-1.6,7.064,1.300,0.006
2026-5-17 22:50:56:684,0.064,-0.04,-1.229,-16.418,-58.655,12.268,3.54,-7.82,-1.76,7.064,1.000,0.010
2026-5-17 22:50:56:704,0.067,0.023,-1.15,-13.977,-63.232,11.902,3.27,-6.48,-1.92,7.064,1.000,0.006
2026-5-17 22:50:56:724,0.069,0.021,-1.055,-28.442,-64.087,10.986,2.8,-5.12,-2.08,7.064,1.200,0.010
2026-5-17 22:50:56:744,0.081,-0.044,-1.208,-25.818,-63.354,10.681,2.21,-3.77,-2.22,7.064,1.000,0.010
2026-5-17 22:50:56:764,0.079,-0.015,-1.132,-18.494,-61.157,10.376,1.81,-2.48,-2.38,6.248,1455.500,9.418
2026-5-17 22:50:56:784,0.093,0.031,-1.339,-25.696,-57.922,9.521,1.37,-1.27,-2.54,6.580,1030.300,6.974
2026-5-17 22:50:56:804,0.1,-0.003,-1.783,-33.02,-58.716,8.606,0.72,-0.1,-2.7,6.580,918.600,6.950
2026-5-17 22:50:56:824,0.053,-0.111,-1.609,-26.733,-63.354,7.751,0.1,1.1,-2.84,6.728,755.600,4.896
2026-5-17 22:50:56:844,0.047,-0.015,-0.953,-19.287,-66.65,7.69,-0.31,2.38,-3.0,6.696,711.300,4.620
2026-5-17 22:50:56:864,0.048,0.044,-1.139,-28.748,-68.97,6.653,-0.79,3.71,-3.15,6.760,647.200,4.318
2026-5-17 22:50:56:884,0.076,0.017,-1.459,-45.044,-71.289,4.395,-1.54,5.07,-3.28,6.740,668.700,4.264
2026-5-17 22:50:56:904,0.083,-0.006,-1.137,-50.11,-69.031,3.235,-2.5,6.39,-3.4,6.764,590.000,3.948
2026-5-17 22:50:56:924,0.087,-0.09,-1.014,-38.757,-67.505,2.747,-3.38,7.66,-3.52,6.800,512.700,3.702
2026-5-17 22:50:56:944,0.125,-0.049,-1.167,-5.676,-67.2,3.357,-3.72,8.9,-3.65,6.800,566.400,3.676
2026-5-17 22:50:56:964,0.09,0.07,-1.189,-13.55,-63.354,1.587,-3.82,10.09,-3.77,6.804,489.800,3.424
2026-5-17 22:50:56:984,0.084,0.022,-1.103,-36.377,-61.584,-0.488,-4.37,11.19,-3.85,6.816,500.900,2.842
2026-5-17 22:50:57:4,0.029,-0.078,-1.021,-31.982,-64.148,-1.282,-5.04,12.29,-3.92,6.812,486.700,2.032
2026-5-17 22:50:57:24,0.044,-0.074,-1.122,-14.587,-66.65,-1.343,-5.38,13.46,-3.99,6.816,481.200,3.218
2026-5-17 22:50:57:44,0.042,-0.008,-1.186,-8.423,-66.223,-2.136,-5.5,14.61,-4.06,8.352,-17.900,0.212
2026-5-17 22:50:57:64,0.057,0.012,-1.072,-18.738,-65.186,-3.235,-5.72,15.74,-4.11,8.616,-33.100,0.000
2026-5-17 22:50:57:84,0.076,0.02,-0.904,-32.349,-62.866,-5.066,-6.2,16.83,-4.14,6.772,609.900,3.392
2026-5-17 22:50:57:104,0.087,-0.052,-0.981,-34.119,-57.922,-5.981,-6.82,17.83,-4.13,7.104,-2.600,2.952
