time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 23:3:11:834,0.042,-0.091,-0.98,-13.733,-37.231,22.705,-3.47,20.77,-12.42,6.872,387.600,2.752
2026-5-17 23:3:11:854,0.134,-0.112,-1.048,6.042,-23.315,23.071,-3.67,21.06,-12.91,6.880,380.100,2.238
2026-5-17 23:3:11:874,0.12,0.015,-0.771,20.569,-11.169,23.499,-3.44,21.08,-13.41,6.896,345.100,2.326
2026-5-17 23:3:11:894,0.085,0.053,-0.706,3.784,-5.432,21.301,-3.3,20.94,-13.87,7.040,-49.900,0.226
2026-5-17 23:3:11:914,0.057,0.055,-0.833,-18.982,-6.042,18.494,-3.6,20.79,-14.27,9.508,-41.200,0.380
2026-5-17 23:3:11:934,0.058,-0.027,-0.876,-15.32,-15.381,18.25,-4.04,20.78,-14.65,9.248,-3.400,0.032
2026-5-17 23:3:11:954,0.068,-0.032,-0.698,-0.305,-21.912,18.86,-4.23,20.91,-15.06,9.068,-3.700,0.032
2026-5-17 23:3:11:974,0.049,-0.021,-0.845,1.892,-23.438,17.334,-4.24,21.11,-15.45,6.708,1431.200,0.030
2026-5-17 23:3:11:994,0.074,0.021,-0.976,-3.052,-21.545,15.808,-4.31,21.29,-15.8,6.996,110.600,0.820
2026-5-17 23:3:12:14,0.083,-0.015,-0.757,-6.47,-12.634,15.259,-4.47,21.35,-16.13,7.000,98.900,0.744
2026-5-17 23:3:12:34,0.098,-0.052,-0.915,-2.38,0.549,14.465,-4.61,21.16,-16.43,7.044,4.800,0.068
2026-5-17 23:3:12:54,0.093,-0.027,-1.027,5.432,15.686,12.695,-4.56,20.68,-16.68,7.044,57.000,0.040
2026-5-17 23:3:12:74,0.07,0.003,-0.819,4.7,23.499,11.536,-4.44,20.0,-16.89,7.048,1.300,0.010
2026-5-17 23:3:12:94,0.063,0.006,-0.998,-2.014,26.917,10.803,-4.42,19.22,-17.07,7.048,1.600,0.010
2026-5-17 23:3:12:114,0.052,-0.029,-0.999,-5.493,22.339,8.972,-4.52,18.49,-17.23,7.048,1.400,0.010
2026-5-17 23:3:12:134,0.036,-0.063,-0.874,4.944,14.343,7.874,-4.49,17.91,-17.36,7.044,1.500,0.006
2026-5-17 23:3:12:154,0.061,-0.013,-1.0,12.573,8.179,7.629,-4.25,17.49,-17.5,7.048,1.300,0.010
2026-5-17 23:3:12:174,0.073,0.023,-0.962,3.052,8.728,6.226,-4.08,17.11,-17.62,6.276,1878.900,12.302
2026-5-17 23:3:12:194,0.084,-0.039,-0.956,-3.296,16.174,4.089,-4.1,16.65,-17.7,6.328,1711.600,11.424
2026-5-17 23:3:12:214,0.092,-0.054,-0.945,11.169,26.367,3.174,-3.95,16.0,-17.74,6.708,820.300,5.872
2026-5-17 23:3:12:234,0.087,-0.005,-0.831,14.648,39.124,2.502,-3.61,15.12,-17.75,6.832,543.600,3.928
2026-5-17 23:3:12:254,0.07,0.0,-1.002,6.47,49.438,0.916,-3.37,14.02,-17.74,6.848,477.200,3.500
2026-5-17 23:3:12:274,0.078,-0.015,-0.936,5.31,53.833,-0.977,-3.23,12.79,-17.69,6.908,294.000,2.398
2026-5-17 23:3:12:294,0.04,-0.058,-0.805,11.78,50.049,-1.953,-2.99,11.6,-17.62,6.904,334.900,2.402
2026-5-17 23:3:12:314,0.031,-0.013,-0.927,14.771,45.349,-2.38,-2.66,10.5,-17.54,6.936,263.100,1.894
2026-5-17 23:3:12:334,0.033,-0.064,-1.063,8.972,37.354,-3.906,-2.4,9.57,-17.46,6.960,227.500,1.734
2026-5-17 23:3:12:354,0.102,-0.002,-0.808,13.245,33.325,-5.005,-2.16,8.77,-17.35,6.984,172.400,1.382
2026-5-17 23:3:12:374,0.034,-0.066,-0.898,18.799,33.569,-5.737,-1.79,8.01,-17.23,6.976,122.700,1.180
2026-5-17 23:3:12:394,0.125,0.01,-0.987,27.893,43.579,-5.676,-1.26,7.15,-17.11,6.976,167.900,1.170
2026-5-17 23:3:12:414,0.164,-0.003,-0.916,39.551,54.199,-6.653,-0.52,6.06,-17.0,9.920,-2.800,0.016
2026-5-17 23:3:12:434,0.096,0.075,-0.926,20.508,63.171,-9.094,0.11,4.79,-16.86,9.684,-3.200,0.030
2026-5-17 23:3:12:454,0.123,0.069,-1.081,-10.01,69.763,-11.23,0.13,3.4,-16.68,5.816,2821.300,17.152
2026-5-17 23:3:12:474,-0.001,-0.167,-1.215,-22.034,65.491,-12.024,-0.36,1.99,-16.47,5.920,2760.700,15.420
2026-5-17 23:3:12:494,0.113,-0.068,-1.233,1.953,58.716,-11.597,-0.48,0.74,-16.25,6.076,2366.500,14.006
2026-5-17 23:3:12:514,0.13,-0.049,-2.305,27.222,42.419,-10.803,-0.12,-0.21,-16.05,7.020,51.200,0.558
2026-5-17 23:3:12:534,0.106,0.018,-1.786,24.475,36.072,-10.986,0.46,-0.94,-15.86,7.056,-5.200,0.030
2026-5-17 23:3:12:554,0.085,0.029,-1.013,5.554,42.847,-13.367,0.69,-1.72,-15.64,7.040,29.900,0.226
2026-5-17 23:3:12:574,0.062,-0.02,-0.643,-0.854,51.208,-14.038,0.66,-2.67,-15.39,7.044,45.500,0.122
2026-5-17 23:3:12:594,0.086,-0.065,-0.923,6.409,60.73,-13.489,0.67,-3.77,-15.16,6.992,134.000,0.902
2026-5-17 23:3:12:614,0.106,-0.034,-1.31,20.325,72.998,-13.245,0.94,-5.1,-14.93,7.016,86.200,0.600
2026-5-17 23:3:12:634,0.074,0.016,-1.178,18.005,77.82,-14.282,1.3,-6.58,-14.72,7.012,77.900,0.574
2026-5-17 23:3:12:654,0.037,0.003,-0.938,7.385,71.045,-14.526,1.46,-7.99,-14.49,7.012,78.900,0.554
2026-5-17 23:3:12:674,0.035,-0.043,-1.104,6.836,58.96,-14.221,1.51,-9.17,-14.25,7.016,82.500,0.566
2026-5-17 23:3:12:694,0.046,-0.022,-1.224,15.991,42.114,-13.55,1.7,-10.03,-14.01,6.276,1661.000,10.010
2026-5-17 23:3:12:714,0.071,0.005,-1.21,7.202,33.936,-14.343,1.83,-10.63,-13.76,6.536,1092.200,7.422
2026-5-17 23:3:12:734,0.103,-0.039,-1.689,4.578,34.607,-13.794,1.83,-11.17,-13.51,6.568,1069.500,7.540
2026-5-17 23:3:12:754,0.22,-0.013,-1.27,17.09,44.922,-13.855,1.94,-11.87,-13.26,6.720,772.200,5.642
