time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 23:57:52:54,0.066,-0.042,-1.028,12.024,33.752,-6.165,4.5,-15.72,-12.34,7.012,1.300,0.006
2026-5-17 23:57:52:74,0.071,-0.013,-1.035,13.0,31.067,-7.507,4.69,-16.17,-12.25,7.012,0.900,0.010
2026-5-17 23:57:52:94,0.077,-0.008,-1.008,7.019,30.212,-9.216,4.77,-16.58,-12.12,7.008,1.300,0.010
2026-5-17 23:57:52:114,0.088,-0.037,-1.014,4.883,32.715,-10.315,4.75,-17.01,-11.96,7.008,1.300,0.006
2026-5-17 23:57:52:134,0.083,-0.033,-0.986,10.132,38.269,-10.803,4.81,-17.54,-11.8,7.008,1.300,0.006
2026-5-17 23:57:52:154,0.066,-0.007,-0.978,9.399,38.818,-12.268,4.89,-18.12,-11.62,7.012,1.100,0.010
2026-5-17 23:57:52:174,0.057,-0.01,-0.981,4.089,33.569,-13.306,4.87,-18.63,-11.4,7.012,1.000,0.006
2026-5-17 23:57:52:194,0.054,-0.036,-0.966,4.456,27.039,-13.977,4.78,-19.01,-11.15,7.012,1.200,0.010
2026-5-17 23:57:52:214,0.048,-0.03,-0.955,7.141,18.799,-14.832,4.74,-19.24,-10.87,7.012,1.300,0.010
2026-5-17 23:57:52:234,0.051,-0.013,-0.951,5.127,9.521,-15.869,4.67,-19.28,-10.54,7.012,1.200,0.006
2026-5-17 23:57:52:254,0.067,-0.019,-0.947,0.732,3.723,-16.846,4.52,-19.18,-10.18,7.012,1.100,0.006
2026-5-17 23:57:52:274,0.075,-0.029,-0.942,2.075,4.517,-17.09,4.34,-19.04,-9.8,7.012,1.300,0.010
2026-5-17 23:57:52:294,0.076,-0.024,-0.933,3.784,6.348,-18.005,4.2,-18.95,-9.41,7.012,1.100,0.010
2026-5-17 23:57:52:314,0.074,-0.015,-0.936,2.014,7.385,-18.738,4.05,-18.9,-9.01,7.008,0.900,0.010
2026-5-17 23:57:52:334,0.073,-0.027,-0.936,-0.305,8.484,-19.104,3.83,-18.85,-8.6,7.012,1.500,0.010
2026-5-17 23:57:52:354,0.059,-0.031,-0.934,0.854,6.287,-19.592,3.63,-18.8,-8.18,7.008,1.100,0.004
2026-5-17 23:57:52:374,0.046,-0.023,-0.933,1.465,-1.404,-20.142,3.45,-18.64,-7.73,7.008,1.300,0.010
2026-5-17 23:57:52:394,0.051,-0.015,-0.939,-1.221,-11.475,-20.508,3.22,-18.29,-7.27,7.012,1.100,0.010
2026-5-17 23:57:52:414,0.054,-0.025,-0.944,-1.648,-18.616,-20.569,2.97,-17.76,-6.78,7.008,1.200,0.006
2026-5-17 23:57:52:434,0.061,-0.026,-0.951,-0.549,-24.231,-20.935,2.73,-17.12,-6.3,7.012,1.400,0.010
