time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-18 0:13:15:184,0.088,-0.098,-0.742,-1.587,3.723,-17.029,-4.13,19.01,-4.5,6.840,422.200,2.736
2026-5-18 0:13:15:204,0.151,-0.064,-0.991,12.756,19.592,-17.7,-3.8,18.55,-4.11,6.852,404.400,2.434
2026-5-18 0:13:15:224,0.123,-0.083,-1.113,17.029,48.462,-19.043,-3.3,17.57,-3.67,6.864,332.000,2.444
2026-5-18 0:13:15:244,0.062,-0.01,-0.783,20.874,64.453,-19.531,-2.69,16.15,-3.24,6.900,184.600,2.064
2026-5-18 0:13:15:264,0.028,0.005,-0.843,11.719,66.04,-20.569,-2.24,14.62,-2.79,6.940,-34.100,0.718
2026-5-18 0:13:15:284,-0.023,-0.004,-1.114,-5.066,55.725,-23.071,-2.12,13.24,-2.31,8.052,108.100,0.456
2026-5-18 0:13:15:304,0.003,-0.08,-0.969,2.319,43.091,-22.766,-2.04,12.13,-1.83,6.760,760.700,1.344
2026-5-18 0:13:15:324,0.064,-0.039,-0.746,15.686,31.616,-21.667,-1.72,11.29,-1.37,7.220,-4.900,0.040
2026-5-18 0:13:15:344,0.035,0.005,-0.99,15.381,23.438,-21.973,-1.29,10.63,-0.92,6.992,38.900,0.286
2026-5-18 0:13:15:364,0.128,-0.014,-1.156,6.226,28.748,-23.499,-1.03,10.01,-0.46,6.992,32.300,0.266
2026-5-18 0:13:15:384,0.126,-0.023,-1.04,4.761,50.415,-23.926,-0.87,9.04,0.01,7.000,16.600,0.122
2026-5-18 0:13:15:404,0.107,-0.04,-1.074,7.812,67.749,-23.926,-0.69,7.7,0.48,7.000,15.700,0.124
2026-5-18 0:13:15:424,0.11,-0.038,-1.153,11.902,78.979,-24.719,-0.44,6.1,0.95,7.008,1.100,0.006
2026-5-18 0:13:15:444,0.082,-0.015,-1.094,13.062,87.463,-24.475,-0.16,4.31,1.41,7.008,1.300,0.010
2026-5-18 0:13:15:464,0.042,-0.016,-1.147,6.409,79.224,-24.719,0.01,2.58,1.87,7.008,1.200,0.010
2026-5-18 0:13:15:484,0.036,-0.04,-1.163,5.92,57.617,-24.719,0.09,1.22,2.33,7.008,1.200,0.010
2026-5-18 0:13:15:504,0.07,-0.034,-1.114,10.376,47.363,-23.987,0.25,0.21,2.8,7.008,1.400,0.010
2026-5-18 0:13:15:524,0.082,-0.012,-1.18,6.47,44.922,-23.987,0.38,-0.71,3.25,7.008,1.200,0.010
2026-5-18 0:13:15:544,0.1,-0.021,-1.164,2.319,48.279,-23.926,0.4,-1.65,3.7,7.008,1.200,0.010
2026-5-18 0:13:15:564,0.134,-0.046,-1.158,5.92,64.392,-23.743,0.42,-2.77,4.15,7.008,1.400,0.010
2026-5-18 0:13:15:584,0.111,-0.016,-1.17,8.484,83.984,-23.254,0.53,-4.31,4.57,7.008,0.800,0.010
2026-5-18 0:13:15:604,0.076,-0.014,-1.175,2.197,88.745,-23.01,0.55,-6.03,4.98,7.008,1.300,0.010
2026-5-18 0:13:15:624,0.072,-0.044,-1.186,3.052,83.618,-22.461,0.51,-7.68,5.38,7.004,1.300,0.006
2026-5-18 0:13:15:644,0.044,-0.021,-1.15,7.446,74.524,-21.301,0.55,-9.17,5.78,7.008,1.200,0.006
2026-5-18 0:13:15:664,0.035,-0.008,-1.161,2.014,56.58,-20.813,0.53,-10.33,6.17,7.012,1.300,0.006
2026-5-18 0:13:15:684,0.071,-0.031,-1.157,-1.038,42.419,-20.325,0.41,-11.15,6.56,7.008,1.000,0.010
2026-5-18 0:13:15:704,0.102,-0.032,-1.137,2.747,46.021,-18.921,0.33,-11.89,6.94,7.008,1.200,0.010
2026-5-18 0:13:15:724,0.108,-0.016,-1.138,2.075,55.298,-18.188,0.28,-12.79,7.3,7.008,1.400,0.010
2026-5-18 0:13:15:744,0.107,-0.021,-1.118,-1.221,64.514,-17.517,0.18,-13.86,7.65,7.008,1.100,0.006
2026-5-18 0:13:15:764,0.104,-0.033,-1.118,0.488,77.148,-16.357,0.05,-15.15,7.97,7.008,1.000,0.010
2026-5-18 0:13:15:784,0.063,-0.025,-1.104,2.075,79.529,-15.32,-0.01,-16.57,8.26,7.008,1.100,0.010
2026-5-18 0:13:15:804,0.033,-0.016,-1.086,0.549,66.406,-14.404,-0.09,-17.81,8.54,7.008,1.300,0.006
2026-5-18 0:13:15:824,0.047,-0.024,-1.074,-1.526,50.903,-13.184,-0.21,-18.72,8.81,7.008,1.400,0.010
2026-5-18 0:13:15:844,0.047,-0.025,-1.057,-0.732,39.124,-11.841,-0.33,-19.36,9.06,7.008,1.000,0.010
2026-5-18 0:13:15:864,0.059,-0.022,-1.048,-0.732,29.053,-10.742,-0.43,-19.78,9.29,7.008,0.900,0.010
2026-5-18 0:13:15:884,0.088,-0.019,-1.029,-2.075,26.978,-9.521,-0.55,-20.07,9.5,7.008,1.400,0.010
2026-5-18 0:13:15:904,0.105,-0.027,-1.012,-1.77,38.208,-8.057,-0.65,-20.49,9.68,7.004,1.300,0.010
2026-5-18 0:13:15:924,0.089,-0.028,-1.008,-0.854,48.584,-6.958,-0.74,-21.16,9.83,7.004,1.300,0.006
2026-5-18 0:13:15:944,0.069,-0.024,-0.989,-0.244,50.842,-5.798,-0.79,-21.92,9.95,7.008,1.000,0.010
2026-5-18 0:13:15:964,0.063,-0.026,-0.979,-1.16,49.683,-4.333,-0.85,-22.66,10.05,7.004,1.300,0.006
