time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 23:55:23:24,0.174,-0.086,-1.648,-22.705,-63.477,15.076,-1.09,6.92,46.13,6.712,783.900,4.872
2026-5-17 23:55:23:44,0.049,0.064,-1.311,-26.611,-63.965,13.916,-1.6,8.1,45.85,6.680,686.900,4.512
2026-5-17 23:55:23:64,0.034,-0.031,-1.004,-27.771,-63.538,13.0,-2.15,9.28,45.57,6.732,593.900,4.210
2026-5-17 23:55:23:84,0.063,-0.054,-1.181,-12.146,-59.448,13.062,-2.51,10.39,45.29,6.768,628.600,4.046
2026-5-17 23:55:23:104,0.135,0.012,-1.272,-13.306,-55.664,11.475,-2.72,11.4,45.03,6.788,459.300,3.372
2026-5-17 23:55:23:124,0.137,0.055,-1.001,-33.63,-50.415,9.705,-3.24,12.3,44.8,6.804,486.600,3.110
2026-5-17 23:55:23:144,0.142,-0.073,-0.907,-30.945,-49.072,8.728,-3.98,13.13,44.59,6.812,303.400,2.530
2026-5-17 23:55:23:164,0.023,-0.038,-1.055,-12.817,-52.673,8.911,-4.34,14.0,44.37,6.848,446.100,3.140
2026-5-17 23:55:23:184,0.082,-0.099,-1.227,-6.287,-57.678,7.568,-4.45,14.92,44.16,6.876,369.700,2.366
2026-5-17 23:55:23:204,0.074,-0.009,-0.966,-11.719,-56.396,6.226,-4.61,15.86,43.98,6.828,342.500,2.762
2026-5-17 23:55:23:224,0.117,-0.02,-0.859,-14.16,-54.504,4.639,-4.87,16.77,43.82,6.900,250.300,2.104
2026-5-17 23:55:23:244,0.133,-0.028,-0.943,-8.789,-51.819,2.747,-5.06,17.63,43.7,6.932,-18.900,1.374
2026-5-17 23:55:23:264,0.052,-0.043,-1.053,-15.442,-46.387,0.549,-5.25,18.37,43.63,9.824,-3.600,0.036
2026-5-17 23:55:23:284,0.068,-0.016,-0.815,-16.785,-37.903,-0.977,-5.52,18.96,43.6,7.228,-10.800,0.096
2026-5-17 23:55:23:304,0.074,-0.07,-0.894,-11.597,-36.133,-2.258,-5.71,19.46,43.6,7.284,-2.700,0.036
2026-5-17 23:55:23:324,0.076,-0.039,-0.973,-6.653,-34.607,-4.028,-5.78,19.92,43.65,6.992,47.000,0.340
2026-5-17 23:55:23:344,0.079,-0.032,-0.979,-11.23,-32.776,-5.737,-5.88,20.35,43.73,6.992,37.200,0.288
2026-5-17 23:55:23:364,0.069,-0.04,-0.975,-11.902,-31.494,-7.019,-6.02,20.74,43.85,7.004,17.400,0.150
2026-5-17 23:55:23:384,0.066,-0.055,-0.984,-9.216,-32.593,-8.972,-6.11,21.14,43.99,7.000,18.000,0.128
2026-5-17 23:55:23:404,0.075,-0.043,-0.932,-7.019,-30.457,-10.437,-6.12,21.53,44.18,7.012,1.200,0.010
2026-5-17 23:55:23:424,0.085,-0.041,-0.954,-5.859,-24.597,-11.902,-6.1,21.83,44.4,7.008,1.000,0.006
2026-5-17 23:55:23:444,0.081,-0.035,-0.967,-6.714,-19.104,-13.306,-6.06,22.01,44.66,7.012,0.900,0.006
2026-5-17 23:55:23:464,0.077,-0.044,-0.911,-4.822,-14.038,-15.32,-5.99,22.08,44.97,6.444,1052.100,8.606
2026-5-17 23:55:23:484,0.069,-0.03,-0.872,-3.967,-8.362,-16.846,-5.88,22.04,45.32,6.476,1014.100,6.620
2026-5-17 23:55:23:504,0.06,-0.07,-0.904,-6.348,-3.967,-18.066,-5.81,21.91,45.71,6.768,586.200,4.178
2026-5-17 23:55:23:524,0.063,-0.052,-0.841,6.409,-2.869,-18.555,-5.56,21.74,46.13,6.848,398.600,2.688
2026-5-17 23:55:23:544,-0.032,-0.028,-0.884,2.075,-1.221,-20.447,-5.26,21.53,46.57,6.848,286.500,2.504
2026-5-17 23:55:23:564,0.098,-0.001,-0.669,0.488,1.465,-21.301,-5.02,21.29,47.03,6.888,271.600,2.052
2026-5-17 23:55:23:584,0.077,-0.078,-0.846,-5.188,3.052,-22.339,-4.91,21.01,47.52,6.888,271.300,1.872
2026-5-17 23:55:23:604,0.121,-0.085,-0.842,2.625,5.432,-22.888,-4.7,20.69,48.03,6.904,222.700,1.580
2026-5-17 23:55:23:624,0.042,-0.054,-0.743,9.827,9.521,-23.621,-4.35,20.31,48.55,6.920,180.400,1.514
2026-5-17 23:55:23:644,0.104,-0.052,-0.731,5.31,15.198,-24.658,-3.99,19.81,49.09,6.952,141.900,1.192
2026-5-17 23:55:23:664,0.165,-0.007,-0.807,-2.93,20.63,-25.33,-3.76,19.21,49.64,6.940,146.600,1.140
2026-5-17 23:55:23:684,0.031,-0.097,-1.009,-3.418,26.733,-25.879,-3.71,18.5,50.21,9.936,-1.600,0.006
2026-5-17 23:55:23:704,-0.027,-0.059,-0.847,20.874,29.724,-25.33,-3.24,17.73,50.78,9.612,36.900,0.026
2026-5-17 23:55:23:724,0.162,-0.028,-0.936,24.17,31.494,-25.879,-2.53,16.9,51.33,6.796,452.600,3.532
2026-5-17 23:55:23:744,0.124,0.022,-1.603,1.648,32.959,-26.917,-2.19,16.04,51.89,7.008,-1.500,0.030
2026-5-17 23:55:23:764,0.105,-0.093,-1.862,-12.268,33.752,-28.442,-2.26,15.17,52.49,7.004,9.400,0.092
2026-5-17 23:55:23:784,0.062,-0.112,-0.955,10.498,33.936,-27.466,-2.1,14.32,53.07,7.000,19.400,0.150
2026-5-17 23:55:23:804,0.054,-0.044,-0.68,24.963,34.912,-26.428,-1.55,13.47,53.63,6.996,25.200,0.154
2026-5-17 23:55:23:824,0.094,0.011,-1.136,16.907,39.368,-26.855,-1.0,12.57,54.17,7.008,1.000,0.006
2026-5-17 23:55:23:844,0.101,-0.004,-1.305,-3.235,47.363,-28.32,-0.83,11.54,54.72,7.008,1.300,0.010
2026-5-17 23:55:23:864,0.07,-0.086,-0.955,-0.061,52.795,-28.442,-0.82,10.37,55.29,7.008,0.900,0.010
2026-5-17 23:55:23:884,0.072,-0.07,-1.021,15.137,55.054,-26.794,-0.55,9.16,55.83,7.012,1.200,0.006
2026-5-17 23:55:23:904,0.083,-0.019,-1.195,15.869,55.237,-26.611,-0.15,7.94,56.34,7.000,29.100,0.204
2026-5-17 23:55:23:924,0.072,-0.002,-1.061,1.221,55.908,-27.344,0.03,6.72,56.86,6.996,26.000,0.184
2026-5-17 23:55:23:944,0.073,-0.074,-1.109,-0.061,54.321,-26.672,0.02,5.54,57.37,6.996,26.400,0.184
2026-5-17 23:55:23:964,0.075,-0.058,-1.139,11.963,53.162,-24.902,0.2,4.41,57.85,6.440,1342.700,7.872
2026-5-17 23:55:23:984,0.106,-0.032,-1.225,9.46,56.458,-24.963,0.43,3.26,58.32,6.444,1162.900,8.506
2026-5-17 23:55:24:4,0.161,-0.007,-1.573,-2.258,60.974,-25.024,0.5,2.03,58.78,6.620,795.200,6.440
2026-5-17 23:55:24:24,0.094,0.053,-1.553,-9.583,66.65,-23.987,0.32,0.72,59.22,6.636,748.400,6.020
2026-5-17 23:55:24:44,0.064,-0.062,-0.975,-7.385,66.406,-23.376,0.1,-0.6,59.66,6.708,591.300,4.014
2026-5-17 23:55:24:64,0.066,-0.103,-1.012,10.864,66.956,-21.667,0.14,-1.94,60.07,6.716,627.400,4.158
2026-5-17 23:55:24:84,0.086,0.004,-1.37,13.977,65.552,-19.714,0.41,-3.25,60.44,6.776,528.200,3.766
2026-5-17 23:55:24:104,0.107,0.021,-1.246,-4.15,64.88,-20.02,0.42,-4.5,60.79,6.792,510.300,3.566
2026-5-17 23:55:24:124,0.062,-0.13,-1.119,-12.146,65.125,-19.897,0.1,-5.75,61.16,6.808,356.300,2.670
2026-5-17 23:55:24:144,0.01,-0.083,-1.08,1.343,64.026,-17.517,-0.04,-6.98,61.5,6.816,311.200,2.186
2026-5-17 23:55:24:164,0.068,-0.015,-1.212,8.911,64.331,-15.93,0.09,-8.17,61.8,6.884,354.800,2.080
2026-5-17 23:55:24:184,0.067,-0.004,-1.201,0.366,68.359,-15.686,0.14,-9.4,62.08,6.828,390.900,2.304
2026-5-17 23:55:24:204,0.04,-0.029,-0.948,-2.319,69.458,-15.015,0.04,-10.67,62.36,6.912,297.200,2.746
2026-5-17 23:55:24:224,0.097,-0.046,-1.033,10.62,66.528,-13.062,0.07,-11.88,62.61,8.168,-28.100,0.180
2026-5-17 23:55:24:244,0.074,-0.003,-1.125,11.78,64.88,-12.024,0.24,-13.04,62.83,6.800,385.600,3.556
2026-5-17 23:55:24:264,0.024,0.023,-0.937,-1.343,64.453,-11.963,0.24,-14.18,63.03,6.800,149.700,3.398
2026-5-17 23:55:24:284,0.066,-0.044,-0.943,-4.578,59.387,-11.047,0.09,-15.23,63.24,7.204,-4.200,0.036
2026-5-17 23:55:24:304,0.07,-0.076,-1.088,0.183,55.115,-9.46,-0.02,-16.18,63.42,7.208,-2.600,0.030
2026-5-17 23:55:24:324,0.075,-0.037,-1.126,2.625,55.481,-8.301,-0.03,-17.08,63.58,6.992,44.400,0.302
2026-5-17 23:55:24:344,0.067,-0.008,-1.03,0.183,54.077,-7.385,-0.04,-17.96,63.72,7.008,1.500,0.240
