time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-18 0:21:11:964,0.042,0.035,-0.91,-24.231,-24.109,-15.991,-4.83,20.98,-6.81,7.972,-44.700,0.216
2026-5-18 0:21:11:984,0.093,-0.041,-0.951,-29.358,-24.292,-17.517,-5.23,21.23,-6.46,6.644,577.300,5.472
2026-5-18 0:21:12:4,0.05,-0.089,-0.76,-7.812,-23.926,-17.151,-5.41,21.47,-6.1,6.828,358.500,2.848
2026-5-18 0:21:12:24,0.043,-0.035,-0.727,10.376,-27.466,-16.785,-5.12,21.75,-5.76,7.300,-3.900,0.032
2026-5-18 0:21:12:44,0.072,0.019,-0.871,3.296,-30.273,-18.433,-4.78,22.09,-5.4,7.012,42.700,0.020
2026-5-18 0:21:12:64,0.098,0.006,-1.006,-12.512,-23.682,-20.203,-4.72,22.39,-4.99,6.992,40.400,0.302
2026-5-18 0:21:12:84,0.087,-0.063,-0.877,-10.01,-12.573,-20.996,-4.77,22.46,-4.54,7.004,10.300,0.118
2026-5-18 0:21:12:104,0.078,-0.066,-0.904,3.967,-6.165,-21.24,-4.58,22.37,-4.08,6.996,18.100,0.114
2026-5-18 0:21:12:124,0.093,-0.013,-0.944,9.277,-1.343,-22.278,-4.2,22.19,-3.6,7.004,1.200,0.010
2026-5-18 0:21:12:144,0.087,0.002,-0.889,-0.183,8.301,-23.193,-3.91,21.85,-3.09,7.004,1.200,0.010
2026-5-18 0:21:12:164,0.064,-0.038,-0.929,-5.066,11.536,-23.926,-3.78,21.37,-2.56,7.008,1.000,0.010
2026-5-18 0:21:12:184,0.053,-0.063,-0.93,2.563,6.592,-24.17,-3.6,20.95,-2.03,7.008,1.300,0.010
2026-5-18 0:21:12:204,0.078,-0.023,-0.898,9.155,4.7,-24.414,-3.24,20.62,-1.49,7.008,1.300,0.010
2026-5-18 0:21:12:224,0.08,-0.005,-0.956,2.441,9.033,-24.902,-2.93,20.23,-0.96,7.008,0.900,0.010
2026-5-18 0:21:12:244,0.073,-0.037,-0.933,-1.587,10.925,-25.452,-2.76,19.79,-0.41,7.004,1.300,0.010
2026-5-18 0:21:12:264,0.085,-0.06,-0.93,5.493,13.611,-25.757,-2.54,19.31,0.13,7.008,1.000,0.010
2026-5-18 0:21:12:284,0.105,-0.023,-0.967,9.094,25.146,-25.818,-2.19,18.68,0.69,7.004,1.200,0.010
2026-5-18 0:21:12:304,0.086,-0.006,-0.956,3.662,35.645,-26.001,-1.9,17.81,1.24,7.004,0.800,0.010
2026-5-18 0:21:12:324,0.073,-0.042,-0.981,0.732,38.452,-26.306,-1.72,16.84,1.8,7.008,1.100,0.010
2026-5-18 0:21:12:344,0.079,-0.046,-0.983,7.446,39.734,-26.184,-1.49,15.85,2.35,7.004,1.000,0.010
2026-5-18 0:21:12:364,0.071,-0.022,-0.996,9.033,42.847,-25.696,-1.18,14.82,2.88,7.008,1.300,0.010
2026-5-18 0:21:12:384,0.06,-0.01,-1.022,3.174,39.978,-25.635,-0.96,13.81,3.41,7.004,1.300,0.010
2026-5-18 0:21:12:404,0.072,-0.043,-1.019,1.709,35.095,-25.574,-0.83,12.91,3.93,7.008,1.300,0.010
2026-5-18 0:21:12:424,0.095,-0.044,-1.045,6.226,39.978,-25.085,-0.65,12.0,4.43,7.008,1.300,0.010
2026-5-18 0:21:12:444,0.09,-0.016,-1.05,6.714,46.753,-24.475,-0.43,10.96,4.92,7.008,1.000,0.010
2026-5-18 0:21:12:464,0.089,-0.021,-1.068,1.526,50.964,-24.048,-0.3,9.83,5.39,7.008,0.800,0.006
2026-5-18 0:21:12:484,0.105,-0.04,-1.084,1.526,58.472,-23.865,-0.23,8.6,5.86,7.004,1.200,0.010
2026-5-18 0:21:12:504,0.083,-0.039,-1.091,5.92,66.04,-22.888,-0.11,7.21,6.3,7.004,1.200,0.010
2026-5-18 0:21:12:524,0.067,-0.015,-1.107,4.944,64.575,-21.912,0.03,5.8,6.71,7.008,1.000,0.010
2026-5-18 0:21:12:544,0.074,-0.019,-1.119,0.0,59.875,-21.606,0.07,4.5,7.12,7.008,1.400,0.006
2026-5-18 0:21:12:564,0.08,-0.045,-1.124,0.671,59.692,-20.691,0.07,3.25,7.51,7.008,1.200,0.006
2026-5-18 0:21:12:584,0.072,-0.028,-1.139,4.517,57.007,-19.226,0.13,2.04,7.88,7.008,1.300,0.010
2026-5-18 0:21:12:604,0.089,-0.013,-1.145,1.099,55.481,-18.311,0.16,0.91,8.23,7.004,1.200,0.010
2026-5-18 0:21:12:624,0.107,-0.031,-1.155,-2.747,63.11,-17.822,0.1,-0.3,8.56,7.004,1.200,0.010
2026-5-18 0:21:12:644,0.09,-0.04,-1.157,1.648,69.763,-16.235,0.07,-1.65,8.87,7.004,1.300,0.010
2026-5-18 0:21:12:664,0.086,-0.019,-1.158,1.953,70.984,-14.954,0.09,-3.05,9.14,7.008,1.000,0.006
2026-5-18 0:21:12:684,0.092,-0.017,-1.166,-2.93,72.998,-14.404,0.03,-4.45,9.4,7.004,1.300,0.006
2026-5-18 0:21:12:704,0.068,-0.042,-1.164,-1.221,72.021,-12.756,-0.06,-5.87,9.64,6.396,1645.200,9.834
2026-5-18 0:21:12:724,0.062,-0.023,-1.163,1.099,64.209,-11.047,-0.08,-7.15,9.84,6.488,1194.500,9.434
2026-5-18 0:21:12:744,0.049,0.0,-1.034,-6.165,59.448,-10.315,-0.16,-8.27,10.04,6.740,711.600,5.380
