time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-18 0:2:56:154,0.083,-0.063,-1.098,-13.367,64.209,-15.442,-3.27,-14.25,26.52,6.992,26.200,0.190
2026-5-18 0:2:56:174,0.065,-0.043,-1.083,-7.019,61.462,-12.207,-3.52,-15.33,26.85,6.992,28.200,0.184
2026-5-18 0:2:56:194,0.059,-0.008,-1.074,-10.986,54.688,-9.399,-3.72,-16.28,27.1,6.996,26.400,0.184
2026-5-18 0:2:56:214,0.054,-0.032,-1.066,-17.273,44.617,-6.592,-4.06,-17.05,27.3,6.996,27.000,0.184
2026-5-18 0:2:56:234,0.059,-0.062,-1.056,-12.756,34.668,-3.357,-4.36,-17.59,27.43,6.992,26.000,0.180
2026-5-18 0:2:56:254,0.075,-0.036,-1.029,-6.287,29.785,0.0,-4.48,-18.0,27.48,6.992,26.400,0.186
2026-5-18 0:2:56:274,0.086,-0.01,-1.029,-11.719,31.799,2.808,-4.6,-18.39,27.47,6.992,26.700,0.186
2026-5-18 0:2:56:294,0.088,-0.042,-1.021,-16.052,37.17,4.7,-4.82,-18.87,27.42,6.992,26.500,0.184
2026-5-18 0:2:56:314,0.079,-0.062,-1.002,-8.85,41.26,7.507,-4.96,-19.45,27.32,6.992,26.400,0.186
2026-5-18 0:2:56:334,0.072,-0.031,-0.994,-3.906,43.03,10.62,-4.92,-20.08,27.15,6.992,26.400,0.184
2026-5-18 0:2:56:354,0.06,-0.015,-0.987,-8.911,40.161,13.245,-4.89,-20.68,26.92,6.996,26.200,0.184
2026-5-18 0:2:56:374,0.046,-0.041,-0.974,-12.207,31.555,15.503,-4.94,-21.14,26.63,6.992,26.100,0.186
2026-5-18 0:2:56:394,0.044,-0.057,-0.962,-6.47,20.508,18.555,-4.91,-21.4,26.26,6.992,26.300,0.186
2026-5-18 0:2:56:414,0.056,-0.035,-0.954,-3.052,11.719,21.912,-4.72,-21.46,25.81,6.992,26.700,0.184
2026-5-18 0:2:56:434,0.065,-0.022,-0.953,-6.531,7.019,24.292,-4.53,-21.39,25.29,6.184,1518.900,10.346
2026-5-18 0:2:56:454,0.069,-0.044,-1.127,-8.789,6.653,26.001,-4.41,-21.29,24.72,6.424,1055.100,7.482
2026-5-18 0:2:56:474,0.134,-0.019,-1.479,-6.226,11.169,28.931,-4.21,-21.24,24.1,6.436,1049.100,5.816
2026-5-18 0:2:56:494,0.149,-0.039,-1.183,-4.333,13.245,32.104,-3.99,-21.25,23.42,6.568,685.600,4.482
2026-5-18 0:2:56:514,0.055,-0.036,-0.735,1.221,12.817,34.546,-3.66,-21.28,22.68,6.616,558.600,4.282
2026-5-18 0:2:56:534,0.078,-0.02,-0.843,4.578,9.949,36.621,-3.19,-21.27,21.89,6.668,553.900,3.494
2026-5-18 0:2:56:554,0.023,-0.032,-1.215,-5.493,2.319,38.025,-2.82,-21.16,21.06,6.684,500.200,3.394
2026-5-18 0:2:56:574,0.049,0.031,-0.952,-7.812,-7.751,40.588,-2.55,-20.86,20.18,6.740,494.100,3.080
2026-5-18 0:2:56:594,0.061,-0.008,-0.659,-19.653,-14.526,40.955,-2.47,-20.38,19.28,6.780,345.300,2.458
2026-5-18 0:2:56:614,0.099,-0.091,-0.826,-14.282,-17.578,42.419,-2.46,-19.81,18.36,6.764,415.300,2.478
2026-5-18 0:2:56:634,0.066,-0.064,-1.007,7.507,-20.813,45.532,-2.01,-19.18,17.39,6.816,342.600,1.880
2026-5-18 0:2:56:654,0.071,-0.008,-0.83,16.785,-22.888,47.729,-1.23,-18.5,16.36,6.812,360.500,2.182
2026-5-18 0:2:56:674,0.054,0.021,-0.76,2.686,-22.278,47.119,-0.64,-17.81,15.35,6.836,266.500,2.182
2026-5-18 0:2:56:694,0.075,0.004,-0.934,-15.869,-19.897,46.204,-0.46,-17.17,14.37,9.916,-3.000,0.016
2026-5-18 0:2:56:714,0.08,-0.086,-0.915,-13.977,-21.545,47.485,-0.44,-16.53,13.39,9.720,-3.600,0.030
2026-5-18 0:2:56:734,0.077,-0.086,-0.708,6.165,-28.198,49.561,-0.09,-15.81,12.38,6.824,235.100,2.812
2026-5-18 0:2:56:754,0.021,-0.007,-0.829,13.306,-34.058,50.659,0.52,-14.96,11.34,7.060,-10.400,0.022
2026-5-18 0:2:56:774,0.065,0.047,-0.978,-3.662,-40.71,49.805,0.92,-13.99,10.33,6.956,118.100,0.678
2026-5-18 0:2:56:794,0.06,-0.025,-1.049,-19.531,-47.119,49.194,0.88,-12.89,9.36,6.996,26.700,0.200
2026-5-18 0:2:56:814,0.069,-0.092,-0.976,-11.169,-51.758,49.744,0.82,-11.69,8.39,6.996,23.500,0.176
2026-5-18 0:2:56:834,0.088,-0.059,-1.072,4.639,-51.147,50.659,1.07,-10.48,7.41,7.008,1.300,0.010
2026-5-18 0:2:56:854,0.086,0.014,-1.067,-1.221,-48.279,49.866,1.36,-9.32,6.44,7.012,1.400,0.010
2026-5-18 0:2:56:874,0.081,-0.0,-1.034,-17.517,-46.021,48.279,1.31,-8.23,5.5,7.012,1.000,0.006
2026-5-18 0:2:56:894,0.085,-0.076,-1.114,-15.137,-44.983,47.852,1.13,-7.2,4.59,7.012,1.200,0.010
2026-5-18 0:2:56:914,0.069,-0.049,-1.081,-2.38,-47.668,47.974,1.16,-6.15,3.67,7.008,1.200,0.010
2026-5-18 0:2:56:934,0.062,0.014,-1.083,-8.911,-53.894,46.875,1.21,-5.02,2.77,7.008,1.200,0.010
2026-5-18 0:2:56:954,0.071,-0.029,-1.14,-21.545,-60.791,44.739,0.96,-3.76,1.93,7.008,1.000,0.010
2026-5-18 0:2:56:974,0.074,-0.073,-1.114,-14.404,-64.514,44.189,0.69,-2.42,1.1,7.012,1.300,0.010
2026-5-18 0:2:56:994,0.083,-0.029,-1.125,-7.263,-65.674,43.579,0.59,-1.06,0.29,7.008,1.300,0.006
2026-5-18 0:2:57:14,0.097,0.001,-1.138,-17.639,-63.416,41.26,0.38,0.27,-0.49,7.012,1.000,0.006
2026-5-18 0:2:57:34,0.095,-0.047,-1.142,-22.339,-57.617,39.062,-0.01,1.48,-1.24,7.012,1.100,0.010
2026-5-18 0:2:57:54,0.089,-0.062,-1.147,-14.709,-53.711,37.781,-0.34,2.57,-1.97,7.008,1.000,0.006
2026-5-18 0:2:57:74,0.08,-0.012,-1.134,-14.038,-53.955,36.133,-0.58,3.61,-2.68,7.008,0.900,0.006
2026-5-18 0:2:57:94,0.077,-0.017,-1.147,-21.912,-56.091,33.386,-0.95,4.67,-3.33,7.016,1.100,0.006
2026-5-18 0:2:57:114,0.073,-0.046,-1.156,-22.583,-60.181,31.433,-1.42,5.78,-3.96,7.008,1.600,0.010
2026-5-18 0:2:57:134,0.074,-0.041,-1.136,-16.724,-65.063,30.029,-1.8,6.97,-4.56,7.008,1.400,0.006
2026-5-18 0:2:57:154,0.088,-0.018,-1.139,-18.372,-66.284,27.527,-2.15,8.2,-5.12,7.008,1.000,0.010
2026-5-18 0:2:57:174,0.097,-0.022,-1.133,-22.461,-62.256,24.78,-2.59,9.36,-5.64,7.012,1.200,0.006
2026-5-18 0:2:57:194,0.095,-0.043,-1.133,-21.057,-56.946,22.644,-3.05,10.4,-6.12,7.012,1.300,0.010
2026-5-18 0:2:57:214,0.093,-0.036,-1.115,-17.822,-52.002,20.081,-3.44,11.33,-6.55,7.000,1.000,0.010
2026-5-18 0:2:57:234,0.088,-0.019,-1.108,-18.066,-47.363,17.273,-3.8,12.15,-6.94,7.012,1.200,0.010
2026-5-18 0:2:57:254,0.077,-0.025,-1.101,-21.545,-46.997,14.709,-4.21,12.91,-7.28,7.008,1.400,0.006
2026-5-18 0:2:57:274,0.073,-0.043,-1.091,-20.203,-50.11,12.146,-4.63,13.71,-7.57,7.008,1.000,0.010
2026-5-18 0:2:57:294,0.076,-0.037,-1.078,-15.93,-52.368,9.827,-4.96,14.55,-7.82,7.008,1.200,0.010
2026-5-18 0:2:57:314,0.08,-0.021,-1.069,-16.846,-52.979,7.263,-5.26,15.42,-8.03,7.008,1.100,0.010
2026-5-18 0:2:57:334,0.085,-0.03,-1.057,-19.226,-51.208,4.639,-5.6,16.25,-8.19,7.008,1.200,0.010
2026-5-18 0:2:57:354,0.093,-0.045,-1.049,-16.479,-45.898,2.075,-5.91,17.01,-8.29,7.008,0.900,0.010
2026-5-18 0:2:57:374,0.094,-0.032,-1.032,-12.024,-38.879,-0.61,-6.11,17.62,-8.33,7.008,1.000,0.010
2026-5-18 0:2:57:394,0.086,-0.021,-1.017,-13.367,-32.959,-2.991,-6.28,18.1,-8.31,7.008,1.100,0.010
2026-5-18 0:2:57:414,0.078,-0.03,-1.01,-14.404,-29.541,-5.737,-6.48,18.49,-8.23,7.008,1.600,0.006
2026-5-18 0:2:57:434,0.079,-0.042,-0.994,-10.132,-28.137,-8.057,-6.61,18.84,-8.1,6.092,1648.400,10.800
2026-5-18 0:2:57:454,0.069,-0.028,-0.974,-7.69,-28.992,-10.437,-6.65,19.19,-7.92,6.532,830.200,6.394
2026-5-18 0:2:57:474,0.073,-0.03,-0.863,-6.348,-30.701,-12.634,-6.66,19.58,-7.7,6.568,761.300,5.734
2026-5-18 0:2:57:494,0.07,-0.001,-0.862,-14.526,-29.48,-15.198,-6.72,19.96,-7.42,6.720,494.600,3.766
2026-5-18 0:2:57:514,0.137,-0.086,-0.825,-9.277,-25.879,-17.151,-6.81,20.3,-7.09,6.720,430.500,3.168
2026-5-18 0:2:57:534,0.12,-0.076,-0.781,1.038,-20.325,-18.799,-6.72,20.51,-6.71,6.812,325.800,2.352
2026-5-18 0:2:57:554,0.065,-0.018,-0.758,1.77,-14.16,-20.447,-6.46,20.6,-6.29,6.828,317.000,2.146
2026-5-18 0:2:57:574,0.06,-0.026,-0.864,-1.892,-8.85,-22.644,-6.25,20.6,-5.81,6.848,251.400,1.798
2026-5-18 0:2:57:594,0.019,0.023,-0.832,-9.277,-1.221,-24.719,-6.15,20.46,-5.28,6.888,204.700,1.412
2026-5-18 0:2:57:614,0.082,-0.121,-0.729,1.221,-0.61,-25.513,-5.98,20.25,-4.72,6.892,176.500,1.392
2026-5-18 0:2:57:634,0.022,-0.017,-0.832,2.808,2.197,-26.55,-5.7,20.01,-4.14,6.932,169.900,1.110
2026-5-18 0:2:57:654,0.083,-0.083,-0.894,6.653,0.488,-27.466,-5.36,19.79,-3.54,6.916,147.000,1.166
2026-5-18 0:2:57:674,0.13,-0.124,-0.766,21.179,0.427,-27.832,-4.85,19.57,-2.93,9.952,-2.700,0.010
2026-5-18 0:2:57:694,0.091,-0.037,-0.761,29.785,3.723,-28.076,-4.06,19.29,-2.32,6.324,1275.700,7.834
2026-5-18 0:2:57:714,0.056,0.122,-1.123,1.221,7.69,-31.433,-3.53,18.94,-1.67,6.696,557.300,5.288
2026-5-18 0:2:57:734,0.142,-0.053,-1.734,-27.039,15.991,-34.18,-3.71,18.48,-0.94,7.012,1.300,0.020
2026-5-18 0:2:57:754,0.166,-0.12,-1.715,-7.507,25.879,-34.668,-3.87,17.84,-0.19,7.004,12.000,0.010
2026-5-18 0:2:57:774,0.05,-0.082,-0.715,22.156,26.489,-33.447,-3.39,17.12,0.54,7.012,1.300,0.010
2026-5-18 0:2:57:794,0.05,-0.014,-0.63,27.893,26.001,-33.447,-2.64,16.41,1.26,7.000,27.600,0.176
2026-5-18 0:2:57:814,0.082,0.042,-1.18,12.207,25.33,-34.668,-2.07,15.7,1.98,6.992,26.200,0.174
2026-5-18 0:2:57:834,0.091,-0.027,-1.193,-6.47,26.794,-36.56,-1.93,15.0,2.74,6.996,25.700,0.174
2026-5-18 0:2:57:854,0.064,-0.078,-0.81,-0.793,27.954,-36.865,-1.86,14.28,3.5,6.996,25.900,0.180
2026-5-18 0:2:57:874,0.087,-0.082,-1.046,17.944,30.945,-35.767,-1.49,13.52,4.26,6.996,25.700,0.168
2026-5-18 0:2:57:894,0.104,0.015,-1.085,18.066,37.598,-35.828,-0.93,12.66,4.99,6.996,25.300,0.180
2026-5-18 0:2:57:914,0.086,0.019,-0.946,-1.953,46.936,-37.292,-0.7,11.62,5.73,6.996,25.000,0.180
2026-5-18 0:2:57:934,0.083,-0.087,-1.113,-0.549,50.476,-37.476,-0.69,10.48,6.49,6.996,25.600,0.184
2026-5-18 0:2:57:954,0.073,-0.059,-1.038,15.93,50.598,-35.767,-0.39,9.32,7.21,7.000,24.800,0.168
2026-5-18 0:2:57:974,0.079,0.0,-1.018,11.169,51.453,-35.828,-0.03,8.18,7.91,6.996,25.500,0.180
2026-5-18 0:2:57:994,0.071,-0.023,-1.141,0.305,49.744,-36.377,0.09,7.05,8.61,6.996,24.100,0.168
2026-5-18 0:2:58:14,0.073,-0.055,-1.066,4.272,46.753,-35.339,0.16,5.99,9.31,6.992,24.300,0.168
2026-5-18 0:2:58:34,0.09,-0.039,-1.084,7.751,47.241,-34.302,0.31,4.98,9.99,6.996,26.000,0.180
2026-5-18 0:2:58:54,0.094,-0.019,-1.123,6.592,53.345,-33.997,0.47,3.88,10.64,6.996,26.600,0.184
2026-5-18 0:2:58:74,0.092,-0.026,-1.111,1.709,58.044,-33.569,0.52,2.69,11.29,6.996,26.000,0.180
2026-5-18 0:2:58:94,0.089,-0.038,-1.133,1.343,61.768,-32.593,0.52,1.42,11.91,7.000,25.900,0.186
2026-5-18 0:2:58:114,0.087,-0.047,-1.122,4.15,65.491,-31.616,0.54,0.11,12.51,6.996,26.900,0.180
2026-5-18 0:2:58:134,0.072,-0.03,-1.137,4.15,64.453,-30.518,0.58,-1.22,13.09,6.996,26.000,0.180
2026-5-18 0:2:58:154,0.069,-0.021,-1.152,0.793,59.753,-29.358,0.57,-2.46,13.65,6.996,25.700,0.184
2026-5-18 0:2:58:174,0.076,-0.042,-1.137,-2.808,56.091,-28.137,0.46,-3.58,14.19,6.996,24.000,0.186
2026-5-18 0:2:58:194,0.08,-0.045,-1.136,1.038,55.786,-26.611,0.37,-4.67,14.71,6.996,25.900,0.184
2026-5-18 0:2:58:214,0.086,-0.026,-1.147,1.77,55.725,-25.024,0.34,-5.73,15.2,6.996,26.000,0.180
2026-5-18 0:2:58:234,0.092,-0.019,-1.143,-4.15,58.228,-23.804,0.22,-6.82,15.67,6.996,25.900,0.186
2026-5-18 0:2:58:254,0.094,-0.05,-1.134,-4.15,63.66,-22.4,0.03,-7.98,16.11,6.988,25.800,0.180
2026-5-18 0:2:58:274,0.081,-0.044,-1.134,0.122,65.002,-20.935,-0.08,-9.18,16.52,6.992,25.900,0.184
2026-5-18 0:2:58:294,0.076,-0.018,-1.131,-1.709,62.805,-18.738,-0.16,-10.35,16.89,6.996,26.700,0.180
2026-5-18 0:2:58:314,0.075,-0.038,-1.123,-6.348,59.448,-17.456,-0.35,-11.45,17.24,6.996,26.600,0.170
2026-5-18 0:2:58:334,0.067,-0.045,-1.11,-3.174,55.115,-15.442,-0.53,-12.45,17.57,6.996,25.900,0.180
2026-5-18 0:2:58:354,0.071,-0.029,-1.106,-1.587,49.561,-13.306,-0.63,-13.33,17.85,7.000,26.000,0.186
2026-5-18 0:2:58:374,0.081,-0.023,-1.097,-6.104,47.363,-11.597,-0.78,-14.12,18.09,6.996,26.100,0.170
2026-5-18 0:2:58:394,0.086,-0.044,-1.086,-5.737,49.377,-9.888,-0.97,-14.92,18.31,6.996,26.100,0.186
2026-5-18 0:2:58:414,0.083,-0.041,-1.076,-2.686,50.537,-7.996,-1.08,-15.74,18.48,6.996,26.000,0.170
2026-5-18 0:2:58:434,0.077,-0.028,-1.062,-3.418,51.147,-5.981,-1.16,-16.57,18.62,6.996,26.200,0.168
2026-5-18 0:2:58:454,0.076,-0.038,-1.052,-5.615,51.208,-4.395,-1.29,-17.39,18.72,6.132,1498.700,10.280
2026-5-18 0:2:58:474,0.062,-0.042,-1.042,-4.211,48.34,-2.38,-1.39,-18.18,18.79,6.164,1364.800,9.900
2026-5-18 0:2:58:494,0.062,-0.026,-1.378,-2.991,41.016,-0.244,-1.44,-18.83,18.81,6.400,1095.700,7.382
2026-5-18 0:2:58:514,0.111,0.049,-1.507,-10.01,34.058,1.709,-1.55,-19.31,18.78,6.552,728.400,5.668
2026-5-18 0:2:58:534,0.02,-0.071,-1.233,-8.24,27.405,4.272,-1.7,-19.64,18.72,6.596,648.100,4.998
2026-5-18 0:2:58:554,0.079,-0.017,-0.708,1.831,26.917,6.775,-1.65,-19.94,18.58,6.676,598.400,4.092
2026-5-18 0:2:58:574,0.097,-0.01,-0.953,-0.61,30.579,8.118,-1.55,-20.28,18.42,6.680,539.100,4.220
2026-5-18 0:2:58:594,0.076,-0.037,-1.243,-5.432,35.095,9.216,-1.53,-20.7,18.23,6.700,445.300,3.234
2026-5-18 0:2:58:614,0.065,-0.021,-0.92,-13.794,34.729,10.559,-1.6,-21.15,18.0,6.780,356.500,3.024
2026-5-18 0:2:58:634,0.062,-0.079,-0.8,-21.912,30.762,11.108,-1.88,-21.54,17.76,6.796,391.600,2.150
2026-5-18 0:2:58:654,0.115,-0.131,-0.907,-7.019,24.719,13.611,-2.05,-21.85,17.5,6.784,327.200,1.806
