time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-18 0:5:31:24,0.137,0.027,-1.673,1.038,-55.359,7.324,-2.07,15.5,-4.29,6.660,794.900,5.128
2026-5-18 0:5:31:44,0.056,-0.048,-1.418,-9.338,-42.48,6.287,-2.15,16.25,-4.43,6.688,800.900,5.016
2026-5-18 0:5:31:64,0.056,-0.027,-0.885,-10.315,-35.95,6.531,-2.36,16.79,-4.57,6.708,618.200,4.120
2026-5-18 0:5:31:84,0.077,-0.095,-1.055,3.052,-38.025,7.751,-2.44,17.33,-4.72,6.760,600.000,4.318
2026-5-18 0:5:31:104,0.032,-0.033,-1.338,15.32,-50.11,8.545,-2.2,18.02,-4.9,6.820,490.500,3.306
2026-5-18 0:5:31:124,0.054,-0.024,-1.004,-7.263,-57.739,7.324,-2.19,18.9,-5.06,6.800,532.700,2.696
2026-5-18 0:5:31:144,0.107,-0.025,-0.708,-14.099,-58.716,7.08,-2.47,19.84,-5.22,6.812,408.000,2.896
2026-5-18 0:5:31:164,0.103,-0.016,-0.965,-15.808,-54.81,6.714,-2.8,20.74,-5.37,6.844,408.000,2.842
2026-5-18 0:5:31:184,0.082,-0.023,-1.117,-15.381,-44.434,5.371,-3.1,21.47,-5.51,6.856,341.300,2.598
2026-5-18 0:5:31:204,0.056,-0.057,-0.9,-12.329,-28.809,4.639,-3.38,21.9,-5.62,6.852,341.900,2.442
2026-5-18 0:5:31:224,0.028,-0.029,-0.782,-2.991,-20.142,4.395,-3.47,22.09,-5.71,6.872,352.700,2.306
2026-5-18 0:5:31:244,-0.016,0.021,-0.975,-12.268,-17.822,3.113,-3.58,22.19,-5.79,9.752,-3.300,0.030
2026-5-18 0:5:31:264,0.063,-0.024,-0.939,-19.653,-17.944,1.404,-3.91,22.28,-5.83,9.644,-3.300,0.030
2026-5-18 0:5:31:284,0.069,-0.045,-0.674,-10.681,-18.799,1.526,-4.15,22.39,-5.86,6.980,1.900,0.514
2026-5-18 0:5:31:304,0.033,-0.063,-0.751,2.136,-24.292,1.953,-4.15,22.56,-5.9,7.384,-4.300,0.056
2026-5-18 0:5:31:324,0.068,-0.002,-0.912,5.798,-29.297,1.526,-4.0,22.84,-5.94,6.996,32.200,0.268
2026-5-18 0:5:31:344,0.089,0.012,-0.97,-3.723,-24.841,0.0,-3.96,23.12,-5.96,7.000,22.000,0.184
2026-5-18 0:5:31:364,0.089,-0.029,-0.853,-8.362,-13.184,-0.793,-4.06,23.19,-5.95,7.000,21.400,0.150
2026-5-18 0:5:31:384,0.084,-0.044,-0.929,-2.197,-4.578,-0.916,-4.11,23.05,-5.92,7.004,1.000,0.010
2026-5-18 0:5:31:404,0.089,-0.038,-0.923,3.967,3.235,-1.953,-4.0,22.77,-5.87,7.008,1.300,0.006
2026-5-18 0:5:31:424,0.088,-0.012,-0.89,3.418,14.954,-2.563,-3.85,22.29,-5.8,7.012,1.300,0.010
2026-5-18 0:5:31:444,0.062,-0.019,-0.958,-0.916,19.836,-3.296,-3.76,21.64,-5.7,7.012,0.700,0.010
2026-5-18 0:5:31:464,0.047,-0.032,-0.901,-2.014,15.015,-3.601,-3.72,21.04,-5.61,7.012,1.400,0.010
2026-5-18 0:5:31:484,0.062,-0.045,-0.915,3.296,10.681,-4.456,-3.63,20.56,-5.5,7.012,1.400,0.010
2026-5-18 0:5:31:504,0.067,-0.024,-0.966,7.141,11.475,-4.639,-3.43,20.09,-5.38,7.008,1.300,0.010
2026-5-18 0:5:31:524,0.064,-0.002,-0.926,2.258,11.292,-5.249,-3.27,19.63,-5.26,7.012,1.200,0.010
2026-5-18 0:5:31:544,0.081,-0.04,-0.95,-1.282,13.794,-6.409,-3.21,19.15,-5.12,7.008,1.300,0.006
2026-5-18 0:5:31:564,0.104,-0.052,-0.972,6.775,26.062,-6.714,-3.07,18.52,-4.97,7.012,1.400,0.010
2026-5-18 0:5:31:584,0.09,-0.016,-0.972,9.766,38.757,-7.263,-2.8,17.61,-4.8,7.012,1.000,0.010
2026-5-18 0:5:31:604,0.073,-0.006,-0.986,2.075,44.617,-7.935,-2.63,16.54,-4.63,7.008,1.000,0.010
2026-5-18 0:5:31:624,0.077,-0.051,-0.99,2.563,47.913,-8.728,-2.53,15.41,-4.43,7.008,1.300,0.010
2026-5-18 0:5:31:644,0.064,-0.04,-1.018,11.047,49.622,-8.667,-2.31,14.24,-4.24,7.008,1.300,0.010
2026-5-18 0:5:31:664,0.051,0.001,-1.029,9.277,44.434,-8.911,-2.03,13.14,-4.05,7.008,1.300,0.006
2026-5-18 0:5:31:684,0.063,-0.023,-1.035,1.16,37.17,-9.949,-1.91,12.2,-3.86,7.012,1.300,0.006
2026-5-18 0:5:31:704,0.087,-0.052,-1.058,6.042,39.856,-10.071,-1.79,11.3,-3.65,7.008,1.400,0.010
2026-5-18 0:5:31:724,0.083,-0.028,-1.073,11.536,45.349,-10.132,-1.54,10.31,-3.44,7.012,1.200,0.006
2026-5-18 0:5:31:744,0.09,-0.003,-1.083,6.165,51.147,-10.742,-1.33,9.21,-3.24,7.008,1.300,0.010
2026-5-18 0:5:31:764,0.105,-0.039,-1.094,3.967,61.523,-11.292,-1.22,7.96,-3.03,7.012,1.300,0.010
2026-5-18 0:5:31:784,0.086,-0.043,-1.107,9.216,70.557,-11.658,-1.05,6.51,-2.81,7.008,1.300,0.010
2026-5-18 0:5:31:804,0.063,-0.012,-1.128,10.01,69.824,-11.475,-0.83,5.02,-2.6,7.008,1.400,0.006
2026-5-18 0:5:31:824,0.067,-0.021,-1.134,5.432,64.514,-12.146,-0.68,3.64,-2.4,7.008,1.300,0.010
2026-5-18 0:5:31:844,0.067,-0.038,-1.137,5.92,61.584,-12.085,-0.57,2.34,-2.18,7.012,1.300,0.010
2026-5-18 0:5:31:864,0.061,-0.028,-1.149,8.911,56.335,-11.78,-0.42,1.15,-1.97,7.008,0.900,0.006
