time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 22:54:27:554,0.044,-0.013,-1.083,2.808,57.434,0.916,0.93,-18.78,4.82,6.848,480.200,3.722
2026-5-17 22:54:27:574,0.072,-0.027,-0.926,-4.456,58.716,2.197,0.87,-19.73,4.74,6.908,339.900,2.488
2026-5-17 22:54:27:594,0.056,-0.016,-0.803,-2.991,57.312,2.808,0.82,-20.64,4.64,6.952,286.000,1.490
2026-5-17 22:54:27:614,0.04,0.003,-0.979,-4.944,53.589,2.869,0.76,-21.48,4.54,6.988,265.100,1.862
2026-5-17 22:54:27:634,0.042,0.042,-0.886,-5.432,48.34,4.639,0.72,-22.2,4.42,6.964,192.700,1.654
2026-5-17 22:54:27:654,-0.015,-0.047,-0.856,-8.362,39.062,5.432,0.64,-22.77,4.28,6.968,220.000,1.632
2026-5-17 22:54:27:674,0.075,-0.039,-0.866,-3.418,34.302,5.066,0.57,-23.22,4.14,6.976,197.700,1.494
2026-5-17 22:54:27:694,0.048,0.02,-0.88,-5.432,30.945,5.432,0.52,-23.57,4.01,6.980,174.500,1.386
2026-5-17 22:54:27:714,0.081,-0.023,-0.838,0.671,28.687,6.653,0.54,-23.85,3.86,9.740,-3.400,0.030
2026-5-17 22:54:27:734,0.004,-0.017,-0.788,22.034,24.597,8.911,0.94,-24.04,3.66,9.516,-3.700,0.036
2026-5-17 22:54:27:754,0.083,-0.037,-1.017,30.396,21.484,9.094,1.61,-24.19,3.44,6.772,654.400,6.338
2026-5-17 22:54:27:774,0.05,0.065,-1.537,8.911,22.705,9.155,2.08,-24.33,3.22,7.060,7.800,0.052
2026-5-17 22:54:27:794,0.093,-0.006,-1.952,-10.742,14.404,10.254,2.06,-24.39,2.99,7.048,1.900,0.222
2026-5-17 22:54:27:814,0.053,-0.016,-0.875,-11.414,9.216,10.254,1.91,-24.3,2.75,7.060,1.100,0.010
2026-5-17 22:54:27:834,0.036,-0.042,-0.478,-11.23,9.216,10.681,1.75,-24.18,2.52,7.068,0.900,0.010
2026-5-17 22:54:27:854,0.046,-0.077,-0.884,3.174,7.812,12.878,1.79,-24.04,2.25,7.064,0.900,0.010
2026-5-17 22:54:27:874,0.057,-0.044,-1.255,20.569,1.526,15.503,2.21,-23.83,1.93,7.064,1.200,0.010
2026-5-17 22:54:27:894,0.041,0.081,-0.877,3.418,-6.104,14.343,2.6,-23.46,1.61,7.064,1.400,0.006
2026-5-17 22:54:27:914,0.048,0.007,-0.745,-20.935,-8.362,12.939,2.41,-23.0,1.34,7.064,1.000,0.010
2026-5-17 22:54:27:934,0.054,-0.116,-1.039,-8.545,-10.925,15.137,2.17,-22.52,1.05,7.064,0.700,0.010
2026-5-17 22:54:27:954,0.048,-0.016,-0.926,15.686,-17.395,17.761,2.49,-21.92,0.71,7.064,1.400,0.010
2026-5-17 22:54:27:974,0.05,0.053,-0.856,-0.488,-21.912,16.296,2.75,-21.23,0.38,7.064,1.200,0.010
2026-5-17 22:54:27:994,0.066,-0.028,-1.024,-13.306,-22.827,15.991,2.61,-20.5,0.08,6.308,1968.900,13.360
2026-5-17 22:54:28:14,0.049,-0.039,-0.895,-4.028,-24.231,17.822,2.55,-19.77,-0.24,6.592,1093.500,7.422
2026-5-17 22:54:28:34,0.055,0.006,-1.377,-5.92,-28.625,18.127,2.58,-18.98,-0.58,6.616,1138.100,7.452
2026-5-17 22:54:28:54,0.022,-0.082,-1.659,-9.277,-36.133,17.395,2.49,-18.07,-0.9,6.736,769.100,5.224
2026-5-17 22:54:28:74,0.035,-0.034,-1.094,-2.319,-38.757,19.104,2.5,-17.09,-1.22,6.748,733.500,4.590
2026-5-17 22:54:28:94,0.057,0.05,-0.769,-8.545,-40.1,19.409,2.48,-16.07,-1.57,6.820,605.500,3.690
2026-5-17 22:54:28:114,0.077,0.025,-0.986,-23.804,-42.847,17.822,2.17,-15.03,-1.9,6.824,618.100,3.500
2026-5-17 22:54:28:134,0.063,-0.079,-1.298,-18.86,-44.373,18.005,1.75,-13.97,-2.21,6.848,505.800,3.454
2026-5-17 22:54:28:154,0.048,-0.04,-0.879,3.418,-48.645,19.775,1.77,-12.85,-2.55,6.864,543.400,3.414
2026-5-17 22:54:28:174,0.086,0.019,-0.728,1.648,-52.795,19.226,1.89,-11.67,-2.89,6.864,477.500,2.668
2026-5-17 22:54:28:194,0.052,0.021,-1.073,-12.39,-55.969,17.395,1.78,-10.43,-3.2,6.848,432.800,3.244
2026-5-17 22:54:28:214,0.061,-0.042,-1.174,-14.16,-59.631,17.822,1.52,-9.14,-3.49,6.912,361.600,1.638
