time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-18 0:23:59:54,0.079,-0.033,-1.0,-4.822,31.067,36.499,0.53,16.14,5.3,7.004,1.600,0.010
2026-5-18 0:23:59:74,0.088,-0.032,-1.017,-1.465,35.828,37.537,0.32,15.3,4.52,7.004,1.200,0.010
2026-5-18 0:23:59:94,0.097,-0.021,-1.03,-1.648,43.884,37.781,0.15,14.33,3.72,7.004,1.400,0.010
2026-5-18 0:23:59:114,0.092,-0.027,-1.045,-2.747,53.04,38.513,-0.02,13.18,2.92,7.004,1.300,0.010
2026-5-18 0:23:59:134,0.089,-0.035,-1.063,-0.061,61.035,39.368,-0.16,11.87,2.1,7.004,1.000,0.010
2026-5-18 0:23:59:154,0.077,-0.02,-1.077,1.404,64.209,39.551,-0.23,10.48,1.27,7.000,1.400,0.010
2026-5-18 0:23:59:174,0.067,-0.021,-1.091,0.061,62.439,39.673,-0.29,9.1,0.46,7.008,1.100,0.010
2026-5-18 0:23:59:194,0.064,-0.036,-1.106,0.61,57.983,40.283,-0.35,7.82,-0.37,7.004,1.100,0.010
2026-5-18 0:23:59:214,0.073,-0.026,-1.117,4.089,54.321,40.588,-0.32,6.64,-1.2,7.004,1.300,0.006
2026-5-18 0:23:59:234,0.082,-0.021,-1.131,3.235,53.589,40.161,-0.27,5.51,-2.03,7.008,1.200,0.006
2026-5-18 0:23:59:254,0.095,-0.029,-1.14,3.296,57.922,40.222,-0.21,4.35,-2.86,7.004,1.200,0.010
2026-5-18 0:23:59:274,0.101,-0.031,-1.152,6.958,65.43,40.1,-0.09,3.07,-3.69,7.004,1.200,0.010
2026-5-18 0:23:59:294,0.097,-0.021,-1.163,7.568,72.693,39.368,0.09,1.65,-4.52,7.000,1.200,0.010
2026-5-18 0:23:59:314,0.085,-0.023,-1.167,7.446,76.355,38.818,0.29,0.15,-5.34,7.004,1.300,0.006
2026-5-18 0:23:59:334,0.071,-0.029,-1.172,9.338,75.195,38.574,0.52,-1.33,-6.17,7.004,1.200,0.006
2026-5-18 0:23:59:354,0.069,-0.021,-1.175,10.437,69.946,37.598,0.81,-2.73,-6.99,7.004,1.200,0.006
2026-5-18 0:23:59:374,0.067,-0.021,-1.179,10.193,63.599,36.865,1.12,-3.97,-7.79,7.004,1.400,0.006
2026-5-18 0:23:59:394,0.078,-0.03,-1.177,11.292,59.753,36.133,1.43,-5.1,-8.58,7.004,1.300,0.006
2026-5-18 0:23:59:414,0.089,-0.023,-1.176,13.184,60.181,34.912,1.81,-6.18,-9.37,7.008,1.100,0.006
2026-5-18 0:23:59:434,0.096,-0.022,-1.176,13.367,64.453,33.569,2.19,-7.31,-10.13,7.000,1.400,0.010
2026-5-18 0:23:59:454,0.094,-0.027,-1.17,14.038,70.19,32.471,2.59,-8.53,-10.89,6.448,1414.600,10.752
2026-5-18 0:23:59:474,0.08,-0.02,-1.149,15.686,73.486,31.067,3.04,-9.82,-11.64,6.704,813.500,5.318
2026-5-18 0:23:59:494,0.055,-0.03,-1.01,15.198,72.51,29.602,3.49,-11.1,-12.38,6.688,713.500,5.322
2026-5-18 0:23:59:514,0.056,-0.047,-1.104,19.592,66.162,28.442,4.0,-12.29,-13.09,6.808,464.200,3.212
2026-5-18 0:23:59:534,0.005,-0.01,-1.168,19.287,58.594,27.161,4.54,-13.32,-13.79,6.852,407.700,3.194
2026-5-18 0:23:59:554,0.042,-0.002,-0.863,19.348,52.063,25.574,5.1,-14.17,-14.45,6.880,328.500,2.534
2026-5-18 0:23:59:574,0.026,-0.043,-1.022,19.592,49.561,24.231,5.62,-14.93,-15.07,6.908,253.100,1.544
2026-5-18 0:23:59:594,0.079,-0.004,-0.947,24.353,48.462,23.682,6.23,-15.65,-15.69,6.916,249.700,1.264
2026-5-18 0:23:59:614,0.127,-0.013,-0.871,20.874,51.697,22.034,6.8,-16.4,-16.3,6.928,204.400,1.238
2026-5-18 0:23:59:634,0.001,-0.044,-0.907,16.174,52.795,20.691,7.28,-17.16,-16.88,6.948,164.000,1.320
2026-5-18 0:23:59:654,0.122,0.054,-0.904,16.113,53.955,19.287,7.76,-17.94,-17.45,6.940,149.100,1.128
2026-5-18 0:23:59:674,0.043,-0.044,-0.952,10.071,49.622,18.005,8.1,-18.68,-18.0,9.884,-2.600,0.020
2026-5-18 0:23:59:694,0.06,-0.039,-0.798,1.587,44.312,16.724,8.29,-19.3,-18.5,9.756,-3.100,0.026
2026-5-18 0:23:59:714,0.042,0.019,-1.069,-16.052,38.086,13.672,8.21,-19.8,-18.92,6.736,805.600,4.692
2026-5-18 0:23:59:734,0.053,-0.067,-1.588,-10.437,27.771,12.817,7.98,-20.14,-19.28,6.816,419.700,2.468
2026-5-18 0:23:59:754,0.057,-0.068,-1.972,11.902,17.212,12.329,8.07,-20.26,-19.59,7.000,15.300,0.030
2026-5-18 0:23:59:774,0.09,-0.012,-1.086,26.672,15.93,11.353,8.56,-20.27,-19.86,7.004,1.300,0.010
2026-5-18 0:23:59:794,0.057,0.011,-0.548,19.104,20.752,10.01,9.03,-20.35,-20.12,7.008,1.200,0.010
2026-5-18 0:23:59:814,0.079,0.026,-0.885,4.639,25.574,8.301,9.23,-20.53,-20.37,7.008,1.200,0.010
2026-5-18 0:23:59:834,0.091,-0.01,-1.304,-7.996,29.968,6.104,9.13,-20.82,-20.59,7.004,0.900,0.006
2026-5-18 0:23:59:854,0.053,-0.082,-0.91,3.052,26.733,5.127,9.04,-21.11,-20.77,7.008,1.000,0.010
2026-5-18 0:23:59:874,0.038,-0.031,-0.739,16.968,20.447,5.432,9.27,-21.29,-20.93,7.004,1.000,0.006
2026-5-18 0:23:59:894,0.046,0.033,-1.045,5.92,10.376,3.235,9.45,-21.3,-21.04,7.008,0.900,0.010
2026-5-18 0:23:59:914,0.039,-0.01,-0.95,-8.057,-2.991,0.549,9.26,-21.07,-21.03,7.008,1.500,0.006
2026-5-18 0:23:59:934,0.044,-0.061,-0.822,-1.465,-13.306,-0.305,9.01,-20.62,-20.95,7.004,1.000,0.010
2026-5-18 0:23:59:954,0.075,-0.016,-1.0,4.639,-16.235,-0.671,8.94,-20.06,-20.84,7.008,1.200,0.010
2026-5-18 0:23:59:974,0.077,0.006,-0.896,-0.977,-13.123,-2.38,8.82,-19.53,-20.7,7.004,1.300,0.010
2026-5-18 0:23:59:994,0.074,-0.016,-0.869,-6.714,-8.606,-4.395,8.55,-19.11,-20.56,7.004,1.300,0.010
2026-5-18 0:24:0:14,0.084,-0.025,-1.015,-6.958,-4.944,-5.615,8.24,-18.77,-20.39,7.004,1.200,0.010
2026-5-18 0:24:0:34,0.065,-0.038,-0.909,-4.211,-3.174,-6.104,7.97,-18.5,-20.21,7.004,1.000,0.006
2026-5-18 0:24:0:54,0.046,-0.015,-0.887,-2.38,-7.507,-7.324,7.76,-18.19,-20.02,7.008,1.200,0.010
2026-5-18 0:24:0:74,0.041,0.004,-1.016,-9.277,-18.494,-9.644,7.45,-17.73,-19.75,7.008,1.000,0.010
2026-5-18 0:24:0:94,0.044,-0.026,-0.95,-13.062,-31.006,-10.925,7.0,-17.02,-19.42,7.008,1.000,0.010
2026-5-18 0:24:0:114,0.053,-0.041,-0.94,-8.85,-39.917,-11.292,6.57,-16.11,-19.05,7.008,1.100,0.006
